arch;lock;dist;zipf_theta;threads;buckets;key_range;prefill;stream_len;read_pct;insert_pct;delete_pct;n;ops_s_median;ops_s_mean;ops_s_p25;ops_s_p75;ops_s_min;ops_s_max;ops_s_cov_pct;ns_op_median;ns_op_mean;ns_op_p25;ns_op_p75;ns_op_min;ns_op_max;ns_op_cov_pct;fairness_ratio_median;fairness_ratio_mean;fairness_ratio_p25;fairness_ratio_p75;fairness_ratio_min;fairness_ratio_max;fairness_ratio_cov_pct
aarch64;avl-cas;uniform;0,990000;1;65536;1000;500;4096;50;25;25;3;1,03498e+07;1,03438e+07;1,03222e+07;1,03595e+07;1,03222e+07;1,03595e+07;0,186942;96,6206;96,6761;96,5295;96,8782;96,5295;96,8782;0,187085;1;1;1;1;1;1;0
aarch64;avl-cas;uniform;0,990000;1;65536;1000;500;4096;90;5;5;3;1,29436e+07;1,30117e+07;1,28896e+07;1,32018e+07;1,28896e+07;1,32018e+07;1,28246;77,2581;76,8623;75,747;77,5818;75,747;77,5818;1,27414;1;1;1;1;1;1;0
aarch64;avl-cas;uniform;0,990000;1;65536;100000;50000;4096;50;25;25;3;5,50618e+06;5,49134e+06;5,45882e+06;5,50902e+06;5,45882e+06;5,50902e+06;0,513562;181,614;182,108;181,52;183,19;181,52;183,19;0,515069;1;1;1;1;1;1;0
aarch64;avl-cas;uniform;0,990000;1;65536;100000;50000;4096;90;5;5;3;5,44736e+06;5,46346e+06;5,41198e+06;5,53105e+06;5,41198e+06;5,53105e+06;1,11925;183,575;183,049;180,797;184,775;180,797;184,775;1,11471;1;1;1;1;1;1;0
aarch64;avl-cas;uniform;0,990000;2;65536;1000;500;4096;50;25;25;3;9,46019e+06;9,45813e+06;9,40085e+06;9,51336e+06;9,40085e+06;9,51336e+06;0,595078;105,706;105,732;105,115;106,373;105,115;106,373;0,595285;0,996283;0,997145;0,995658;0,999494;0,995658;0,999494;0,206405
aarch64;avl-cas;uniform;0,990000;2;65536;1000;500;4096;90;5;5;3;1,76913e+07;1,76861e+07;1,75696e+07;1,77973e+07;1,75696e+07;1,77973e+07;0,644491;56,525;56,5433;56,1882;56,9166;56,1882;56,9166;0,644789;0,993737;0,994376;0,989533;0,999857;0,989533;0,999857;0,522091
aarch64;avl-cas;uniform;0,990000;2;65536;100000;50000;4096;50;25;25;3;1,02674e+07;1,02994e+07;1,02668e+07;1,0364e+07;1,02668e+07;1,0364e+07;0,543298;97,3952;97,0947;96,4875;97,4013;96,4875;97,4013;0,5416;0,994594;0,993524;0,990867;0,995111;0,990867;0,995111;0,23306
aarch64;avl-cas;uniform;0,990000;2;65536;100000;50000;4096;90;5;5;3;1,02317e+07;1,0213e+07;1,01621e+07;1,02454e+07;1,01621e+07;1,02454e+07;0,437286;97,7358;97,9153;97,605;98,405;97,605;98,405;0,438276;0,98662;0,989548;0,984501;0,997522;0,984501;0,997522;0,706058
aarch64;avl-cas;uniform;0,990000;4;65536;1000;500;4096;50;25;25;3;1,37638e+07;1,37055e+07;1,35487e+07;1,38041e+07;1,35487e+07;1,38041e+07;1,00179;72,6546;72,9682;72,4423;73,8078;72,4423;73,8078;1,00706;0,992652;0,992477;0,989578;0,995201;0,989578;0,995201;0,283692
aarch64;avl-cas;uniform;0,990000;4;65536;1000;500;4096;90;5;5;3;2,93598e+07;2,92887e+07;2,91444e+07;2,93619e+07;2,91444e+07;2,93619e+07;0,426664;34,0602;34,1433;34,0578;34,3119;34,0578;34,3119;0,427719;0,992307;0,992888;0,987917;0,998441;0,987917;0,998441;0,532389
