arch;hostname;lock;dist;zipf_theta;threads;buckets;key_range;prefill;stream_len;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
aarch64;ip-172-31-19-57;avl-std;uniform;0,990000;1;65536;1000;500;4096;90;5;5;58738816;52830500;3140582;2767734;11747555;85,124089;0;0;1,000000
aarch64;ip-172-31-19-57;avl-std;uniform;0,990000;1;65536;1000;500;4096;90;5;5;58825856;52908798;3145229;2771829;11765005;84,997836;0;0;1,000000
aarch64;ip-172-31-19-57;avl-std;uniform;0,990000;1;65536;1000;500;4096;90;5;5;57928448;52101674;3097241;2729533;11585513;86,314693;0;0;1,000000
aarch64;ip-172-31-19-57;avl-std;uniform;0,990000;2;65536;1000;500;4096;90;5;5;80009536;72158163;4159972;3691401;16001642;62,493584;39769920;40239616;0,988328
aarch64;ip-172-31-19-57;avl-std;uniform;0,990000;2;65536;1000;500;4096;90;5;5;79444992;71649004;4130634;3665354;15888762;62,937562;39495296;39949696;0,988626
aarch64;ip-172-31-19-57;avl-std;uniform;0,990000;2;65536;1000;500;4096;90;5;5;80156992;72290600;4167974;3698418;16031240;62,378204;39958144;40198848;0,994012
aarch64;ip-172-31-19-57;avl-std;uniform;0,990000;4;65536;1000;500;4096;90;5;5;135488768;121801405;7037399;6649964;27097243;36,904123;33756864;33976064;0,993548
aarch64;ip-172-31-19-57;avl-std;uniform;0,990000;4;65536;1000;500;4096;90;5;5;135985792;122249456;7063331;6673005;27196585;36,769321;33979840;34045120;0,998083
aarch64;ip-172-31-19-57;avl-std;uniform;0,990000;4;65536;1000;500;4096;90;5;5;135645696;121942625;7045942;6657129;27128532;36,861559;33803392;33983296;0,994706
aarch64;ip-172-31-19-57;avl-std;uniform;0,990000;8;65536;1000;500;4096;90;5;5;211937152;190510784;10744588;10681780;42385991;23,592701;25609152;26956416;0,950021
aarch64;ip-172-31-19-57;avl-std;uniform;0,990000;8;65536;1000;500;4096;90;5;5;211824704;190408483;10738371;10677850;42363554;23,605196;25778496;26867456;0,959469
aarch64;ip-172-31-19-57;avl-std;uniform;0,990000;8;65536;1000;500;4096;90;5;5;211420288;190045371;10718571;10656346;42282626;23,650375;25647616;26792448;0,957270
aarch64;ip-172-31-19-57;avl-std;zipfian;0,990000;1;65536;1000;500;4096;90;5;5;64231232;57770485;3434236;3026511;12846043;77,844980;0;0;1,000000
aarch64;ip-172-31-19-57;avl-std;zipfian;0,990000;1;65536;1000;500;4096;90;5;5;64220800;57761102;3433674;3026024;12844070;77,856935;0;0;1,000000
aarch64;ip-172-31-19-57;avl-std;zipfian;0,990000;1;65536;1000;500;4096;90;5;5;64122560;57672736;3428425;3021399;12824351;77,976651;0;0;1,000000
aarch64;ip-172-31-19-57;avl-std;zipfian;0,990000;2;65536;1000;500;4096;90;5;5;82043712;73992917;4265627;3785168;16408488;60,944064;40748480;41295232;0,986760
aarch64;ip-172-31-19-57;avl-std;zipfian;0,990000;2;65536;1000;500;4096;90;5;5;82239808;74169525;4275970;3794313;16447738;60,798633;40894784;41345024;0,989110
aarch64;ip-172-31-19-57;avl-std;zipfian;0,990000;2;65536;1000;500;4096;90;5;5;82139840;74079313;4270797;3789730;16427852;60,872228;40851456;41288384;0,989418
aarch64;ip-172-31-19-57;avl-std;zipfian;0,990000;4;65536;1000;500;4096;90;5;5;136261184;122498379;7075756;6687049;27251680;36,694985;33905920;34282944;0,989003
aarch64;ip-172-31-19-57;avl-std;zipfian;0,990000;4;65536;1000;500;4096;90;5;5;137675840;123769232;7150117;6756491;27534585;36,317961;34328768;34542720;0,993806
aarch64;ip-172-31-19-57;avl-std;zipfian;0,990000;4;65536;1000;500;4096;90;5;5;136777536;122962915;7102902;6711719;27354929;36,556482;34009280;34321280;0,990909
aarch64;ip-172-31-19-57;avl-std;zipfian;0,990000;8;65536;1000;500;4096;90;5;5;217258944;195289711;11013225;10956008;43450312;23,014794;26493696;27382784;0,967531
aarch64;ip-172-31-19-57;avl-std;zipfian;0,990000;8;65536;1000;500;4096;90;5;5;216459136;194574994;10973847;10910295;43290328;23,099848;26196736;27473024;0,953544
aarch64;ip-172-31-19-57;avl-std;zipfian;0,990000;8;65536;1000;500;4096;90;5;5;224665280;201949852;11387650;11327778;44931508;22,256097;27371968;28266816;0,968343
aarch64;ip-172-31-19-57;avl-std;zipfian;1,200000;1;65536;1000;500;4096;90;5;5;67708288;60897793;3620142;3190353;13541421;73,847489;0;0;1,000000
aarch64;ip-172-31-19-57;avl-std;zipfian;1,200000;1;65536;1000;500;4096;90;5;5;68246336;61381719;3648913;3215704;13649039;73,265228;0;0;1,000000
aarch64;ip-172-31-19-57;avl-std;zipfian;1,200000;1;65536;1000;500;4096;90;5;5;67887232;61058731;3629714;3198787;13577250;73,652614;0;0;1,000000
aarch64;ip-172-31-19-57;avl-std;zipfian;1,200000;2;65536;1000;500;4096;90;5;5;84394496;76112645;4388063;3893788;16878614;59,246568;41990144;42404352;0,990232
aarch64;ip-172-31-19-57;avl-std;zipfian;1,200000;2;65536;1000;500;4096;90;5;5;84682496;76372662;4402876;3906958;16936316;59,044718;42076992;42605504;0,987595
aarch64;ip-172-31-19-57;avl-std;zipfian;1,200000;2;65536;1000;500;4096;90;5;5;84415552;76131301;4389366;3894885;16882878;59,231604;42068608;42346944;0,993427
aarch64;ip-172-31-19-57;avl-std;zipfian;1,200000;4;65536;1000;500;4096;90;5;5;133829440;120314675;6949242;6565523;26765343;37,361747;33153088;33783936;0,981327
aarch64;ip-172-31-19-57;avl-std;zipfian;1,200000;4;65536;1000;500;4096;90;5;5;134239744;120683764;6970526;6585454;26847386;37,247573;33258304;33936320;0,980021
aarch64;ip-172-31-19-57;avl-std;zipfian;1,200000;4;65536;1000;500;4096;90;5;5;133182464;119734631;6915157;6532676;26635953;37,543241;32884096;33801536;0,972858
aarch64;ip-172-31-19-57;avl-std;zipfian;1,200000;8;65536;1000;500;4096;90;5;5;155219712;139529157;7870169;7820386;31042861;32,213525;18697024;19799232;0,944331
