arch;lock;dist;zipf_theta;threads;buckets;key_range;prefill;stream_len;read_pct;insert_pct;delete_pct;n;ops_s_median;ops_s_mean;ops_s_p25;ops_s_p75;ops_s_min;ops_s_max;ops_s_cov_pct;ns_op_median;ns_op_mean;ns_op_p25;ns_op_p75;ns_op_min;ns_op_max;ns_op_cov_pct;fairness_ratio_median;fairness_ratio_mean;fairness_ratio_p25;fairness_ratio_p75;fairness_ratio_min;fairness_ratio_max;fairness_ratio_cov_pct
aarch64;cds-cas;uniform;0,990000;1;256;5000000;0;4096;30;65;5;3;8,00093e+07;7,99953e+07;7,9794e+07;8,01826e+07;7,9794e+07;8,01826e+07;0,243367;12,4985;12,5008;12,4715;12,5323;12,4715;12,5323;0,243434;1;1;1;1;1;1;0
aarch64;cds-cas;uniform;0,990000;1;65536;1000;500;4096;50;25;25;3;7,32694e+07;7,32451e+07;7,30931e+07;7,33729e+07;7,30931e+07;7,33729e+07;0,193111;13,6483;13,6528;13,629;13,6812;13,629;13,6812;0,193204;1;1;1;1;1;1;0
aarch64;cds-cas;uniform;0,990000;1;65536;1000;500;4096;90;5;5;3;8,86805e+07;8,86507e+07;8,8528e+07;8,87435e+07;8,8528e+07;8,87435e+07;0,125003;11,2764;11,2802;11,2684;11,2959;11,2684;11,2959;0,12506;1;1;1;1;1;1;0
aarch64;cds-cas;uniform;0,990000;1;65536;100000;50000;4096;50;25;25;3;8,26158e+07;8,27061e+07;8,25448e+07;8,29577e+07;8,25448e+07;8,29577e+07;0,266888;12,1042;12,0911;12,0543;12,1146;12,0543;12,1146;0,266523;1;1;1;1;1;1;0
aarch64;cds-cas;uniform;0,990000;1;65536;100000;50000;4096;90;5;5;3;8,51675e+07;7,73243e+07;6,11556e+07;8,56498e+07;6,11556e+07;8,56498e+07;18,1115;11,7416;13,2563;11,6754;16,3517;11,6754;16,3517;20,2242;1;1;1;1;1;1;0
aarch64;cds-cas;uniform;0,990000;2;256;5000000;0;4096;30;65;5;3;5,75284e+07;5,80261e+07;5,72003e+07;5,93496e+07;5,72003e+07;5,93496e+07;1,99537;17,3827;17,2382;16,8493;17,4824;16,8493;17,4824;1,97473;0,973528;0,975948;0,972671;0,981645;0,972671;0,981645;0,507437
aarch64;cds-cas;uniform;0,990000;2;65536;1000;500;4096;50;25;25;3;3,5004e+07;3,47082e+07;3,36939e+07;3,54268e+07;3,36939e+07;3,54268e+07;2,6032;28,5682;28,8248;28,2272;29,679;28,2272;29,679;2,63362;0,996586;0,996096;0,992096;0,999605;0,992096;0,999605;0,379325
aarch64;cds-cas;uniform;0,990000;2;65536;1000;500;4096;90;5;5;3;6,20356e+07;6,2094e+07;6,19838e+07;6,22626e+07;6,19838e+07;6,22626e+07;0,238803;16,1198;16,1047;16,061;16,1332;16,061;16,1332;0,23852;0,997511;0,994672;0,987079;0,999427;0,987079;0,999427;0,668103
aarch64;cds-cas;uniform;0,990000;2;65536;100000;50000;4096;50;25;25;3;6,29055e+07;6,21832e+07;6,03866e+07;6,32576e+07;6,03866e+07;6,32576e+07;2,51818;15,8969;16,0884;15,8084;16,56;15,8084;16,56;2,55329;0,985514;0,985946;0,973766;0,998557;0,973766;0,998557;1,25779
aarch64;cds-cas;uniform;0,990000;2;65536;100000;50000;4096;90;5;5;3;6,1621e+07;6,14257e+07;6,03077e+07;6,23483e+07;6,03077e+07;6,23483e+07;1,68368;16,2282;16,2829;16,0389;16,5816;16,0389;16,5816;1,69164;0,976377;0,979312;0,975878;0,98568;0,975878;0,98568;0,563741
