arch;hostname;lock;dist;zipf_theta;threads;buckets;key_range;prefill;stream_len;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
aarch64;ip-172-31-19-57;cds-std;uniform;0,990000;1;65536;1000;500;4096;90;5;5;263617216;237101027;14094771;12421418;52722587;18,967202;0;0;1,000000
aarch64;ip-172-31-19-57;cds-std;uniform;0,990000;1;65536;1000;500;4096;90;5;5;263609024;237093669;14094332;12421023;52721005;18,967772;0;0;1,000000
aarch64;ip-172-31-19-57;cds-std;uniform;0,990000;1;65536;1000;500;4096;90;5;5;263228928;236751797;14074006;12403125;52644929;18,995182;0;0;1,000000
aarch64;ip-172-31-19-57;cds-std;uniform;0,990000;2;65536;1000;500;4096;90;5;5;163007104;147009405;8476345;7521354;32600880;30,674018;81388800;81618304;0,997188
aarch64;ip-172-31-19-57;cds-std;uniform;0,990000;2;65536;1000;500;4096;90;5;5;161338496;145505030;8389301;7444165;32267140;30,991280;80457984;80880512;0,994776
aarch64;ip-172-31-19-57;cds-std;uniform;0,990000;2;65536;1000;500;4096;90;5;5;164343680;148214255;8546182;7583243;32868212;30,424533;82171520;82172160;0,999992
aarch64;ip-172-31-19-57;cds-std;uniform;0,990000;4;65536;1000;500;4096;90;5;5;276861568;248894175;14380408;13586985;55371107;18,059960;69053696;69323136;0,996113
aarch64;ip-172-31-19-57;cds-std;uniform;0,990000;4;65536;1000;500;4096;90;5;5;273891712;246226672;14224675;13440365;54777109;18,255801;68166848;68722688;0,991912
aarch64;ip-172-31-19-57;cds-std;uniform;0,990000;4;65536;1000;500;4096;90;5;5;276215936;248312840;14347497;13555599;55241985;18,102173;68892736;69252224;0,994809
aarch64;ip-172-31-19-57;cds-std;uniform;0,990000;8;65536;1000;500;4096;90;5;5;350559168;315122924;17781628;17654616;70109339;14,263435;41509696;45995136;0,902480
aarch64;ip-172-31-19-57;cds-std;uniform;0,990000;8;65536;1000;500;4096;90;5;5;374090560;336271008;18974922;18844630;74815745;13,366170;44485312;48833792;0,910953
aarch64;ip-172-31-19-57;cds-std;uniform;0,990000;8;65536;1000;500;4096;90;5;5;379729344;341329298;19253668;19146378;75943415;13,167699;45849280;49018240;0,935351
aarch64;ip-172-31-19-57;cds-std;zipfian;0,990000;1;65536;1000;500;4096;90;5;5;261918912;235573556;14003965;12341391;52383352;19,090034;0;0;1,000000
aarch64;ip-172-31-19-57;cds-std;zipfian;0,990000;1;65536;1000;500;4096;90;5;5;262143168;235775245;14015955;12351968;52427949;19,073796;0;0;1,000000
aarch64;ip-172-31-19-57;cds-std;zipfian;0,990000;1;65536;1000;500;4096;90;5;5;262081472;235719754;14012655;12349063;52415481;19,078333;0;0;1,000000
aarch64;ip-172-31-19-57;cds-std;zipfian;0,990000;2;65536;1000;500;4096;90;5;5;159943104;144246724;8316666;7379714;31988089;31,261635;79734144;80208960;0,994080
aarch64;ip-172-31-19-57;cds-std;zipfian;0,990000;2;65536;1000;500;4096;90;5;5;160108288;144395889;8325138;7387261;32021267;31,229245;79773888;80334400;0,993023
aarch64;ip-172-31-19-57;cds-std;zipfian;0,990000;2;65536;1000;500;4096;90;5;5;156244672;140910830;8124601;7209241;31248524;32,001510;77974208;78270464;0,996215
aarch64;ip-172-31-19-57;cds-std;zipfian;0,990000;4;65536;1000;500;4096;90;5;5;207999424;186986557;10806222;10206645;41598918;24,039086;51672640;52499904;0,984243
aarch64;ip-172-31-19-57;cds-std;zipfian;0,990000;4;65536;1000;500;4096;90;5;5;202059776;181644971;10496956;9917849;40411111;24,745669;49944256;50832192;0,982532
aarch64;ip-172-31-19-57;cds-std;zipfian;0,990000;4;65536;1000;500;4096;90;5;5;209508672;188339479;10884216;10284977;41900781;23,865903;51650432;52743424;0,979277
aarch64;ip-172-31-19-57;cds-std;zipfian;0,990000;8;65536;1000;500;4096;90;5;5;198439232;178370417;10062132;10006683;39686556;25,197449;24014976;25576704;0,938939
