arch;lock;dist;zipf_theta;threads;buckets;key_range;prefill;stream_len;read_pct;insert_pct;delete_pct;n;ops_s_median;ops_s_mean;ops_s_p25;ops_s_p75;ops_s_min;ops_s_max;ops_s_cov_pct;ns_op_median;ns_op_mean;ns_op_p25;ns_op_p75;ns_op_min;ns_op_max;ns_op_cov_pct;fairness_ratio_median;fairness_ratio_mean;fairness_ratio_p25;fairness_ratio_p75;fairness_ratio_min;fairness_ratio_max;fairness_ratio_cov_pct
aarch64;wh-cas;uniform;0,990000;1;65536;1000;500;4096;50;25;25;3;1,38711e+07;1,38657e+07;1,38452e+07;1,38808e+07;1,38452e+07;1,38808e+07;0,132452;72,0924;72,1205;72,0421;72,227;72,0421;72,227;0,132523;1;1;1;1;1;1;0
aarch64;wh-cas;uniform;0,990000;1;65536;1000;500;4096;90;5;5;3;1,92777e+07;1,92948e+07;1,9265e+07;1,93417e+07;1,9265e+07;1,93417e+07;0,213088;51,8735;51,8276;51,7018;51,9076;51,7018;51,9076;0,212855;1;1;1;1;1;1;0
aarch64;wh-cas;uniform;0,990000;1;65536;100000;50000;4096;50;25;25;3;1,45168e+07;1,44926e+07;1,44051e+07;1,45557e+07;1,44051e+07;1,45557e+07;0,539513;68,8856;69,0023;68,7015;69,4198;68,7015;69,4198;0,540743;1;1;1;1;1;1;0
aarch64;wh-cas;uniform;0,990000;1;65536;100000;50000;4096;90;5;5;3;1,75875e+07;1,75505e+07;1,74751e+07;1,75889e+07;1,74751e+07;1,75889e+07;0,371904;56,8587;56,9789;56,854;57,2241;56,854;57,2241;0,372702;1;1;1;1;1;1;0
aarch64;wh-cas;uniform;0,990000;2;65536;1000;500;4096;50;25;25;3;1,61168e+07;1,61258e+07;1,61018e+07;1,61589e+07;1,61018e+07;1,61589e+07;0,183822;62,0472;62,0125;61,8853;62,105;61,8853;62,105;0,18368;0,992235;0,991661;0,990306;0,992443;0,990306;0,992443;0,118826
aarch64;wh-cas;uniform;0,990000;2;65536;1000;500;4096;90;5;5;3;2,2183e+07;2,22906e+07;2,19841e+07;2,27046e+07;2,19841e+07;2,27046e+07;1,66921;45,0795;44,8703;44,044;45,4874;44,044;45,4874;1,65834;0,996943;0,993871;0,987205;0,997466;0,987205;0,997466;0,581477
aarch64;wh-cas;uniform;0,990000;2;65536;100000;50000;4096;50;25;25;3;2,06951e+07;2,0678e+07;2,06054e+07;2,07335e+07;2,06054e+07;2,07335e+07;0,317887;48,3206;48,3609;48,2311;48,531;48,2311;48,531;0,318255;0,982682;0,984629;0,981707;0,989499;0,981707;0,989499;0,431161
aarch64;wh-cas;uniform;0,990000;2;65536;100000;50000;4096;90;5;5;3;2,61326e+07;2,6266e+07;2,6084e+07;2,65814e+07;2,6084e+07;2,65814e+07;1,04403;38,2663;38,0748;37,6203;38,3377;37,6203;38,3377;1,038;0,98974;0,990281;0,988674;0,99243;0,988674;0,99243;0,195463
aarch64;wh-cas;uniform;0,990000;4;65536;1000;500;4096;50;25;25;3;2,47457e+07;2,49461e+07;2,45415e+07;2,55509e+07;2,45415e+07;2,55509e+07;2,13937;40,411;40,0986;39,1375;40,7473;39,1375;40,7473;2,1176;0,984336;0,984006;0,983331;0,984351;0,983331;0,984351;0,0594118
aarch64;wh-cas;uniform;0,990000;4;65536;1000;500;4096;90;5;5;3;3,64188e+07;3,63881e+07;3,62782e+07;3,64674e+07;3,62782e+07;3,64674e+07;0,270073;27,4584;27,4816;27,4217;27,5648;27,4217;27,5648;0,270381;0,988362;0,988464;0,987932;0,989097;0,987932;0,989097;0,0595992
