arch;hostname;lock;dist;zipf_theta;threads;buckets;key_range;prefill;stream_len;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;1;65536;1000;500;4096;90;5;5;80944256;72802391;4327835;3814030;16188554;61,772037;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;1;65536;1000;500;4096;90;5;5;80794880;72668058;4319843;3806979;16158681;61,886239;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;1;65536;1000;500;4096;90;5;5;80967680;72823467;4329086;3815127;16193219;61,754243;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;2;65536;1000;500;4096;90;5;5;89817728;81000964;4671682;4145082;17963224;55,669292;44573632;45244096;0,985181
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;2;65536;1000;500;4096;90;5;5;86720128;78209021;4509616;4001491;17343696;57,657836;43359616;43360512;0,999979
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;2;65536;1000;500;4096;90;5;5;85217408;76853746;4431494;3932168;17043182;58,674489;42602304;42615104;0,999700
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;4;65536;1000;500;4096;90;5;5;133600448;120106970;6938025;6555453;26719455;37,425912;33224064;33530944;0,990848
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;4;65536;1000;500;4096;90;5;5;130778880;117571512;6791011;6416357;26155107;38,233450;32469184;32975424;0,984648
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;4;65536;1000;500;4096;90;5;5;128957376;115932581;6696991;6327804;25790831;38,773469;32100608;32354304;0,992159
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;8;65536;1000;500;4096;90;5;5;165590080;148849946;8393755;8346379;33116872;30,196088;20098560;21297024;0,943726
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;8;65536;1000;500;4096;90;5;5;166328384;149511493;8430170;8386721;33264559;30,062024;20385024;21124800;0,964981
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;8;65536;1000;500;4096;90;5;5;170060992;152866296;8619645;8575051;34010977;29,402272;20907776;21581952;0,968762
aarch64;ip-172-31-19-57;wh-default;zipfian;0,990000;1;65536;1000;500;4096;90;5;5;81525504;73325192;4358906;3841406;16304802;61,331625;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;zipfian;0,990000;1;65536;1000;500;4096;90;5;5;81533568;73332432;4359344;3841792;16306402;61,325607;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;zipfian;0,990000;1;65536;1000;500;4096;90;5;5;81655232;73441855;4365847;3847530;16330769;61,234101;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;zipfian;0,990000;2;65536;1000;500;4096;90;5;5;84503040;76209918;4394086;3899036;16900312;59,170502;42169920;42333120;0,996145
aarch64;ip-172-31-19-57;wh-default;zipfian;0,990000;2;65536;1000;500;4096;90;5;5;81852032;73819201;4256169;3776662;16370099;61,086984;40822208;41029824;0,994940
aarch64;ip-172-31-19-57;wh-default;zipfian;0,990000;2;65536;1000;500;4096;90;5;5;81060608;73105467;4215001;3740140;16211845;61,683291;40423360;40637248;0,994737
aarch64;ip-172-31-19-57;wh-default;zipfian;0,990000;4;65536;1000;500;4096;90;5;5;114014336;102498848;5921329;5594159;22802384;43,855062;28331264;28618048;0,989979
aarch64;ip-172-31-19-57;wh-default;zipfian;0,990000;4;65536;1000;500;4096;90;5;5;115345728;103696240;5990029;5659459;23068591;43,348984;28653568;28965888;0,989218
aarch64;ip-172-31-19-57;wh-default;zipfian;0,990000;4;65536;1000;500;4096;90;5;5;111310656;100067122;5780628;5462906;22261623;44,920353;27744768;27980352;0,991580
aarch64;ip-172-31-19-57;wh-default;zipfian;0,990000;8;65536;1000;500;4096;90;5;5;110172224;99052854;5589279;5530091;22033687;45,385051;11357248;15400256;0,737471
aarch64;ip-172-31-19-57;wh-default;zipfian;0,990000;8;65536;1000;500;4096;90;5;5;101633728;91381138;5157775;5094815;20326035;49,197987;9781504;14587776;0,670527
aarch64;ip-172-31-19-57;wh-default;zipfian;0,990000;8;65536;1000;500;4096;90;5;5;91456896;82229932;4640445;4586519;18290748;54,672448;9090112;13080320;0,694946
aarch64;ip-172-31-19-57;wh-default;zipfian;1,200000;1;65536;1000;500;4096;90;5;5;82719616;74399189;4422757;3897670;16543662;60,446106;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;zipfian;1,200000;1;65536;1000;500;4096;90;5;5;82738304;74415989;4423756;3898559;16547371;60,432559;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;zipfian;1,200000;1;65536;1000;500;4096;90;5;5;82721728;74401084;4422866;3897778;16544070;60,444617;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;zipfian;1,200000;2;65536;1000;500;4096;90;5;5;79450112;71653202;4131148;3665762;15889726;62,933747;39582784;39867328;0,992863
aarch64;ip-172-31-19-57;wh-default;zipfian;1,200000;2;65536;1000;500;4096;90;5;5;83134080;74975716;4322671;3835693;16626513;60,144899;41404928;41729152;0,992230
aarch64;ip-172-31-19-57;wh-default;zipfian;1,200000;2;65536;1000;500;4096;90;5;5;81440576;73448290;4234674;3757612;16287801;61,395640;40585472;40855104;0,993400
aarch64;ip-172-31-19-57;wh-default;zipfian;1,200000;4;65536;1000;500;4096;90;5;5;99836544;89752589;5184265;4899690;19966848;50,083016;24828928;25130496;0,988000
aarch64;ip-172-31-19-57;wh-default;zipfian;1,200000;4;65536;1000;500;4096;90;5;5;105238208;94609161;5464802;5164245;21047118;47,512441;26119360;26464832;0,986946
aarch64;ip-172-31-19-57;wh-default;zipfian;1,200000;4;65536;1000;500;4096;90;5;5;106694016;95918536;5540244;5235236;21338282;46,864127;26515008;26852736;0,987423
aarch64;ip-172-31-19-57;wh-default;zipfian;1,200000;8;65536;1000;500;4096;90;5;5;82924608;74524854;4191547;4208207;16584385;60,297682;8055552;12014976;0,670459
aarch64;ip-172-31-19-57;wh-default;zipfian;1,200000;8;65536;1000;500;4096;90;5;5;65306624;58683410;3292172;3331042;13060855;76,564666;4799296;10649920;0,450642
aarch64;ip-172-31-19-57;wh-default;zipfian;1,200000;8;65536;1000;500;4096;90;5;5;63957888;57518840;3260190;3178858;12791148;78,179060;4050112;10926720;0,370661
aarch64;ip-172-31-19-57;wh-default;zipfian;1,500000;1;65536;1000;500;4096;90;5;5;84222144;75750578;4503091;3968475;16844165;59,367737;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;zipfian;1,500000;1;65536;1000;500;4096;90;5;5;84202944;75733302;4502065;3967577;16840336;59,381237;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;zipfian;1,500000;1;65536;1000;500;4096;90;5;5;84200512;75731117;4501930;3967465;16839800;59,383128;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;zipfian;1,500000;2;65536;1000;500;4096;90;5;5;81129088;73167484;4218408;3743196;16225526;61,631284;40406528;40722560;0,992239
aarch64;ip-172-31-19-57;wh-default;zipfian;1,500000;2;65536;1000;500;4096;90;5;5;75809600;68369954;3941843;3497803;15161645;65,955902;37768320;38041280;0,992825
aarch64;ip-172-31-19-57;wh-default;zipfian;1,500000;2;65536;1000;500;4096;90;5;5;85720704;77308726;4457020;3954958;17143846;58,329967;42647296;43073408;0,990107
aarch64;ip-172-31-19-57;wh-default;zipfian;1,500000;4;65536;1000;500;4096;90;5;5;86793664;78028386;4507485;4257793;17358308;57,609299;21483264;21846976;0,983352
aarch64;ip-172-31-19-57;wh-default;zipfian;1,500000;4;65536;1000;500;4096;90;5;5;86598656;77852661;4497339;4248656;17319349;57,738891;21460480;21779072;0,985372
aarch64;ip-172-31-19-57;wh-default;zipfian;1,500000;4;65536;1000;500;4096;90;5;5;93152448;83744969;4837501;4569978;18630063;53,676681;23101440;23459392;0,984742
aarch64;ip-172-31-19-57;wh-default;zipfian;1,500000;8;65536;1000;500;4096;90;5;5;52533568;47213336;2641456;2678776;10506349;95,180542;2812352;9907136;0,283871
aarch64;ip-172-31-19-57;wh-default;zipfian;1,500000;8;65536;1000;500;4096;90;5;5;44273536;39823904;2263478;2186154;8854340;112,938958;1912832;8742464;0,218798
aarch64;ip-172-31-19-57;wh-default;zipfian;1,500000;8;65536;1000;500;4096;90;5;5;43340096;38983017;2214606;2142473;8667701;115,370841;2079424;8433344;0,246572
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;1;65536;100000;50000;4096;90;5;5;75304512;67729943;4026291;3548278;15060644;66,398220;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;1;65536;100000;50000;4096;90;5;5;74817536;67291944;4000254;3525338;14963242;66,830436;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;1;65536;100000;50000;4096;90;5;5;74750400;67231568;3996661;3522171;14949819;66,890441;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;2;65536;100000;50000;4096;90;5;5;90434560;81560643;4701737;4172180;18086598;55,289556;44860160;45574400;0,984328
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;2;65536;100000;50000;4096;90;5;5;90826624;81913210;4722730;4190684;18165020;55,050860;45267520;45559104;0,993600
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;2;65536;100000;50000;4096;90;5;5;90318272;81455248;4695997;4167027;18063315;55,360822;44908544;45409728;0,988963
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;4;65536;100000;50000;4096;90;5;5;159726464;143594503;8293906;7838055;31944549;31,304245;39704000;40155584;0,988754
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;4;65536;100000;50000;4096;90;5;5;159869696;143723008;8301299;7845389;31973171;31,276222;39668800;40213504;0,986455
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;4;65536;100000;50000;4096;90;5;5;158958016;142903491;8253827;7800698;31790830;31,455611;39430912;40002304;0,985716
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;8;65536;100000;50000;4096;90;5;5;274480576;246685273;13933870;13861433;54894259;18,216841;27457280;37081152;0,740465
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;8;65536;100000;50000;4096;90;5;5;292964480;263338695;14850376;14775409;58590804;17,067525;36205696;37045568;0,977329
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;8;65536;100000;50000;4096;90;5;5;293445696;263772529;14873859;14799308;58687133;17,039510;36230592;37068288;0,977401
aarch64;ip-172-31-19-57;wh-default;zipfian;0,990000;1;65536;100000;50000;4096;90;5;5;76088128;68434723;4068189;3585216;15217372;65,714367;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;zipfian;0,990000;1;65536;100000;50000;4096;90;5;5;75803712;68178919;4052986;3571807;15160462;65,961048;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;zipfian;0,990000;1;65536;100000;50000;4096;90;5;5;75765056;68144146;4050919;3569991;15152752;65,994611;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;zipfian;0,990000;2;65536;100000;50000;4096;90;5;5;90287872;81427607;4694549;4165716;18057240;55,379448;44939584;45348288;0,990987
aarch64;ip-172-31-19-57;wh-default;zipfian;0,990000;2;65536;100000;50000;4096;90;5;5;88652288;79952976;4609231;4090081;17730151;56,401099;44031552;44620736;0,986796
aarch64;ip-172-31-19-57;wh-default;zipfian;0,990000;2;65536;100000;50000;4096;90;5;5;89656768;80858762;4661537;4136469;17931040;55,769213;44560064;45096704;0,988100
aarch64;ip-172-31-19-57;wh-default;zipfian;0,990000;4;65536;100000;50000;4096;90;5;5;153792640;138260260;7985784;7546596;30757748;32,512132;38175808;38652992;0,987655
aarch64;ip-172-31-19-57;wh-default;zipfian;0,990000;4;65536;100000;50000;4096;90;5;5;153036608;137579421;7947051;7510136;30606610;32,672681;38095808;38465024;0,990401
aarch64;ip-172-31-19-57;wh-default;zipfian;0,990000;4;65536;100000;50000;4096;90;5;5;150697536;135476966;7825399;7395171;30138826;33,179792;37486912;37881472;0,989584
aarch64;ip-172-31-19-57;wh-default;zipfian;0,990000;8;65536;100000;50000;4096;90;5;5;270300608;242966758;13701400;13632450;54058220;18,498574;33371520;34088896;0,978956
aarch64;ip-172-31-19-57;wh-default;zipfian;0,990000;8;65536;100000;50000;4096;90;5;5;272180992;244656232;13796546;13728214;54434366;18,370748;33708672;34396864;0,979993
aarch64;ip-172-31-19-57;wh-default;zipfian;0,990000;8;65536;100000;50000;4096;90;5;5;270415616;243070566;13707215;13637835;54081258;18,490694;33361600;34140992;0,977171
aarch64;ip-172-31-19-57;wh-default;zipfian;1,200000;1;65536;100000;50000;4096;90;5;5;78442368;70552167;4194063;3696138;15688186;63,742231;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;zipfian;1,200000;1;65536;100000;50000;4096;90;5;5;78381248;70497192;4190798;3693258;15675985;63,791844;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;zipfian;1,200000;1;65536;100000;50000;4096;90;5;5;78083648;70229535;4174875;3679238;15616457;64,035010;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;zipfian;1,200000;2;65536;100000;50000;4096;90;5;5;88144960;79495457;4582842;4066661;17628685;56,725725;43777536;44367424;0,986704
aarch64;ip-172-31-19-57;wh-default;zipfian;1,200000;2;65536;100000;50000;4096;90;5;5;87278016;78713751;4537675;4026590;17455275;57,289270;43316736;43961280;0,985338
aarch64;ip-172-31-19-57;wh-default;zipfian;1,200000;2;65536;100000;50000;4096;90;5;5;90295296;81435383;4694280;4165633;18058768;55,374762;44719808;45575488;0,981225
aarch64;ip-172-31-19-57;wh-default;zipfian;1,200000;4;65536;100000;50000;4096;90;5;5;142030208;127686088;7375351;6968769;28405479;35,204476;35213056;35643264;0,987930
aarch64;ip-172-31-19-57;wh-default;zipfian;1,200000;4;65536;100000;50000;4096;90;5;5;137545664;123653382;7142731;6749551;27508457;36,352457;34197952;34535168;0,990236
aarch64;ip-172-31-19-57;wh-default;zipfian;1,200000;4;65536;100000;50000;4096;90;5;5;141000064;126760517;7321725;6917822;28199353;35,461806;34910592;35423680;0,985516
aarch64;ip-172-31-19-57;wh-default;zipfian;1,200000;8;65536;100000;50000;4096;90;5;5;182742784;164268778;9267124;9206882;36547248;27,361841;21926080;23717184;0,924481
aarch64;ip-172-31-19-57;wh-default;zipfian;1,200000;8;65536;100000;50000;4096;90;5;5;196217792;176381397;9949653;9886742;39242250;25,482739;23645056;25326528;0,933608
aarch64;ip-172-31-19-57;wh-default;zipfian;1,200000;8;65536;100000;50000;4096;90;5;5;181856896;163461234;9212794;9182868;36370020;27,495173;21736448;23492992;0,925231
aarch64;ip-172-31-19-57;wh-default;zipfian;1,500000;1;65536;100000;50000;4096;90;5;5;81772032;73546920;4372089;3853023;16354119;61,146672;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;zipfian;1,500000;1;65536;100000;50000;4096;90;5;5;81856512;73622906;4376603;3857003;16370997;61,083633;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;zipfian;1,500000;1;65536;100000;50000;4096;90;5;5;81774528;73549152;4372226;3853150;16354658;61,144657;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;zipfian;1,500000;2;65536;100000;50000;4096;90;5;5;81362048;73378179;4230156;3753713;16272086;61,454935;40398912;40963136;0,986226
aarch64;ip-172-31-19-57;wh-default;zipfian;1,500000;2;65536;100000;50000;4096;90;5;5;86793920;78277003;4512605;4004312;17358452;57,608822;43108672;43685248;0,986802
aarch64;ip-172-31-19-57;wh-default;zipfian;1,500000;2;65536;100000;50000;4096;90;5;5;80911360;72971624;4206786;3732950;16181972;61,797164;40194880;40716480;0,987189
aarch64;ip-172-31-19-57;wh-default;zipfian;1,500000;4;65536;100000;50000;4096;90;5;5;112070528;100748884;5820611;5501033;22413562;44,615844;27871168;28192256;0,988611
aarch64;ip-172-31-19-57;wh-default;zipfian;1,500000;4;65536;100000;50000;4096;90;5;5;105091968;94477153;5457885;5156930;21017886;47,578524;26146880;26347200;0,992397
aarch64;ip-172-31-19-57;wh-default;zipfian;1,500000;4;65536;100000;50000;4096;90;5;5;105484992;94830064;5478615;5176313;21096477;47,401277;26284800;26452480;0,993661
aarch64;ip-172-31-19-57;wh-default;zipfian;1,500000;8;65536;100000;50000;4096;90;5;5;59400384;53410006;3025761;2964617;11879660;84,177489;2766464;10418880;0,265524
aarch64;ip-172-31-19-57;wh-default;zipfian;1,500000;8;65536;100000;50000;4096;90;5;5;58859840;52940118;3006831;2912891;11771543;84,950624;2721856;11158912;0,243918
aarch64;ip-172-31-19-57;wh-default;zipfian;1,500000;8;65536;100000;50000;4096;90;5;5;60657856;54559765;3099734;2998357;12130777;82,434947;2534592;11748608;0,215736
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;1;65536;1000;500;4096;50;25;25;60168704;29496741;15145024;15526939;12033525;83,101168;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;1;65536;1000;500;4096;50;25;25;60186880;29505677;15149581;15531622;12037153;83,076117;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;1;65536;1000;500;4096;50;25;25;60202816;29513484;15153588;15535744;12040349;83,054066;0;0;1,000000
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;2;65536;1000;500;4096;50;25;25;67115264;32910354;17398441;16806469;13422807;74,500061;33358464;33756800;0,988200
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;2;65536;1000;500;4096;50;25;25;66303488;32512312;17187970;16603206;13260440;75,412275;32954176;33349312;0,988152
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;2;65536;1000;500;4096;50;25;25;65829568;32279877;17066107;16483584;13165649;75,955237;32780480;33049088;0,991872
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;4;65536;1000;500;4096;50;25;25;99619520;49264041;25053607;25301872;19923424;50,192176;24780352;24999744;0,991224
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;4;65536;1000;500;4096;50;25;25;98713728;48817050;24827034;25069644;19742255;50,652774;24512576;24851968;0,986343
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;4;65536;1000;500;4096;50;25;25;101598400;50243755;25549641;25805004;20319173;49,214600;25234560;25584320;0,986329
aarch64;ip-172-31-19-57;wh-default;uniform;0,990000;8;65536;1000;500;4096;50;25;25;110258176;54699765;27657248;27901163;22050838;45,349750;13201024;14221376;0,928252
