arch;hostname;lock;dist;zipf_theta;threads;buckets;key_range;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
apple_m3;Andreis-MacBook-Pro-7;wh-default;uniform;0,990000;1;65536;1000000;80;10;10;15653398;12522487;1564047;1566864;7807034;128,089611;0;0;1,000000
apple_m3;Andreis-MacBook-Pro-7;wh-default;uniform;0,990000;2;65536;1000000;80;10;10;35061127;28049489;3501741;3509897;17486517;57,186917;17527033;17534094;0,999597
apple_m3;Andreis-MacBook-Pro-7;wh-default;uniform;0,990000;4;65536;1000000;80;10;10;70322753;56255764;7028732;7038257;35088945;28,499004;17557870;17594165;0,997937
apple_m3;Andreis-MacBook-Pro-7;wh-default;uniform;0,990000;8;65536;1000000;80;10;10;97564408;78048305;9752917;9763186;48690276;20,537981;11324194;12927905;0,875950
apple_m3;Andreis-MacBook-Pro-7;wh-default;uniform;0,990000;11;65536;1000000;80;10;10;103737908;82990445;10369346;10378117;51723434;19,333596;9113811;10244154;0,889660
apple_m3;Andreis-MacBook-Pro-7;wh-rw;uniform;0,990000;1;65536;1000000;80;10;10;15971216;12777042;1595849;1598325;7965567;125,540337;0;0;1,000000
apple_m3;Andreis-MacBook-Pro-7;wh-rw;uniform;0,990000;2;65536;1000000;80;10;10;33799182;27039668;3376024;3383490;16857070;59,322288;16855684;16943498;0,994817
apple_m3;Andreis-MacBook-Pro-7;wh-rw;uniform;0,990000;4;65536;1000000;80;10;10;68033742;54424475;6800311;6808956;33963637;29,443254;16959407;17089844;0,992368
apple_m3;Andreis-MacBook-Pro-7;wh-rw;uniform;0,990000;8;65536;1000000;80;10;10;95896599;76714021;9586585;9595993;47827144;20,908629;11061773;12472512;0,886892
apple_m3;Andreis-MacBook-Pro-7;wh-rw;uniform;0,990000;11;65536;1000000;80;10;10;96333126;77066645;9627180;9639301;47992239;20,836702;7558726;9901999;0,763354
apple_m3;Andreis-MacBook-Pro-7;wh-tas;uniform;0,990000;1;65536;1000000;80;10;10;15996328;12796932;1598480;1600916;7988470;125,180414;0;0;1,000000
apple_m3;Andreis-MacBook-Pro-7;wh-tas;uniform;0,990000;2;65536;1000000;80;10;10;33426094;26741342;3338778;3345974;16670956;59,984561;16695506;16730588;0,997903
