arch;lock;dist;zipf_theta;threads;buckets;key_range;read_pct;insert_pct;delete_pct;n;ops_s_median;ops_s_mean;ops_s_p25;ops_s_p75;ops_s_min;ops_s_max;ops_s_cov_pct;ns_op_median;ns_op_mean;ns_op_p25;ns_op_p75;ns_op_min;ns_op_max;ns_op_cov_pct;fairness_ratio_median;fairness_ratio_mean;fairness_ratio_p25;fairness_ratio_p75;fairness_ratio_min;fairness_ratio_max;fairness_ratio_cov_pct
arm64;wh-cas;uniform;0,990000;1;65536;100000;95;2;3;1;1,82576e+07;1,82576e+07;1,82576e+07;1,82576e+07;1,82576e+07;1,82576e+07;;54,7716;54,7716;54,7716;54,7716;54,7716;54,7716;;1;1;1;1;1;1;
arm64;wh-cas;uniform;0,990000;11;65536;100000;95;2;3;1;7,50206e+07;7,50206e+07;7,50206e+07;7,50206e+07;7,50206e+07;7,50206e+07;;13,3297;13,3297;13,3297;13,3297;13,3297;13,3297;;0,791157;0,791157;0,791157;0,791157;0,791157;0,791157;
arm64;wh-cas;uniform;0,990000;2;65536;100000;95;2;3;1;2,87957e+07;2,87957e+07;2,87957e+07;2,87957e+07;2,87957e+07;2,87957e+07;;34,7274;34,7274;34,7274;34,7274;34,7274;34,7274;;0,999234;0,999234;0,999234;0,999234;0,999234;0,999234;
arm64;wh-cas;uniform;0,990000;4;65536;100000;95;2;3;1;5,86221e+07;5,86221e+07;5,86221e+07;5,86221e+07;5,86221e+07;5,86221e+07;;17,0584;17,0584;17,0584;17,0584;17,0584;17,0584;;0,826178;0,826178;0,826178;0,826178;0,826178;0,826178;
arm64;wh-cas;uniform;0,990000;8;65536;100000;95;2;3;1;6,49103e+07;6,49103e+07;6,49103e+07;6,49103e+07;6,49103e+07;6,49103e+07;;15,4059;15,4059;15,4059;15,4059;15,4059;15,4059;;0,609012;0,609012;0,609012;0,609012;0,609012;0,609012;
arm64;wh-cas;zipfian;0,990000;1;65536;1000;50;25;25;1;1,08068e+07;1,08068e+07;1,08068e+07;1,08068e+07;1,08068e+07;1,08068e+07;;92,5347;92,5347;92,5347;92,5347;92,5347;92,5347;;1;1;1;1;1;1;
arm64;wh-cas;zipfian;0,990000;1;65536;1000;95;2;3;1;1,30851e+07;1,30851e+07;1,30851e+07;1,30851e+07;1,30851e+07;1,30851e+07;;76,4228;76,4228;76,4228;76,4228;76,4228;76,4228;;1;1;1;1;1;1;
arm64;wh-cas;zipfian;0,990000;1;65536;100000;50;25;25;1;6,50789e+06;6,50789e+06;6,50789e+06;6,50789e+06;6,50789e+06;6,50789e+06;;153,66;153,66;153,66;153,66;153,66;153,66;;1;1;1;1;1;1;
arm64;wh-cas;zipfian;0,990000;1;65536;100000;95;2;3;1;1,14233e+07;1,14233e+07;1,14233e+07;1,14233e+07;1,14233e+07;1,14233e+07;;87,54;87,54;87,54;87,54;87,54;87,54;;1;1;1;1;1;1;
arm64;wh-cas;zipfian;0,990000;11;65536;1000;50;25;25;1;8,86627e+06;8,86627e+06;8,86627e+06;8,86627e+06;8,86627e+06;8,86627e+06;;112,787;112,787;112,787;112,787;112,787;112,787;;0,959219;0,959219;0,959219;0,959219;0,959219;0,959219;
arm64;wh-cas;zipfian;0,990000;11;65536;1000;95;2;3;1;8,13865e+06;8,13865e+06;8,13865e+06;8,13865e+06;8,13865e+06;8,13865e+06;;122,87;122,87;122,87;122,87;122,87;122,87;;0,936571;0,936571;0,936571;0,936571;0,936571;0,936571;
arm64;wh-cas;zipfian;0,990000;11;65536;100000;50;25;25;1;2,01868e+07;2,01868e+07;2,01868e+07;2,01868e+07;2,01868e+07;2,01868e+07;;49,5374;49,5374;49,5374;49,5374;49,5374;49,5374;;0,967369;0,967369;0,967369;0,967369;0,967369;0,967369;
arm64;wh-cas;zipfian;0,990000;11;65536;100000;95;2;3;1;5,71499e+07;5,71499e+07;5,71499e+07;5,71499e+07;5,71499e+07;5,71499e+07;;17,4979;17,4979;17,4979;17,4979;17,4979;17,4979;;0,888943;0,888943;0,888943;0,888943;0,888943;0,888943;
arm64;wh-cas;zipfian;0,990000;2;65536;1000;50;25;25;1;1,83554e+07;1,83554e+07;1,83554e+07;1,83554e+07;1,83554e+07;1,83554e+07;;54,48;54,48;54,48;54,48;54,48;54,48;;0,996148;0,996148;0,996148;0,996148;0,996148;0,996148;
arm64;wh-cas;zipfian;0,990000;2;65536;1000;95;2;3;1;2,40786e+07;2,40786e+07;2,40786e+07;2,40786e+07;2,40786e+07;2,40786e+07;;41,5307;41,5307;41,5307;41,5307;41,5307;41,5307;;0,99919;0,99919;0,99919;0,99919;0,99919;0,99919;
arm64;wh-cas;zipfian;0,990000;2;65536;100000;50;25;25;1;1,11389e+07;1,11389e+07;1,11389e+07;1,11389e+07;1,11389e+07;1,11389e+07;;89,7752;89,7752;89,7752;89,7752;89,7752;89,7752;;0,999042;0,999042;0,999042;0,999042;0,999042;0,999042;
arm64;wh-cas;zipfian;0,990000;2;65536;100000;95;2;3;1;2,15076e+07;2,15076e+07;2,15076e+07;2,15076e+07;2,15076e+07;2,15076e+07;;46,4951;46,4951;46,4951;46,4951;46,4951;46,4951;;0,999327;0,999327;0,999327;0,999327;0,999327;0,999327;
arm64;wh-cas;zipfian;0,990000;4;65536;1000;50;25;25;1;2,88926e+07;2,88926e+07;2,88926e+07;2,88926e+07;2,88926e+07;2,88926e+07;;34,611;34,611;34,611;34,611;34,611;34,611;;0,996947;0,996947;0,996947;0,996947;0,996947;0,996947;
arm64;wh-cas;zipfian;0,990000;4;65536;1000;95;2;3;1;3,73674e+07;3,73674e+07;3,73674e+07;3,73674e+07;3,73674e+07;3,73674e+07;;26,7613;26,7613;26,7613;26,7613;26,7613;26,7613;;0,984442;0,984442;0,984442;0,984442;0,984442;0,984442;
arm64;wh-cas;zipfian;0,990000;4;65536;100000;50;25;25;1;1,88767e+07;1,88767e+07;1,88767e+07;1,88767e+07;1,88767e+07;1,88767e+07;;52,9753;52,9753;52,9753;52,9753;52,9753;52,9753;;0,975722;0,975722;0,975722;0,975722;0,975722;0,975722;
arm64;wh-cas;zipfian;0,990000;4;65536;100000;95;2;3;1;4,17943e+07;4,17943e+07;4,17943e+07;4,17943e+07;4,17943e+07;4,17943e+07;;23,9267;23,9267;23,9267;23,9267;23,9267;23,9267;;0,951441;0,951441;0,951441;0,951441;0,951441;0,951441;
arm64;wh-cas;zipfian;0,990000;8;65536;1000;50;25;25;1;1,52447e+07;1,52447e+07;1,52447e+07;1,52447e+07;1,52447e+07;1,52447e+07;;65,5965;65,5965;65,5965;65,5965;65,5965;65,5965;;0,995709;0,995709;0,995709;0,995709;0,995709;0,995709;
arm64;wh-cas;zipfian;0,990000;8;65536;1000;95;2;3;1;1,43813e+07;1,43813e+07;1,43813e+07;1,43813e+07;1,43813e+07;1,43813e+07;;69,535;69,535;69,535;69,535;69,535;69,535;;0,974674;0,974674;0,974674;0,974674;0,974674;0,974674;
arm64;wh-cas;zipfian;0,990000;8;65536;100000;50;25;25;1;1,90147e+07;1,90147e+07;1,90147e+07;1,90147e+07;1,90147e+07;1,90147e+07;;52,5909;52,5909;52,5909;52,5909;52,5909;52,5909;;0,921678;0,921678;0,921678;0,921678;0,921678;0,921678;
arm64;wh-cas;zipfian;0,990000;8;65536;100000;95;2;3;1;5,47615e+07;5,47615e+07;5,47615e+07;5,47615e+07;5,47615e+07;5,47615e+07;;18,261;18,261;18,261;18,261;18,261;18,261;;0,893991;0,893991;0,893991;0,893991;0,893991;0,893991;
arm64;wh-cas;zipfian;1,200000;1;65536;1000;95;2;3;1;1,32563e+07;1,32563e+07;1,32563e+07;1,32563e+07;1,32563e+07;1,32563e+07;;75,4361;75,4361;75,4361;75,4361;75,4361;75,4361;;1;1;1;1;1;1;
arm64;wh-cas;zipfian;1,200000;11;65536;1000;95;2;3;1;6,69467e+06;6,69467e+06;6,69467e+06;6,69467e+06;6,69467e+06;6,69467e+06;;149,373;149,373;149,373;149,373;149,373;149,373;;0,91289;0,91289;0,91289;0,91289;0,91289;0,91289;
arm64;wh-cas;zipfian;1,200000;2;65536;1000;95;2;3;1;2,36447e+07;2,36447e+07;2,36447e+07;2,36447e+07;2,36447e+07;2,36447e+07;;42,2928;42,2928;42,2928;42,2928;42,2928;42,2928;;0,996852;0,996852;0,996852;0,996852;0,996852;0,996852;
arm64;wh-cas;zipfian;1,200000;4;65536;1000;95;2;3;1;3,54644e+07;3,54644e+07;3,54644e+07;3,54644e+07;3,54644e+07;3,54644e+07;;28,1973;28,1973;28,1973;28,1973;28,1973;28,1973;;0,99708;0,99708;0,99708;0,99708;0,99708;0,99708;
arm64;wh-cas;zipfian;1,200000;8;65536;1000;95;2;3;1;1,13728e+07;1,13728e+07;1,13728e+07;1,13728e+07;1,13728e+07;1,13728e+07;;87,9291;87,9291;87,9291;87,9291;87,9291;87,9291;;0,965439;0,965439;0,965439;0,965439;0,965439;0,965439;
arm64;wh-default;uniform;0,990000;1;65536;100000;95;2;3;1;1,67074e+07;1,67074e+07;1,67074e+07;1,67074e+07;1,67074e+07;1,67074e+07;;59,8538;59,8538;59,8538;59,8538;59,8538;59,8538;;1;1;1;1;1;1;
arm64;wh-default;uniform;0,990000;11;65536;100000;95;2;3;1;7,73777e+07;7,73777e+07;7,73777e+07;7,73777e+07;7,73777e+07;7,73777e+07;;12,9236;12,9236;12,9236;12,9236;12,9236;12,9236;;0,958461;0,958461;0,958461;0,958461;0,958461;0,958461;
arm64;wh-default;uniform;0,990000;2;65536;100000;95;2;3;1;3,13199e+07;3,13199e+07;3,13199e+07;3,13199e+07;3,13199e+07;3,13199e+07;;31,9286;31,9286;31,9286;31,9286;31,9286;31,9286;;0,995338;0,995338;0,995338;0,995338;0,995338;0,995338;
arm64;wh-default;uniform;0,990000;4;65536;100000;95;2;3;1;5,99403e+07;5,99403e+07;5,99403e+07;5,99403e+07;5,99403e+07;5,99403e+07;;16,6833;16,6833;16,6833;16,6833;16,6833;16,6833;;0,99577;0,99577;0,99577;0,99577;0,99577;0,99577;
arm64;wh-default;uniform;0,990000;8;65536;100000;95;2;3;1;6,79176e+07;6,79176e+07;6,79176e+07;6,79176e+07;6,79176e+07;6,79176e+07;;14,7237;14,7237;14,7237;14,7237;14,7237;14,7237;;0,792898;0,792898;0,792898;0,792898;0,792898;0,792898;
arm64;wh-default;zipfian;0,990000;1;65536;1000;50;25;25;1;1,07468e+07;1,07468e+07;1,07468e+07;1,07468e+07;1,07468e+07;1,07468e+07;;93,0507;93,0507;93,0507;93,0507;93,0507;93,0507;;1;1;1;1;1;1;
arm64;wh-default;zipfian;0,990000;1;65536;1000;95;2;3;1;1,27597e+07;1,27597e+07;1,27597e+07;1,27597e+07;1,27597e+07;1,27597e+07;;78,3716;78,3716;78,3716;78,3716;78,3716;78,3716;;1;1;1;1;1;1;
arm64;wh-default;zipfian;0,990000;1;65536;100000;50;25;25;1;6,41636e+06;6,41636e+06;6,41636e+06;6,41636e+06;6,41636e+06;6,41636e+06;;155,852;155,852;155,852;155,852;155,852;155,852;;1;1;1;1;1;1;
arm64;wh-default;zipfian;0,990000;1;65536;100000;95;2;3;1;1,15252e+07;1,15252e+07;1,15252e+07;1,15252e+07;1,15252e+07;1,15252e+07;;86,7662;86,7662;86,7662;86,7662;86,7662;86,7662;;1;1;1;1;1;1;
arm64;wh-default;zipfian;0,990000;11;65536;1000;50;25;25;1;1,23176e+07;1,23176e+07;1,23176e+07;1,23176e+07;1,23176e+07;1,23176e+07;;81,1843;81,1843;81,1843;81,1843;81,1843;81,1843;;0,933446;0,933446;0,933446;0,933446;0,933446;0,933446;
arm64;wh-default;zipfian;0,990000;11;65536;1000;95;2;3;1;2,07909e+07;2,07909e+07;2,07909e+07;2,07909e+07;2,07909e+07;2,07909e+07;;48,0979;48,0979;48,0979;48,0979;48,0979;48,0979;;0,921423;0,921423;0,921423;0,921423;0,921423;0,921423;
arm64;wh-default;zipfian;0,990000;11;65536;100000;50;25;25;1;1,93654e+07;1,93654e+07;1,93654e+07;1,93654e+07;1,93654e+07;1,93654e+07;;51,6385;51,6385;51,6385;51,6385;51,6385;51,6385;;0,946406;0,946406;0,946406;0,946406;0,946406;0,946406;
