arch;hostname;lock;dist;zipf_theta;threads;buckets;key_range;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
arm64;tsf-500-wpa-3-144;wh-default;zipfian;1,200000;1;65536;1000;95;2;3;139975232;132976082;2801127;4198023;13990471;71,477217;0;0;1,000000
arm64;tsf-500-wpa-3-144;wh-default;zipfian;1,200000;1;65536;1000;95;2;3;140193024;133182845;2805411;4204768;14012238;71,366186;0;0;1,000000
arm64;tsf-500-wpa-3-144;wh-default;zipfian;1,200000;1;65536;1000;95;2;3;139177344;132218257;2785199;4173888;13910721;71,886998;0;0;1,000000
arm64;tsf-500-wpa-3-144;wh-default;zipfian;1,200000;2;65536;1000;95;2;3;245604672;233324684;4914744;7365244;24548079;40,736384;122335232;123269440;0,992421
arm64;tsf-500-wpa-3-144;wh-default;zipfian;1,200000;2;65536;1000;95;2;3;241911360;229815772;4840756;7254832;24178962;41,358268;120951424;120959936;0,999930
arm64;tsf-500-wpa-3-144;wh-default;zipfian;1,200000;2;65536;1000;95;2;3;240158528;228150292;4805809;7202427;24003759;41,660140;120013696;120144832;0,998909
arm64;tsf-500-wpa-3-144;wh-default;zipfian;1,200000;4;65536;1000;95;2;3;376312384;357493974;7530458;11287952;37612209;26,587111;94007168;94137024;0,998621
arm64;tsf-500-wpa-3-144;wh-default;zipfian;1,200000;4;65536;1000;95;2;3;374273792;355556967;7489510;11227315;37408484;26,731903;93382272;93747584;0,996103
arm64;tsf-500-wpa-3-144;wh-default;zipfian;1,200000;4;65536;1000;95;2;3;375729408;356939784;7518779;11270845;37553978;26,628337;93736512;94120576;0,995919
arm64;tsf-500-wpa-3-144;wh-default;zipfian;1,200000;8;65536;1000;95;2;3;211711360;201118167;4238465;6354728;21165944;47,245707;25216128;26913216;0,936942
arm64;tsf-500-wpa-3-144;wh-default;zipfian;1,200000;8;65536;1000;95;2;3;212933952;202280160;4262383;6391409;21289236;46,972093;25435520;27014080;0,941565
