lock;workload;threads;cs_work;read_pct;total_ops;read_ops;write_ops;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
tas;mutex;1;0;100;316147452;0;316147452;105378711;9,489583;0;0;1,000000
tas;mutex;1;0;100;316150169;0;316150169;105380170;9,489451;0;0;1,000000
tas;mutex;1;0;100;316141163;0;316141163;105376834;9,489752;0;0;1,000000
tas;mutex;1;0;100;316147071;0;316147071;105378777;9,489577;0;0;1,000000
tas;mutex;1;0;100;316153131;0;316153131;105380648;9,489408;0;0;1,000000
tas;mutex;2;0;100;24569014;0;24569014;8189321;122,110239;11897883;12671131;0,938976
tas;mutex;2;0;100;114481998;0;114481998;38159177;26,206016;2381364;112100634;0,021243
tas;mutex;2;0;100;21648273;0;21648273;7215817;138,584439;8661687;12986586;0,666972
tas;mutex;2;0;100;68410261;0;68410261;22802526;43,854790;34114675;34295586;0,994725
tas;mutex;2;0;100;162010141;0;162010141;54001252;18,518089;78633639;83376502;0,943115
tas;mutex;4;0;100;57872261;0;57872261;19289579;51,841462;236;35689626;0,000007
tas;mutex;4;0;100;18039119;0;18039119;6012702;166,314567;92904;9576763;0,009701
tas;mutex;4;0;100;18622362;0;18622362;6207043;161,107305;880;11028261;0,000080
tas;mutex;4;0;100;44838934;0;44838934;14945453;66,909979;3317;23697888;0,000140
tas;mutex;4;0;100;16950043;0;16950043;5649687;177,000933;275737;8904339;0,030967
tas;mutex;6;0;100;38496471;0;38496471;12831123;77,935501;23416;13755125;0,001702
tas;mutex;6;0;100;11179334;0;11179334;3726136;268,374494;3540;4800449;0,000737
tas;mutex;6;0;100;8758393;0;8758393;2919222;342,556995;3363;3200251;0,001051
tas;mutex;6;0;100;12480088;0;12480088;4159713;240,401178;166;8075919;0,000021
tas;mutex;6;0;100;11190719;0;11190719;3729996;268,096788;174;7297369;0,000024
tas;mutex;8;0;100;8925195;0;8925195;2974719;336,166156;140;6427694;0,000022
tas;mutex;8;0;100;9053680;0;9053680;3017570;331,392399;10;5432187;0,000002
tas;mutex;8;0;100;8719337;0;8719337;2905677;344,153873;349;6115294;0,000057
tas;mutex;8;0;100;28268120;0;28268120;9421695;106,138007;589553;9878565;0,059680
tas;mutex;8;0;100;8575566;0;8575566;2858197;349,870883;35;2704619;0,000013
ttas;mutex;1;0;100;294368937;0;294368937;98119435;10,191661;0;0;1,000000
ttas;mutex;1;0;100;294374471;0;294374471;98121413;10,191455;0;0;1,000000
ttas;mutex;1;0;100;294367560;0;294367560;98118796;10,191727;0;0;1,000000
ttas;mutex;1;0;100;294381057;0;294381057;98123416;10,191247;0;0;1,000000
ttas;mutex;1;0;100;294370967;0;294370967;98120062;10,191596;0;0;1,000000
ttas;mutex;2;0;100;83240299;0;83240299;27745716;36,041599;39918269;43322030;0,921431
ttas;mutex;2;0;100;87847922;0;87847922;29281516;34,151237;40577594;47270328;0,858416
ttas;mutex;2;0;100;80358895;0;80358895;26785255;37,333973;26715098;53643797;0,498009
ttas;mutex;2;0;100;57500790;0;57500790;19166220;52,175128;27215443;30285347;0,898634
