lock;workload;threads;cs_work;read_pct;total_ops;read_ops;write_ops;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
tas;mutex;1;0;100;89927549;0;89927549;29973906;33,362351;0;0;1,000000
tas;mutex;1;0;100;89925588;0;89925588;29973156;33,363186;0;0;1,000000
tas;mutex;1;0;100;89920393;0;89920393;29971428;33,365110;0;0;1,000000
tas;mutex;1;0;100;89920409;0;89920409;29971285;33,365269;0;0;1,000000
tas;mutex;1;0;100;89923741;0;89923741;29972640;33,363761;0;0;1,000000
tas;mutex;2;0;100;114222868;0;114222868;38071610;26,266291;57105993;57116875;0,999809
tas;mutex;2;0;100;114090619;0;114090619;38027433;26,296805;57041671;57048948;0,999872
tas;mutex;2;0;100;113985581;0;113985581;37992191;26,321198;56991257;56994324;0,999946
tas;mutex;2;0;100;113920668;0;113920668;37970779;26,336041;56956503;56964165;0,999865
tas;mutex;2;0;100;114171395;0;114171395;38054570;26,278052;57079329;57092066;0,999777
tas;mutex;4;0;100;30530285;0;30530285;10175862;98,271769;7618087;7646601;0,996271
tas;mutex;4;0;100;25988281;0;25988281;8661782;115,449673;6495774;6498238;0,999621
tas;mutex;4;0;100;30528735;0;30528735;10175350;98,276710;7623990;7640675;0,997816
tas;mutex;4;0;100;25989981;0;25989981;8662438;115,440936;6493200;6501939;0,998656
tas;mutex;4;0;100;26606526;0;26606526;8868071;112,764082;6644251;6659148;0,997763
tas;mutex;6;0;100;22033345;0;22033345;7343540;136,174097;3659400;3679452;0,994550
tas;mutex;6;0;100;22034456;0;22034456;7343762;136,169987;3663518;3677332;0,996243
tas;mutex;6;0;100;22603993;0;22603993;7533570;132,739187;3761673;3772726;0,997070
tas;mutex;6;0;100;22609444;0;22609444;7535575;132,703872;3760589;3773304;0,996630
tas;mutex;6;0;100;22605093;0;22605093;7533990;132,731787;3754785;3777485;0,993991
tas;mutex;8;0;100;17695433;0;17695433;5897544;169,562107;2189623;2232926;0,980607
tas;mutex;8;0;100;17629611;0;17629611;5875475;170,198988;2187329;2211500;0,989070
tas;mutex;8;0;100;17624057;0;17624057;5873556;170,254607;2180848;2222616;0,981208
tas;mutex;8;0;100;17702753;0;17702753;5899993;169,491720;2191170;2236463;0,979748
