lock,threads,num_locks,cs_work,read_pct,seconds,total_ops,read_ops,write_ops,ops_s,ns_op,fairness_min,fairness_max,fairness_ratio
tas,1,64,0,80,3.00504,800553663,0,800553663,266403503,3.7537,0,0,1
tas,2,64,0,80,3.00505,457564420,0,457564420,152265396,6.56748,228571857,228992563,0.998163
tas,4,64,0,80,3.00504,561433926,0,561433926,186830864,5.35243,140130026,140572945,0.996849
tas,8,64,0,80,3.00324,361126468,0,361126468,120245548,8.31632,44977519,45329260,0.99224
ttas,1,64,0,80,3.00504,767138621,0,767138621,255283575,3.91721,0,0,1
ttas,2,64,0,80,3.00505,455495613,0,455495613,151576683,6.59732,227465048,228030565,0.99752
ttas,4,64,0,80,3.00504,560615580,0,560615580,186558183,5.36026,139913410,140388973,0.996613
ttas,8,64,0,80,3.00095,361780599,0,361780599,120555546,8.29493,45071556,45499160,0.990602
cas,1,64,0,80,3.00505,777496680,0,777496680,258730368,3.86503,0,0,1
cas,2,64,0,80,3.00505,454201808,0,454201808,151146095,6.61612,225837857,228363951,0.988938
cas,4,64,0,80,3.00504,554343223,0,554343223,184471359,5.4209,138453414,138835331,0.997249
cas,8,64,0,80,3.00507,360698213,0,360698213,120029982,8.33125,44924353,45203865,0.993817
ticket,1,64,0,80,3.00505,740993083,0,740993083,246582319,4.05544,0,0,1
ticket,2,64,0,80,3.00505,269048123,0,269048123,89532051,11.1692,134307257,134740866,0.996782
ticket,4,64,0,80,3.00504,321342544,0,321342544,106934614,9.35151,80205102,80496123,0.996385
ticket,8,64,0,80,3.00507,297294580,0,297294580,98931130,10.108,36794022,37650620,0.977249
rw,1,64,0,80,3.00504,231212552,184968817,46243735,76941597,12.9969,0,0,1
rw,2,64,0,80,3.00504,306315456,245046021,61269435,101933743,9.81029,152991217,153324239,0.997828
rw,4,64,0,80,3.00505,482912913,386321666,96591247,160700360,6.22276,119686336,121325761,0.986487
rw,8,64,0,80,3.00507,378351684,302667327,75684357,125904604,7.94252,47059226,47586010,0.98893
occ,1,64,0,80,3.00503,231954311,185562229,46392082,77188592,12.9553,0,0,1
occ,2,64,0,80,3.00503,416782966,333424166,83358800,138695021,7.21006,208224989,208557977,0.998403
occ,4,64,0,80,3.00504,797206573,637767986,159438587,265289815,3.76946,198977681,199578517,0.996989
occ,8,64,0,80,3.00506,761556897,609223859,152333038,253424641,3.94595,94753135,95956818,0.987456
rw,1,64,0,95,3.00503,264532206,251302457,13229749,88029675,11.3598,0,0,1
rw,2,64,0,95,3.00504,300557663,285532090,15025573,100017732,9.99823,150164288,150393375,0.998477
rw,4,64,0,95,3.00505,486271411,461958266,24313145,161817928,6.17978,121346686,121737510,0.99679
rw,8,64,0,95,3.00506,380905799,361851547,19054252,126754722,7.88925,47007955,47805735,0.983312
occ,1,64,0,95,3.00504,272191642,258579807,13611835,90578277,11.0402,0,0,1
occ,2,64,0,95,3.00504,510633390,485100143,25533247,169925400,5.88494,255233031,255400359,0.999345
occ,4,64,0,95,3.00504,984842553,935600610,49241943,327730541,3.05129,244695572,247546630,0.988483
occ,8,64,0,95,3.00507,1200547178,1140526392,60020786,399507552,2.50308,148994691,151603743,0.98279
ttas,4,1,0,80,3.00504,159916518,0,159916518,53216157,18.7913,25809732,57842187,0.446209
ttas,4,4,0,80,3.00505,159391203,0,159391203,53041198,18.8533,38678637,41235138,0.938002
ttas,4,16,0,80,3.00506,354750388,0,354750388,118051186,8.4709,88579946,88791121,0.997622
ttas,4,64,0,80,3.00504,560820919,0,560820919,186626491,5.3583,140086578,140370659,0.997976
ttas,4,256,0,80,3.00506,667811866,0,667811866,222229227,4.49986,166800504,167064780,0.998418
ttas,4,1024,0,80,3.00507,703454570,0,703454570,234089557,4.27187,175675155,176017252,0.998056
cas,4,1,0,80,3.00505,108515713,0,108515713,36111100,27.6923,15586446,37948890,0.410722
cas,4,4,0,80,3.00504,158119657,0,158119657,52618096,19.0049,39184066,40126863,0.976505
cas,4,16,0,80,3.00504,355103355,0,355103355,118169339,8.46243,88675538,88866207,0.997854
cas,4,64,0,80,3.00504,554301324,0,554301324,184457017,5.42132,138513575,138632819,0.99914
cas,4,256,0,80,3.00506,665174711,0,665174711,221351572,4.5177,166135515,166403874,0.998387
cas,4,1024,0,80,3.00507,706568939,0,706568939,235125832,4.25304,176407430,176769170,0.997954
ticket,4,1,0,80,3.00504,30890113,0,30890113,10279431,97.2816,7721712,7723115,0.999818
ticket,4,4,0,80,3.00503,105259547,0,105259547,35027743,28.5488,26298553,26324464,0.999016
ticket,4,16,0,80,3.00504,221725066,0,221725066,73784352,13.553,55338505,55537976,0.996408
ticket,4,64,0,80,3.00503,321025277,0,321025277,106829238,9.36073,80142689,80362568,0.997264
ticket,4,256,0,80,3.00506,361116507,0,361116507,120169309,8.32159,90217013,90314253,0.998923
ticket,4,1024,0,80,3.00506,396802310,0,396802310,132044666,7.57319,99002532,99547888,0.994522
occ,4,1,0,80,3.00505,213255875,170599251,42656624,70965728,14.0913,53247627,53406045,0.997034
occ,4,4,0,80,3.00505,504397654,403510376,100887278,167849940,5.9577,123470916,127111837,0.971357
occ,4,16,0,80,3.00504,735529632,588419094,147110538,244765066,4.08555,180929462,187302080,0.965977
occ,4,64,0,80,3.00504,794498323,635600844,158897479,264388722,3.78231,198332757,198783804,0.997731
occ,4,256,0,80,3.00503,804974671,643981208,160993463,267875495,3.73308,200408627,201824069,0.992987
occ,4,1024,0,80,3.00505,799291373,639435827,159855546,265982554,3.75965,198140783,201716501,0.982274
ttas,4,64,0,80,3.00504,560847096,0,560847096,186635693,5.35803,140028121,140412408,0.997263
ttas,4,64,50,80,3.00505,398825924,0,398825924,132718706,7.53473,99528803,99863225,0.996651
ttas,4,64,100,80,3.00506,221599807,0,221599807,73742312,13.5607,55237889,55519559,0.994927
ttas,4,64,500,80,3.00505,67477947,0,67477947,22454859,44.5338,16865805,16875033,0.999453
ttas,4,64,1000,80,3.00503,37533130,0,37533130,12490087,80.0635,9381254,9386083,0.999486
cas,4,64,0,80,3.00503,554831502,0,554831502,184633956,5.41612,138560817,138805606,0.998236
cas,4,64,50,80,3.00504,389994816,0,389994816,129780063,7.70534,97323503,97861055,0.994507
cas,4,64,100,80,3.00504,217646329,0,217646329,72426998,13.807,54317438,54542177,0.99588
cas,4,64,500,80,3.00505,64850780,0,64850780,21580617,46.3379,16209434,16216075,0.99959
cas,4,64,1000,80,3.00505,35890320,0,35890320,11943333,83.7287,8932462,8992345,0.993341
ticket,4,64,0,80,3.00504,307749999,0,307749999,102411337,9.76454,76872249,77029184,0.997963
ticket,4,64,50,80,3.00189,292339970,0,292339970,97385420,10.2685,73049020,73113958,0.999112
