lock;threads;num_locks;cs_work;read_pct;total_ops;read_ops;write_ops;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
tas;1;64;0;80;773238025;0;773238025;257313496;3,88631;0;0;1
tas;2;64;0;80;455914470;0;455914470;151715798;6,59127;227693938;228220532;0,997693
tas;4;64;0;80;547242088;0;547242088;182106651;5,49129;136619470;137115729;0,996381
tas;8;64;0;80;361188499;0;361188499;120370298;8,3077;44791223;45584848;0,98259
ttas;1;64;0;80;752706403;0;752706403;250482246;3,9923;0;0;1
ttas;2;64;0;80;443591776;0;443591776;147615727;6,77435;221637808;221953968;0,998576
ttas;4;64;0;80;546605005;0;546605005;181896100;5,49764;136415948;136927255;0,996266
ttas;8;64;0;80;354077864;0;354077864;117907107;8,48125;43813303;44712822;0,979882
cas;1;64;0;80;755937812;0;755937812;251956160;3,96894;0;0;1
cas;2;64;0;80;437677104;0;437677104;145647837;6,86588;218743322;218933782;0,99913
cas;4;64;0;80;552204986;0;552204986;183758784;5,44192;137885724;138222552;0,997563
cas;8;64;0;80;359913390;0;359913390;119882195;8,34152;44648381;45300621;0,985602
ticket;1;64;0;80;736748181;0;736748181;245169789;4,07881;0;0;1
ticket;2;64;0;80;268083728;0;268083728;89210736;11,2094;133390134;134693594;0,990323
ticket;4;64;0;80;317772129;0;317772129;105746431;9,45658;79372504;79543083;0,997856
ticket;8;64;0;80;296473957;0;296473957;98753477;10,1262;36644004;37497888;0,977228
rw;1;64;0;80;232107410;185684465;46422945;77239093;12,9468;0;0;1
rw;2;64;0;80;293018967;234411773;58607194;97509024;10,2555;146296210;146722757;0,997093
rw;4;64;0;80;483809607;387040690;96768917;160997342;6,21128;120763114;121158209;0,996739
rw;8;64;0;80;378624390;302884097;75740293;126164951;7,92613;46089318;48224249;0,955729
occ;1;64;0;80;230689147;184550039;46139108;76767271;13,0264;0;0;1
occ;2;64;0;80;417503170;334000486;83502684;138934410;7,19764;208616626;208886544;0,998708
occ;4;64;0;80;781966379;625571230;156395149;260218881;3,84292;195020277;196026049;0,994869
occ;8;64;0;80;751193127;600933329;150259798;250278753;3,99554;91524670;95209545;0,961297
rw;1;64;0;95;265505645;252227577;13278068;88353749;11,3181;0;0;1
rw;2;64;0;95;295749695;280964974;14784721;98418195;10,1607;147085113;148664582;0,989376
rw;4;64;0;95;481619158;457539099;24080059;160269407;6,23949;120227443;120639994;0,99658
rw;8;64;0;95;378872302;359920209;18952093;126077659;7,93162;46531341;48610386;0,95723
occ;1;64;0;95;272605590;258973022;13632568;90716238;11,0234;0;0;1
occ;2;64;0;95;511341043;485772985;25568058;170160827;5,87679;255622079;255718964;0,999621
occ;4;64;0;95;982246590;933134380;49112210;326866444;3,05935;244795062;246276651;0,993984
occ;8;64;0;95;1206793332;1146458632;60334700;402013899;2,48748;149911042;152570571;0,982569
ttas;4;1;0;80;159138856;0;159138856;52957260;18,8832;19086226;61981800;0,307933
ttas;4;4;0;80;161182044;0;161182044;53637225;18,6438;39261143;41268143;0,951367
ttas;4;16;0;80;358319657;0;358319657;119239786;8,38646;89493093;89708959;0,997594
ttas;4;64;0;80;560083062;0;560083062;186381106;5,36535;139899577;140070287;0,998781
ttas;4;256;0;80;667066670;0;667066670;221981739;4,50488;166613611;166921097;0,998158
ttas;4;1024;0;80;702565366;0;702565366;233794177;4,27727;175510932;175817665;0,998255
cas;4;1;0;80;102333511;0;102333511;34053843;29,3653;20576721;29562432;0,696043
cas;4;4;0;80;157425951;0;157425951;52387365;19,0886;38584663;39986136;0,964951
cas;4;16;0;80;356065882;0;356065882;118489446;8,43957;88932166;89116421;0,997932
cas;4;64;0;80;553634328;0;553634328;184235600;5,42783;138240409;138531084;0,997902
cas;4;256;0;80;664091868;0;664091868;220991677;4,52506;165925132;166161719;0,998576
cas;4;1024;0;80;706215408;0;706215408;235007128;4,25519;176473880;176678511;0,998842
ticket;4;1;0;80;31286212;0;31286212;10411230;96,0501;7821187;7821690;0,999936
ticket;4;4;0;80;105041199;0;105041199;34955085;28,6081;26231991;26285959;0,997947
ticket;4;16;0;80;221537297;0;221537297;73721901;13,5645;55311822;55453866;0,997439
ticket;4;64;0;80;321195824;0;321195824;106885680;9,35579;80201583;80426985;0,997197
ticket;4;256;0;80;359391746;0;359391746;119595777;8,3615;89676173;90113724;0,995144
ticket;4;1024;0;80;395505520;0;395505520;131613328;7,59801;98691381;98990539;0,996978
occ;4;1;0;80;231971668;185568517;46403151;77194266;12,9543;57894855;58108060;0,996331
occ;4;4;0;80;507930276;406335490;101594786;169025420;5,91627;126899006;127152389;0,998007
occ;4;16;0;80;746906419;597521573;149384846;248551643;4,02331;186532176;186828260;0,998415
occ;4;64;0;80;786545668;629236637;157309031;262099640;3,81534;195888046;198037507;0,989146
occ;4;256;0;80;805088223;644071932;161016291;267912666;3,73256;201124612;201405468;0,998606
occ;4;1024;0;80;796555806;637247932;159307874;265073267;3,77254;198729449;199371895;0,996778
ttas;4;64;0;80;559452745;0;559452745;186328788;5,36686;139822691;139886167;0,999546
ttas;4;64;50;80;394395845;0;394395845;131244353;7,61938;98452612;98697487;0,997519
ttas;4;64;100;80;220922726;0;220922726;73517127;13,6023;55167574;55342354;0,996842
ttas;4;64;500;80;67460724;0;67460724;22449113;44,5452;16861876;16868039;0,999635
ttas;4;64;1000;80;37501120;0;37501120;12479330;80,1325;9372866;9377467;0,999509
cas;4;64;0;80;553688637;0;553688637;184253129;5,42732;138258790;138546584;0,997923
cas;4;64;50;80;389049051;0;389049051;129465566;7,72406;97194931;97364002;0,998264
cas;4;64;100;80;217217324;0;217217324;72283992;13,8343;54237425;54383786;0,997309
cas;4;64;500;80;67165380;0;67165380;22350791;44,7411;16789119;16796314;0,999572
cas;4;64;1000;80;37149245;0;37149245;12362249;80,8914;9282863;9293008;0,998908
ticket;4;64;0;80;320844535;0;320844535;106768882;9,36602;80111824;80293870;0,997733
ticket;4;64;50;80;303783232;0;303783232;101091060;9,89207;75873834;76052205;0,997655
ticket;4;64;100;80;215743270;0;215743270;71793412;13,9289;53756265;54095254;0,993733
ticket;4;64;500;80;67109009;0;67109009;22332040;44,7787;16772260;16781808;0,999431
ticket;4;64;1000;80;37383867;0;37383867;12440298;80,3839;9342741;9347436;0,999498
