lock;threads;num_locks;cs_work;read_pct;total_ops;read_ops;write_ops;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
tas;1;64;0;80;295274416;0;295274416;98417014;10,1608;0;0;1
tas;2;64;0;80;151828339;0;151828339;50604661;19,761;73792885;78035454;0,945633
tas;4;64;0;80;105745918;0;105745918;35244783;28,373;20193811;30065946;0,671651
tas;8;64;0;80;214867979;0;214867979;71607612;13,965;19070676;34784575;0,548251
tas;16;64;0;80;288057740;0;288057740;95985583;10,4182;13610591;22451780;0,606214
tas;32;64;0;80;336698671;0;336698671;112173133;8,91479;6706809;15000298;0,447112
tas;48;64;0;80;335229413;0;335229413;111652663;8,95635;5286084;8690440;0,608264
ttas;1;64;0;80;301147642;0;301147642;100374266;9,96271;0;0;1
ttas;2;64;0;80;140361105;0;140361105;46783014;21,3753;67612779;72748326;0,929407
ttas;4;64;0;80;119089784;0;119089784;39692398;25,1937;20776939;34550239;0,601354
ttas;8;64;0;80;130644835;0;130644835;43539251;22,9678;15990481;16575238;0,964721
ttas;16;64;0;80;152464781;0;152464781;50802162;19,6842;8589767;10252435;0,837827
ttas;32;64;0;80;186235625;0;186235625;62043554;16,1177;4657914;7362467;0,632657
ttas;48;64;0;80;225654087;0;225654087;75172505;13,3027;4021761;5380284;0,7475
cas;1;64;0;80;286607303;0;286607303;95528320;10,4681;0;0;1
cas;2;64;0;80;148009827;0;148009827;49332293;20,2707;71064411;76945416;0,923569
cas;4;64;0;80;103430932;0;103430932;34472801;29,0084;19492221;31881466;0,611397
cas;8;64;0;80;216120228;0;216120228;72024615;13,8841;20353166;33451348;0,608441
cas;16;64;0;80;297579569;0;297579569;99155264;10,0852;14356124;23034402;0,623247
cas;32;64;0;80;339165615;0;339165615;112989917;8,85035;5708408;16959104;0,336598
cas;48;64;0;80;340770295;0;340770295;113502522;8,81038;5397895;8811333;0,612608
ticket;1;64;0;80;302722202;0;302722202;100899936;9,91081;0;0;1
ticket;2;64;0;80;106319104;0;106319104;35436628;28,2194;51701956;54617148;0,946625
ticket;4;64;0;80;86803237;0;86803237;28930997;34,565;16687713;24206700;0,689384
ticket;8;64;0;80;103120598;0;103120598;34366278;29,0983;12318905;13425011;0,917609
ticket;16;64;0;80;143944575;0;143944575;47962244;20,8497;8408409;9408421;0,893711
ticket;32;64;0;80;185577786;0;185577786;61832427;16,1727;4967314;6542565;0,75923
ticket;48;64;0;80;168712152;0;168712152;56191721;17,7962;3263912;3757872;0,868553
rw;1;64;0;80;176429269;141147233;35282036;58805113;17,0053;0;0;1
rw;2;64;0;80;113981012;91192281;22788731;37990418;26,3224;56785611;57195401;0,992835
rw;4;64;0;80;107926510;86336168;21590342;35971457;27,7998;20911463;29095404;0,71872
rw;8;64;0;80;120660809;96518629;24142180;40211445;24,8685;14636681;15537327;0,942033
rw;16;64;0;80;152545941;122029392;30516549;50830431;19,6733;8413718;10643795;0,790481
rw;32;64;0;80;167505105;133995618;33509487;55805778;17,9193;3363585;7553816;0,445283
rw;48;64;0;80;165666032;132529002;33137030;55180744;18,1223;2991691;3902744;0,766561
occ;1;64;0;80;252863878;202288502;50575376;84281547;11,865;0;0;1
occ;2;64;0;80;228102303;182476793;45625510;76027665;13,1531;113595907;114506396;0,992049
occ;4;64;0;80;181155772;144926043;36229729;60377851;16,5624;37915857;48232136;0,786112
occ;8;64;0;80;232732537;186186587;46545950;77560949;12,8931;25997333;31686846;0,820446
occ;16;64;0;80;289692512;231744887;57947625;96527807;10,3597;15988816;20113530;0,794928
occ;32;64;0;80;341572536;273253067;68319469;113805053;8,78696;8679552;13028469;0,666199
occ;48;64;0;80;391173048;312926878;78246170;130279375;7,67581;7165254;9109780;0,786545
rw;1;64;0;95;174688849;165953465;8735384;58225105;17,1747;0;0;1
rw;2;64;0;95;108872337;103427352;5444985;36287613;27,5576;54097335;54775002;0,987628
rw;4;64;0;95;103085275;97928828;5156447;34357486;29,1057;21063854;27452873;0,767273
rw;8;64;0;95;119878913;113881959;5996954;39950898;25,0307;14380834;15662034;0,918197
rw;16;64;0;95;151766193;144175929;7590264;50569823;19,7746;8527507;10325683;0,825854
rw;32;64;0;95;165354710;157085659;8269051;55086543;18,1533;3379059;7638640;0,442364
rw;48;64;0;95;155716655;147932355;7784300;51868283;19,2796;2827610;3646823;0,775363
occ;1;64;0;95;321388263;305317527;16070736;107120243;9,3353;0;0;1
occ;2;64;0;95;328312982;311899718;16413264;109426939;9,13852;164038187;164274795;0,99856
occ;4;64;0;95;227725320;216336386;11388934;75899499;13,1753;55940021;57518530;0,972557
occ;8;64;0;95;304990224;289736950;15253274;101641441;9,83851;36303269;39998602;0,907613
occ;16;64;0;95;375614827;356827489;18787338;125154720;7,99011;20495753;26358299;0,777583
occ;32;64;0;95;463820244;440621442;23198802;154538818;6,47087;12038894;17217434;0,699227
occ;48;64;0;95;578992112;550033655;28958457;192865718;5,18495;10400970;13648369;0,762067
ttas;4;1;0;80;33218697;0;33218697;11071265;90,3239;4048598;19542652;0,207167
ttas;4;4;0;80;45375281;0;45375281;15123363;66,1229;9346268;15605928;0,598892
ttas;4;16;0;80;60687082;0;60687082;20226827;49,4393;13209928;16286424;0,811101
ttas;4;64;0;80;118824624;0;118824624;39603783;25,2501;20538502;34340015;0,598092
ttas;4;256;0;80;145557717;0;145557717;48512990;20,613;34609200;38789197;0,892238
ttas;4;1024;0;80;204146581;0;204146581;68041237;14,697;38019852;55945076;0,679592
cas;4;1;0;80;22928698;0;22928698;7641944;130,857;3941518;8414775;0,468404
cas;4;4;0;80;66782991;0;66782991;22258358;44,9269;14092461;24340714;0,578967
cas;4;16;0;80;72010493;0;72010493;24000588;41,6656;15743153;19611346;0,802757
cas;4;64;0;80;104579488;0;104579488;34855631;28,6898;19718294;30380466;0,649045
cas;4;256;0;80;134761249;0;134761249;44914507;22,2645;29123386;42817306;0,680178
cas;4;1024;0;80;172173057;0;172173057;57383988;17,4265;28034886;48458674;0,578532
ticket;4;1;0;80;10769891;0;10769891;3589522;278,589;2628013;2779509;0,945495
ticket;4;4;0;80;34477687;0;34477687;11491224;87,0229;7863934;9480482;0,829487
ticket;4;16;0;80;49422474;0;49422474;16472187;60,7084;9843889;14620373;0,673299
ticket;4;64;0;80;86122713;0;86122713;28704595;34,8376;15227328;24503150;0,621444
ticket;4;256;0;80;89758917;0;89758917;29915340;33,4277;19033011;25719502;0,740023
ticket;4;1024;0;80;120229562;0;120229562;40071996;24,9551;17102051;34388971;0,497312
occ;4;1;0;80;72509717;58002856;14506861;24166685;41,3793;10086937;40180682;0,251039
occ;4;4;0;80;93419811;74730372;18689439;31136624;32,1165;21012888;30036139;0,699587
occ;4;16;0;80;115334726;92263956;23070770;38440553;26,0142;26948916;30050142;0,896798
occ;4;64;0;80;157968405;126375438;31592967;52648978;18,9937;38117389;40705418;0,936421
occ;4;256;0;80;184356649;147489298;36867351;61443193;16,2752;45603978;46454016;0,981702
occ;4;1024;0;80;244533367;195634574;48898793;81501874;12,2697;40959524;68020374;0,602166
ttas;4;64;0;80;126910555;0;126910555;42297816;23,6419;24203077;36879458;0,656275
ttas;4;64;50;80;88865582;0;88865582;29618429;33,7628;16637696;24772046;0,671632
ttas;4;64;100;80;68038953;0;68038953;22677088;44,0974;12981010;18690820;0,694513
ttas;4;64;500;80;37282031;0;37282031;12425902;80,4771;8751268;9801143;0,892882
ttas;4;64;1000;80;24156831;0;24156831;8051305;124,203;5673121;6206558;0,914053
cas;4;64;0;80;103089451;0;103089451;34358990;29,1045;19581349;29106428;0,67275
cas;4;64;50;80;104669379;0;104669379;34885894;28,6649;19261252;29229046;0,658976
cas;4;64;100;80;87134254;0;87134254;29039711;34,4356;18182443;23642153;0,769069
cas;4;64;500;80;41688862;0;41688862;13894756;71,9696;9521844;10789140;0,88254
cas;4;64;1000;80;25501687;0;25501687;8499298;117,657;5674230;6813894;0,832744
ticket;4;64;0;80;87105378;0;87105378;29031863;34,4449;15098428;24881624;0,60681
ticket;4;64;50;80;74998980;0;74998980;24996724;40,0052;18162657;20174798;0,900265
ticket;4;64;100;80;79347244;0;79347244;26444999;37,8143;16320781;21717350;0,751509
ticket;4;64;500;80;39431962;0;39431962;13142454;76,0893;8808955;10304884;0,854833
ticket;4;64;1000;80;25195885;0;25195885;8397606;119,082;5965863;6457567;0,923856
