lock;dist;zipf_theta;threads;buckets;key_range;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
avl-std;uniform;0,990000;1;65536;1000000;80;10;10;6585839;5269275;657181;659383;2191599;456,287713;0;0;1,000000
avl-std;uniform;0,990000;2;65536;1000000;80;10;10;12423917;9940327;1240573;1243017;4140562;241,513093;6205593;6218324;0,997953
avl-std;uniform;0,990000;4;65536;1000000;80;10;10;23987643;19191532;2396207;2399904;7982411;125,275433;5990437;6006267;0,997364
avl-std;uniform;0,990000;8;65536;1000000;80;10;10;33731115;26986301;3371639;3373175;11224692;89,089301;4187110;4239879;0,987554
avl-tas;uniform;0,990000;1;65536;1000000;80;10;10;8231328;6584336;822417;824575;2739163;365,074966;0;0;1,000000
avl-tas;uniform;0,990000;2;65536;1000000;80;10;10;14794448;11836238;1477109;1481101;4923211;203,119432;7393231;7401217;0,998921
avl-tas;uniform;0,990000;4;65536;1000000;80;10;10;30767988;24615427;3073759;3078802;10250762;97,553714;7657078;7727286;0,990914
avl-tas;uniform;0,990000;8;65536;1000000;80;10;10;42023589;33622120;4199605;4201864;13986524;71,497391;5090917;5322875;0,956422
avl-ttas;uniform;0,990000;1;65536;1000000;80;10;10;7650138;6120243;764005;765890;2548014;392,462419;0;0;1,000000
avl-ttas;uniform;0,990000;2;65536;1000000;80;10;10;14253606;11403835;1423019;1426752;4743228;210,826851;7124938;7128668;0,999477
avl-ttas;uniform;0,990000;4;65536;1000000;80;10;10;30602170;24482488;3057308;3062374;10194522;98,091893;7628594;7675193;0,993929
avl-ttas;uniform;0,990000;8;65536;1000000;80;10;10;40271710;32220362;4024719;4026629;13401228;74,620027;5013594;5062869;0,990267
avl-cas;uniform;0,990000;1;65536;1000000;80;10;10;8116981;6492808;810994;813179;2701216;370,203512;0;0;1,000000
avl-cas;uniform;0,990000;2;65536;1000000;80;10;10;16025083;12819515;1600618;1604950;5332692;187,522544;8002452;8022631;0,997485
avl-cas;uniform;0,990000;4;65536;1000000;80;10;10;28022695;22418743;2800035;2803917;9338860;107,079443;6968462;7028116;0,991512
avl-cas;uniform;0,990000;8;65536;1000000;80;10;10;41418388;33137614;4139115;4141659;13782804;72,554177;5014074;5267049;0,951970
