lock;dist;zipf_theta;threads;buckets;key_range;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
cds-std;uniform;0,990000;1;65536;1000000;80;10;10;22288363;17829732;2228417;2230214;7416962;134,826075;0;0;1,000000
cds-std;uniform;0,990000;2;65536;1000000;80;10;10;45097822;36077853;4505683;4514286;15007308;66,634202;22388865;22708957;0,985905
cds-std;uniform;0,990000;4;65536;1000000;80;10;10;82143401;65713564;8210563;8219274;27335032;36,583091;20438607;20589568;0,992668
cds-std;uniform;0,990000;8;65536;1000000;80;10;10;109383144;87504016;10934481;10944647;36401581;27,471334;13426528;14008398;0,958463
cds-tas;uniform;0,990000;1;65536;1000000;80;10;10;45659068;36527255;4565582;4566231;15194226;65,814474;0;0;1,000000
cds-tas;uniform;0,990000;2;65536;1000000;80;10;10;101403243;81118965;10141888;10142390;33744432;29,634518;50246613;51156630;0,982211
cds-tas;uniform;0,990000;4;65536;1000000;80;10;10;167753753;134197381;16777208;16779164;55823745;17,913524;41569823;42362099;0,981298
cds-tas;uniform;0,990000;8;65536;1000000;80;10;10;175346936;140274281;17527660;17544995;58351619;17,137485;21647591;22423448;0,965400
cds-ttas;uniform;0,990000;1;65536;1000000;80;10;10;61167967;48933576;6118362;6116029;20378147;49,072173;0;0;1,000000
cds-ttas;uniform;0,990000;2;65536;1000000;80;10;10;101653855;81319449;10166349;10168057;33827864;29,561429;50236338;51417517;0,977028
cds-ttas;uniform;0,990000;4;65536;1000000;80;10;10;164008384;131200160;16402747;16405477;54577539;18,322555;40805070;41139616;0,991868
cds-ttas;uniform;0,990000;8;65536;1000000;80;10;10;176882857;141504543;17680854;17697460;58952732;16,962742;21549877;23127700;0,931778
cds-cas;uniform;0,990000;1;65536;1000000;80;10;10;26887814;21509502;2689046;2689266;8947589;111,761949;0;0;1,000000
cds-cas;uniform;0,990000;2;65536;1000000;80;10;10;57639942;46111425;5761392;5767125;19181110;52,134625;27508994;30130948;0,912981
cds-cas;uniform;0,990000;4;65536;1000000;80;10;10;106877654;85496242;10687481;10693931;35581123;28,104790;26539010;26942789;0,985013
cds-cas;uniform;0,990000;8;65536;1000000;80;10;10;130581221;104462724;13051818;13066679;43487624;22,995047;15918296;16667095;0,955073
cds-ticket;uniform;0,990000;1;65536;1000000;80;10;10;22847581;18276905;2284241;2286435;7603085;131,525549;0;0;1,000000
