lock;dist;zipf_theta;threads;buckets;key_range;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
tas;uniform;0,000000;1;65536;1000000;95;4;1;65897978;62604591;2635083;658304;6589739;151,751065;0;0;1,000000
tas;uniform;0,000000;1;65536;1000000;95;4;1;64921127;61676776;2595571;648780;6492051;154,034507;0;0;1,000000
tas;uniform;0,000000;1;65536;1000000;95;4;1;65324666;62059879;2612125;652662;6532421;153,082588;0;0;1,000000
tas;uniform;0,000000;1;65536;1000000;95;4;1;66546233;63220306;2661015;664912;6654561;150,272860;0;0;1,000000
tas;uniform;0,000000;1;65536;1000000;95;4;1;68012673;64613809;2719338;679526;6801202;147,032826;0;0;1,000000
tas;uniform;0,000000;2;65536;1000000;95;4;1;50301913;47788270;2010045;503598;5030142;198,801543;25144753;25157160;0,999507
tas;uniform;0,000000;2;65536;1000000;95;4;1;45132770;42877718;1803410;451642;4513233;221,570618;22559546;22573224;0,999394
tas;uniform;0,000000;2;65536;1000000;95;4;1;42348183;40232639;1691606;423938;4234783;236,139557;21169149;21179034;0,999533
tas;uniform;0,000000;2;65536;1000000;95;4;1;43613212;41434332;1742431;436449;4361278;229,290557;21797486;21815726;0,999164
tas;uniform;0,000000;2;65536;1000000;95;4;1;49824854;47335097;1991026;498731;4982437;200,704992;24903925;24920929;0,999318
tas;uniform;0,000000;4;65536;1000000;95;4;1;36114675;34310725;1443147;360803;3611424;276,899010;7599893;10446793;0,727486
tas;uniform;0,000000;4;65536;1000000;95;4;1;34399144;32681331;1374260;343553;3439869;290,708698;8435835;8760778;0,962909
tas;uniform;0,000000;4;65536;1000000;95;4;1;40680136;38647024;1626546;406566;4067965;245,823099;9675089;10629325;0,910226
tas;uniform;0,000000;4;65536;1000000;95;4;1;37843492;35952202;1513010;378280;3784298;264,249766;9151166;9768470;0,936806
tas;uniform;0,000000;4;65536;1000000;95;4;1;34440265;32720105;1376318;343842;3443987;290,361122;7694885;9528319;0,807581
