lock;dist;zipf_theta;threads;buckets;key_range;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
tas;uniform;0,000000;1;65536;1000000;95;4;1;48701570;46268048;1946283;487239;4870043;205,336986;0;0;1,000000
tas;uniform;0,000000;1;65536;1000000;95;4;1;48692718;46259627;1945930;487161;4869154;205,374484;0;0;1,000000
tas;uniform;0,000000;1;65536;1000000;95;4;1;48656962;46225573;1944585;486804;4865577;205,525437;0;0;1,000000
tas;uniform;0,000000;2;65536;1000000;95;4;1;13907392;13213125;555265;139002;1390702;719,061245;6491373;7416019;0,875318
tas;uniform;0,000000;2;65536;1000000;95;4;1;14919607;14174541;596040;149026;1491921;670,276663;6450421;8469186;0,761634
tas;uniform;0,000000;2;65536;1000000;95;4;1;14434828;13714495;576032;144301;1443445;692,786579;5811100;8623728;0,673850
tas;uniform;0,000000;4;65536;1000000;95;4;1;16399162;15579266;655947;163949;1639868;609,804860;1922194;6297540;0,305229
tas;uniform;0,000000;4;65536;1000000;95;4;1;14948421;14201875;597479;149067;1494799;668,985875;2624771;4773931;0,549813
tas;uniform;0,000000;4;65536;1000000;95;4;1;14369763;13651557;574503;143703;1436936;695,925175;3160831;4202027;0,752216
tas;uniform;0,000000;8;65536;1000000;95;4;1;10817059;10277408;431344;108307;1081655;924,508357;1143967;1560478;0,733088
tas;uniform;0,000000;8;65536;1000000;95;4;1;10906643;10362171;435164;109308;1090617;916,911376;1000962;1729361;0,578805
tas;uniform;0,000000;8;65536;1000000;95;4;1;10423498;9903103;415957;104438;1042299;959,416850;1097280;1511131;0,726132
tas;uniform;0,000000;16;65536;1000000;95;4;1;6161957;5854636;245231;62090;616168;1622,931507;304899;465870;0,654472
tas;uniform;0,000000;16;65536;1000000;95;4;1;6281975;5968520;250219;63236;628168;1591,928873;316247;469516;0,673560
tas;uniform;0,000000;16;65536;1000000;95;4;1;5840222;5548357;233315;58550;583992;1712,352083;268176;461707;0,580836
tas;uniform;0,000000;32;65536;1000000;95;4;1;4102542;3897204;164592;40746;410222;2437,700391;90184;195012;0,462454
tas;uniform;0,000000;32;65536;1000000;95;4;1;4042150;3839961;162017;40172;404184;2474,118495;103827;162483;0,639002
tas;uniform;0,000000;32;65536;1000000;95;4;1;4076572;3873041;163097;40434;407626;2453,224657;82399;208991;0,394271
tas;uniform;0,000000;48;65536;1000000;95;4;1;3927522;3731143;157361;39018;392711;2546,396101;67878;90729;0,748140
tas;uniform;0,000000;48;65536;1000000;95;4;1;3902818;3707548;156282;38988;390241;2562,514902;51710;117666;0,439464
tas;uniform;0,000000;48;65536;1000000;95;4;1;3886219;3691815;155625;38779;388579;2573,476742;55578;111177;0,499906
ttas;uniform;0,000000;1;65536;1000000;95;4;1;49737471;47252027;1987757;497687;4973618;201,060858;0;0;1,000000
ttas;uniform;0,000000;1;65536;1000000;95;4;1;49753517;47267238;1988441;497838;4975235;200,995501;0;0;1,000000
ttas;uniform;0,000000;1;65536;1000000;95;4;1;49515145;47040910;1978844;495391;4951397;201,963168;0;0;1,000000
ttas;uniform;0,000000;2;65536;1000000;95;4;1;18300877;17386411;731487;182979;1830035;546,437544;9091369;9209508;0,987172
ttas;uniform;0,000000;2;65536;1000000;95;4;1;18736675;17800522;748837;187316;1873612;533,728203;9299936;9436739;0,985503
ttas;uniform;0,000000;2;65536;1000000;95;4;1;18666822;17734054;746102;186666;1866630;535,724770;9215037;9451785;0,974952
ttas;uniform;0,000000;4;65536;1000000;95;4;1;15120071;14364209;604645;151217;1511965;661,390806;3552877;4089119;0,868861
ttas;uniform;0,000000;4;65536;1000000;95;4;1;15305715;14541008;611763;152944;1530530;653,368224;3657393;4034458;0,906539
ttas;uniform;0,000000;4;65536;1000000;95;4;1;15020805;14270094;600630;150081;1502040;665,761032;3654232;3843607;0,950730
ttas;uniform;0,000000;8;65536;1000000;95;4;1;12554506;11928117;500674;125715;1255400;796,558343;1468956;1748702;0,840026
ttas;uniform;0,000000;8;65536;1000000;95;4;1;12431786;11811732;495573;124481;1243118;804,428424;1465268;1698531;0,862668
ttas;uniform;0,000000;8;65536;1000000;95;4;1;12368683;11751479;493359;123845;1236811;808,530810;1479422;1616621;0,915132
ttas;uniform;0,000000;16;65536;1000000;95;4;1;9884116;9390870;394058;99188;988364;1011,772496;594246;636737;0,933268
ttas;uniform;0,000000;16;65536;1000000;95;4;1;9757860;9270840;389099;97921;975740;1024,862954;563129;631379;0,891903
ttas;uniform;0,000000;16;65536;1000000;95;4;1;9902837;9408313;395172;99352;990239;1009,856877;579680;696774;0,831948
ttas;uniform;0,000000;32;65536;1000000;95;4;1;7455683;7083277;298100;74306;745513;1341,357390;173844;289431;0,600641
ttas;uniform;0,000000;32;65536;1000000;95;4;1;7124077;6768194;285066;70817;712347;1403,809064;154774;284031;0,544919
ttas;uniform;0,000000;32;65536;1000000;95;4;1;7317458;6951548;292917;72993;731687;1366,704588;171930;286026;0,601099
ttas;uniform;0,000000;48;65536;1000000;95;4;1;6187917;5878058;248146;61713;618723;1616,230830;123187;137843;0,893676
ttas;uniform;0,000000;48;65536;1000000;95;4;1;6110309;5804720;244786;60803;610960;1636,767051;111789;148280;0,753905
ttas;uniform;0,000000;48;65536;1000000;95;4;1;6044973;5742214;242528;60231;604422;1654,470587;119556;130383;0,916960
cas;uniform;0,000000;1;65536;1000000;95;4;1;48891597;46448638;1953872;489087;4889046;204,538866;0;0;1,000000
cas;uniform;0,000000;1;65536;1000000;95;4;1;48957793;46511457;1956561;489775;4895664;204,262371;0;0;1,000000
cas;uniform;0,000000;1;65536;1000000;95;4;1;48863070;46421497;1952757;488816;4886189;204,658448;0;0;1,000000
cas;uniform;0,000000;2;65536;1000000;95;4;1;13919537;13224719;555772;139046;1391918;718,433022;6377028;7542509;0,845478
cas;uniform;0,000000;2;65536;1000000;95;4;1;14254748;13543337;568903;142508;1425445;701,535053;6192622;8062126;0,768113
cas;uniform;0,000000;2;65536;1000000;95;4;1;13904791;13209832;555956;139003;1390443;719,194885;6258697;7646094;0,818548
cas;uniform;0,000000;4;65536;1000000;95;4;1;12194657;11585176;487502;121979;1219434;820,052495;2681226;3422242;0,783471
cas;uniform;0,000000;4;65536;1000000;95;4;1;12186260;11576753;487556;121951;1218599;820,613977;2575565;3561801;0,723107
cas;uniform;0,000000;4;65536;1000000;95;4;1;12368692;11749950;494969;123773;1236834;808,515373;2684477;3598464;0,746006
cas;uniform;0,000000;8;65536;1000000;95;4;1;10025495;9525413;399815;100267;1002504;997,501275;1145799;1377377;0,831870
cas;uniform;0,000000;8;65536;1000000;95;4;1;9978147;9480488;397733;99926;997770;1002,234102;1201176;1300958;0,923301
cas;uniform;0,000000;8;65536;1000000;95;4;1;10066346;9563603;401925;100818;1006591;993,451751;1129969;1419226;0,796187
cas;uniform;0,000000;16;65536;1000000;95;4;1;7738960;7352461;308789;77710;773863;1292,216824;467867;510583;0,916339
cas;uniform;0,000000;16;65536;1000000;95;4;1;7860669;7468151;313619;78899;786006;1272,254730;468435;523987;0,893982
cas;uniform;0,000000;16;65536;1000000;95;4;1;8137534;7731101;324606;81827;813702;1228,950818;463066;568827;0,814072
cas;uniform;0,000000;32;65536;1000000;95;4;1;6158383;5850752;246246;61385;615789;1623,930909;161065;222414;0,724168
cas;uniform;0,000000;32;65536;1000000;95;4;1;6066029;5762904;242591;60534;606557;1648,649364;146497;230288;0,636147
cas;uniform;0,000000;32;65536;1000000;95;4;1;6140561;5833857;245536;61168;614011;1628,634547;164744;221446;0,743947
cas;uniform;0,000000;48;65536;1000000;95;4;1;5758354;5470097;230962;57295;575768;1736,810548;110630;133949;0,825911
cas;uniform;0,000000;48;65536;1000000;95;4;1;5707768;5421965;228977;56826;570714;1752,188819;108788;150136;0,724596
cas;uniform;0,000000;48;65536;1000000;95;4;1;5763963;5475516;231140;57307;576334;1735,103468;108683;134059;0,810710
ticket;uniform;0,000000;1;65536;1000000;95;4;1;38405740;36488187;1533687;383866;3840484;260,383844;0;0;1,000000
ticket;uniform;0,000000;1;65536;1000000;95;4;1;38481846;36560433;1536785;384628;3848118;259,867226;0;0;1,000000
ticket;uniform;0,000000;1;65536;1000000;95;4;1;38571521;36645568;1540398;385555;3857047;259,265648;0;0;1,000000
ticket;uniform;0,000000;2;65536;1000000;95;4;1;14542088;13815844;581079;145165;1454169;687,677674;7104188;7437900;0,955134
ticket;uniform;0,000000;2;65536;1000000;95;4;1;14556963;13830022;581602;145339;1455658;686,974353;7132340;7424623;0,960633
ticket;uniform;0,000000;2;65536;1000000;95;4;1;13561779;12884385;541963;135431;1356142;737,385432;6766407;6795372;0,995738
ticket;uniform;0,000000;4;65536;1000000;95;4;1;13983755;13285047;558744;139964;1398337;715,135140;3479867;3512029;0,990842
ticket;uniform;0,000000;4;65536;1000000;95;4;1;13830010;13138986;552620;138404;1382957;723,087896;3443605;3471842;0,991867
ticket;uniform;0,000000;4;65536;1000000;95;4;1;13739197;13052767;549016;137414;1373880;727,865556;3425285;3444088;0,994540
ticket;uniform;0,000000;8;65536;1000000;95;4;1;11966855;11369702;477427;119726;1196627;835,681972;1494433;1497238;0,998127
ticket;uniform;0,000000;8;65536;1000000;95;4;1;11468436;10896172;457609;114655;1146789;871,999712;1431809;1435249;0,997603
ticket;uniform;0,000000;8;65536;1000000;95;4;1;11687396;11104287;466256;116853;1168704;855,648611;1458300;1463507;0,996442
ticket;uniform;0,000000;16;65536;1000000;95;4;1;10400475;9881549;414575;104351;1039997;961,541206;649619;650418;0,998772
ticket;uniform;0,000000;16;65536;1000000;95;4;1;10686115;10152674;426246;107195;1068536;935,859085;667713;668014;0,999549
ticket;uniform;0,000000;16;65536;1000000;95;4;1;11140860;10584395;444746;111719;1114017;897,651632;695975;696561;0,999159
ticket;uniform;0,000000;32;65536;1000000;95;4;1;9977337;9478405;399168;99764;997653;1002,352071;311725;311864;0,999554
ticket;uniform;0,000000;32;65536;1000000;95;4;1;10004678;9504476;400191;100011;1000384;999,615245;312545;312754;0,999332
ticket;uniform;0,000000;32;65536;1000000;95;4;1;9737116;9250198;389538;97380;973636;1027,077855;304198;304384;0,999389
ticket;uniform;0,000000;48;65536;1000000;95;4;1;9269842;8806335;371174;92333;926883;1078,884307;193076;193156;0,999586
ticket;uniform;0,000000;48;65536;1000000;95;4;1;9894464;9399846;396084;98534;989347;1010,766722;206058;206145;0,999578
ticket;uniform;0,000000;48;65536;1000000;95;4;1;9892746;9398086;396152;98508;989166;1010,951847;206070;206109;0,999811
rw;uniform;0,000000;1;65536;1000000;95;4;1;47438708;45068571;1895916;474221;4743759;210,803263;0;0;1,000000
rw;uniform;0,000000;1;65536;1000000;95;4;1;47426491;45056978;1895399;474114;4742536;210,857644;0;0;1,000000
rw;uniform;0,000000;1;65536;1000000;95;4;1;47576185;45199110;1901448;475627;4757503;210,194283;0;0;1,000000
rw;uniform;0,000000;2;65536;1000000;95;4;1;17914158;17019535;715642;178981;1791368;558,232401;8504974;9409184;0,903901
rw;uniform;0,000000;2;65536;1000000;95;4;1;18575582;17647645;742190;185747;1857510;538,355089;9047754;9527828;0,949613
rw;uniform;0,000000;2;65536;1000000;95;4;1;17120256;16265130;683934;171192;1711973;584,121022;7802326;9317930;0,837345
rw;uniform;0,000000;4;65536;1000000;95;4;1;21147616;20092110;844819;210687;2114722;472,875377;4794293;5778240;0,829715
rw;uniform;0,000000;4;65536;1000000;95;4;1;20501839;19478172;819317;204350;2050128;487,774395;5057587;5194313;0,973678
rw;uniform;0,000000;4;65536;1000000;95;4;1;21346155;20280604;852553;212998;2134557;468,481188;4433071;6246171;0,709726
rw;uniform;0,000000;8;65536;1000000;95;4;1;21203996;20145207;846643;212146;2120308;471,629566;2369620;2938726;0,806343
rw;uniform;0,000000;8;65536;1000000;95;4;1;20868266;19825739;833693;208834;2086730;479,218467;2575568;2655057;0,970061
rw;uniform;0,000000;8;65536;1000000;95;4;1;20860495;19818402;833476;208617;2085968;479,393620;2529312;2692868;0,939263
rw;uniform;0,000000;16;65536;1000000;95;4;1;16044174;15241729;641279;161166;1604305;623,322778;877596;1127731;0,778196
rw;uniform;0,000000;16;65536;1000000;95;4;1;16029263;15227557;640740;160966;1602849;623,888699;967752;1037996;0,932327
rw;uniform;0,000000;16;65536;1000000;95;4;1;16189692;15379924;647348;162420;1618893;617,705773;843827;1187453;0,710619
rw;uniform;0,000000;32;65536;1000000;95;4;1;10892839;10348471;435781;108587;1089201;918,103646;245434;443574;0,553310
rw;uniform;0,000000;32;65536;1000000;95;4;1;11099636;10544481;444215;110940;1109875;901,001626;228447;477125;0,478799
rw;uniform;0,000000;32;65536;1000000;95;4;1;11042457;10490751;441344;110362;1104155;905,669792;230028;477442;0,481793
rw;uniform;0,000000;48;65536;1000000;95;4;1;9001643;8551387;360371;89885;900056;1111,041865;146659;228385;0,642157
rw;uniform;0,000000;48;65536;1000000;95;4;1;9487765;9013503;379806;94456;948663;1054,114738;164239;234444;0,700547
rw;uniform;0,000000;48;65536;1000000;95;4;1;9203975;8743864;368550;91561;920297;1086,605311;147692;242609;0,608766
occ;uniform;0,000000;1;65536;1000000;95;4;1;44232520;42022746;1767585;442189;4423136;226,083923;0;0;1,000000
occ;uniform;0,000000;1;65536;1000000;95;4;1;44406808;42188358;1774475;443975;4440576;225,195962;0;0;1,000000
occ;uniform;0,000000;1;65536;1000000;95;4;1;44534400;42309485;1779604;445311;4453335;224,550787;0;0;1,000000
occ;uniform;0,000000;2;65536;1000000;95;4;1;63190381;60033300;2524595;632486;6318865;158,256268;31346593;31843788;0,984386
occ;uniform;0,000000;2;65536;1000000;95;4;1;63881174;60689651;2552166;639357;6387956;156,544589;31774933;32106241;0,989681
occ;uniform;0,000000;2;65536;1000000;95;4;1;63645610;60465261;2543354;636995;6364388;157,124294;31314638;32330972;0,968565
occ;uniform;0,000000;4;65536;1000000;95;4;1;85918647;81622873;3435087;860687;8591589;116,392903;21452147;21528812;0,996439
occ;uniform;0,000000;4;65536;1000000;95;4;1;88254636;83841955;3528493;884188;8825199;113,311887;21846992;22267898;0,981098
occ;uniform;0,000000;4;65536;1000000;95;4;1;87779341;83390351;3509450;879540;8777654;113,925656;21565895;22325752;0,965965
occ;uniform;0,000000;8;65536;1000000;95;4;1;103325646;98159447;4131203;1034996;10332219;96,784625;12804586;12983273;0,986237
occ;uniform;0,000000;8;65536;1000000;95;4;1;100564546;95536377;4020812;1007357;10056154;99,441588;12470342;12661973;0,984866
occ;uniform;0,000000;8;65536;1000000;95;4;1;101440006;96367486;4056309;1016211;10143549;98,584816;12531153;12800578;0,978952
occ;uniform;0,000000;16;65536;1000000;95;4;1;102027580;96925677;4080529;1021374;10202096;98,019072;6292125;6446014;0,976126
occ;uniform;0,000000;16;65536;1000000;95;4;1;103331902;98164652;4132810;1034440;10332684;96,780274;6394100;6529256;0,979300
occ;uniform;0,000000;16;65536;1000000;95;4;1;105746696;100459485;4228708;1058503;10574137;94,570361;6485426;6710247;0,966496
occ;uniform;0,000000;32;65536;1000000;95;4;1;85755209;81466789;3430127;858293;8574830;116,620377;2278537;3132117;0,727475
occ;uniform;0,000000;32;65536;1000000;95;4;1;92715161;88078819;3708463;927879;9270558;107,868364;2489181;3273359;0,760436
occ;uniform;0,000000;32;65536;1000000;95;4;1;88002100;83601211;3520178;880711;8799526;113,642480;2351220;3155446;0,745131
occ;uniform;0,000000;48;65536;1000000;95;4;1;83656073;79473757;3344445;837871;8364645;119,550787;1593879;1908695;0,835062
occ;uniform;0,000000;48;65536;1000000;95;4;1;81695282;77610531;3266473;818278;8168542;122,420858;1598129;1901560;0,840430
occ;uniform;0,000000;48;65536;1000000;95;4;1;82333458;78217063;3291989;824406;8232420;121,470958;1611195;1980273;0,813623
tas;uniform;0,000000;1;65536;1000000;80;10;10;48075995;38466049;4804788;4805158;4807470;208,009610;0;0;1,000000
tas;uniform;0,000000;1;65536;1000000;80;10;10;48079474;38468771;4805161;4805542;4807832;207,993938;0;0;1,000000
tas;uniform;0,000000;1;65536;1000000;80;10;10;48051125;38446008;4802365;4802752;4804997;208,116671;0;0;1,000000
