lock;dist;zipf_theta;threads;buckets;key_range;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
cds-std;uniform;0,990000;1;65536;1000000;80;10;10;7136975;5708645;714192;714138;7101135;140,822553;0;0;1,000000
cds-std;uniform;0,990000;2;65536;1000000;80;10;10;13768529;11013577;1377025;1377927;13699337;72,996233;6664798;7103731;0,938211
cds-tas;uniform;0,990000;1;65536;1000000;80;10;10;19601839;15678626;1961748;1961465;19503553;51,272708;0;0;1,000000
cds-tas;uniform;0,990000;2;65536;1000000;80;10;10;36051835;28839811;3606759;3605265;35870725;27,877886;17317817;18734018;0,924405
cds-ttas;uniform;0,990000;1;65536;1000000;80;10;10;19329354;15460606;1934734;1934014;19232345;51,995739;0;0;1,000000
cds-ttas;uniform;0,990000;2;65536;1000000;80;10;10;35473714;28379015;3549102;3545597;35295626;28,332122;17093964;18379750;0,930043
cds-cas;uniform;0,990000;1;65536;1000000;80;10;10;9204375;7362995;921296;920084;9158173;109,192074;0;0;1,000000
cds-cas;uniform;0,990000;2;65536;1000000;80;10;10;19958265;15964036;1997359;1996870;19857867;50,357874;9956510;10001755;0,995476
cds-ticket;uniform;0,990000;1;65536;1000000;80;10;10;7724672;6178763;773394;772515;7685935;130,107779;0;0;1,000000
cds-ticket;uniform;0,990000;2;65536;1000000;80;10;10;15533086;12424001;1554362;1554723;15455150;64,703348;7580080;7953006;0,953109
cds-std;zipfian;0,990000;1;65536;1000000;80;10;10;6893258;5513864;689589;689805;6858753;145,799085;0;0;1,000000
cds-std;zipfian;0,990000;2;65536;1000000;80;10;10;14357339;11484544;1435943;1436852;14285216;70,002439;7175135;7182204;0,999016
cds-tas;zipfian;0,990000;1;65536;1000000;80;10;10;16083335;12865281;1609045;1609009;16002751;62,489253;0;0;1,000000
cds-tas;zipfian;0,990000;2;65536;1000000;80;10;10;28039996;22431462;2805274;2803260;27899196;35,843326;13352147;14687849;0,909061
cds-ttas;zipfian;0,990000;1;65536;1000000;80;10;10;15203098;12162306;1520946;1519846;15126975;66,107069;0;0;1,000000
cds-ttas;zipfian;0,990000;2;65536;1000000;80;10;10;27269594;21815094;2728738;2725762;27132982;36,855513;13095829;14173765;0,923949
cds-cas;zipfian;0,990000;1;65536;1000000;80;10;10;8388712;6709855;839886;838971;8346689;119,807978;0;0;1,000000
cds-cas;zipfian;0,990000;2;65536;1000000;80;10;10;16036346;12827007;1604328;1605011;15955945;62,672564;7992516;8043830;0,993621
cds-ticket;zipfian;0,990000;1;65536;1000000;80;10;10;7338975;5870329;734214;734432;7302120;136,946525;0;0;1,000000
cds-ticket;zipfian;0,990000;2;65536;1000000;80;10;10;14629412;11702405;1463606;1463401;14573268;68,618787;7273929;7355483;0,988912
cds-std;uniform;0,990000;1;65536;1000000;90;5;5;7502362;6752357;375476;374529;7464642;133,964893;0;0;1,000000
cds-std;uniform;0,990000;2;65536;1000000;90;5;5;15303076;13771905;765578;765593;15268253;65,495375;7518266;7784810;0,965761
