platform;lock;workload;threads;cs_work;read_pct;total_ops;read_ops;write_ops;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
arm;tas;mutex;1;0;100;2926580041;0;2926580041;973890084,000000;1,026810;0,000000;0,000000;1,000000
arm;tas;mutex;1;0;100;2892746195;0;2892746195;962632418,000000;1,038818;0,000000;0,000000;1,000000
arm;tas;mutex;1;0;100;2824333833;0;2824333833;939868920,000000;1,063978;0,000000;0,000000;1,000000
arm;tas;mutex;1;0;100;2848897967;0;2848897967;948039856,000000;1,054808;0,000000;0,000000;1,000000
arm;tas;mutex;1;0;100;2825811091;0;2825811091;940359720,000000;1,063423;0,000000;0,000000;1,000000
arm;tas;mutex;2;0;100;301895713;0;301895713;100542650,000000;9,946028;111990288,000000;189905425,000000;0,589716
arm;tas;mutex;2;0;100;308570476;0;308570476;102684690,000000;9,738550;148434079,000000;160136397,000000;0,926923
arm;tas;mutex;2;0;100;308571624;0;308571624;102757172,000000;9,731681;138151202,000000;170420422,000000;0,810649
arm;tas;mutex;2;0;100;297690023;0;297690023;99063745,000000;10,094510;131496132,000000;166193891,000000;0,791221
arm;tas;mutex;2;0;100;296571874;0;296571874;98691391,000000;10,132596;145786326,000000;150785548,000000;0,966845
arm;tas;mutex;4;0;100;91558369;0;91558369;30468188,000000;32,821118;22539214,000000;23375568,000000;0,964221
arm;tas;mutex;4;0;100;91079701;0;91079701;30308941,000000;32,993564;22226879,000000;23098150,000000;0,962280
arm;tas;mutex;4;0;100;91196411;0;91196411;30347810,000000;32,951306;22652648,000000;23107733,000000;0,980306
arm;tas;mutex;4;0;100;88304899;0;88304899;29385403,000000;34,030501;21822394,000000;22228265,000000;0,981741
arm;tas;mutex;4;0;100;91455222;0;91455222;30433901,000000;32,858094;22518242,000000;23233618,000000;0,969209
arm;tas;mutex;6;0;100;19129672;0;19129672;6368838,000000;157,014497;3058640,000000;3390907,000000;0,902012
arm;tas;mutex;6;0;100;19101467;0;19101467;6358479,000000;157,270301;2885019,000000;3723062,000000;0,774905
arm;tas;mutex;6;0;100;18814316;0;18814316;6263181,000000;159,663276;2864630,000000;3299422,000000;0,868222
arm;tas;mutex;6;0;100;21355137;0;21355137;7106390,000000;140,718412;3455909,000000;3627929,000000;0,952585
arm;tas;mutex;6;0;100;19085680;0;19085680;6358026,000000;157,281509;2789229,000000;3482009,000000;0,801040
arm;ttas;mutex;1;0;100;2685138368;0;2685138368;893546961,000000;1,119135;0,000000;0,000000;1,000000
arm;ttas;mutex;1;0;100;2699685227;0;2699685227;898384566,000000;1,113109;0,000000;0,000000;1,000000
arm;ttas;mutex;1;0;100;2703290700;0;2703290700;899588502,000000;1,111619;0,000000;0,000000;1,000000
arm;ttas;mutex;1;0;100;2691250659;0;2691250659;895582271,000000;1,116592;0,000000;0,000000;1,000000
arm;ttas;mutex;1;0;100;2686034306;0;2686034306;893845814,000000;1,118761;0,000000;0,000000;1,000000
arm;ttas;mutex;2;0;100;396337822;0;396337822;131890933,000000;7,582022;166909095,000000;229428727,000000;0,727499
arm;ttas;mutex;2;0;100;427337311;0;427337311;142206925,000000;7,032006;187856140,000000;239481171,000000;0,784430
arm;ttas;mutex;2;0;100;464573807;0;464573807;154598319,000000;6,468376;163287854,000000;301285953,000000;0,541970
arm;ttas;mutex;2;0;100;443041999;0;443041999;147433142,000000;6,782735;208835042,000000;234206957,000000;0,891669
arm;ttas;mutex;2;0;100;414407149;0;414407149;138078398,000000;7,242262;186876540,000000;227530609,000000;0,821325
arm;ttas;mutex;4;0;100;172638123;0;172638123;57449562,000000;17,406573;37087988,000000;46220430,000000;0,802415
arm;ttas;mutex;4;0;100;168627768;0;168627768;56115008,000000;17,820544;34105857,000000;48255710,000000;0,706773
arm;ttas;mutex;4;0;100;172758138;0;172758138;57489288,000000;17,394545;37044965,000000;50875131,000000;0,728155
arm;ttas;mutex;4;0;100;169550092;0;169550092;56421427,000000;17,723763;36505356,000000;44833126,000000;0,814250
arm;ttas;mutex;4;0;100;173158205;0;173158205;57622346,000000;17,354378;39301788,000000;47110366,000000;0,834249
arm;ttas;mutex;4;0;100;168821363;0;168821363;56085991,000000;17,829764;36878544,000000;45285075,000000;0,814364
arm;ttas;mutex;4;0;100;167685394;0;167685394;55708711,000000;17,950514;38776170,000000;44018260,000000;0,880911
arm;ttas;mutex;4;0;100;167635954;0;167635954;55692334,000000;17,955792;38766438,000000;43785469,000000;0,885372
arm;ttas;mutex;4;0;100;174721140;0;174721140;58045947,000000;17,227731;36572703,000000;56368204,000000;0,648818
arm;ttas;mutex;4;0;100;167852426;0;167852426;55764120,000000;17,932678;37039205,000000;49280558,000000;0,751599
arm;ttas;mutex;6;0;100;25349494;0;25349494;8447786,000000;118,374200;3779493,000000;4810652,000000;0,785651
arm;ttas;mutex;6;0;100;26005246;0;26005246;8653790,000000;115,556295;3725171,000000;5009650,000000;0,743599
arm;ttas;mutex;6;0;100;25369128;0;25369128;8452908,000000;118,302481;3706397,000000;4988871,000000;0,742933
arm;ttas;mutex;6;0;100;23430822;0;23430822;7797125,000000;128,252390;3600516,000000;4176990,000000;0,861988
arm;ttas;mutex;6;0;100;22774524;0;22774524;7578638,000000;131,949814;3428785,000000;4118204,000000;0,832592
arm;cas;mutex;1;0;100;2412155975;0;2412155975;802705175,000000;1,245787;0,000000;0,000000;1,000000
arm;cas;mutex;1;0;100;2412160552;0;2412160552;802707799,000000;1,245783;0,000000;0,000000;1,000000
arm;cas;mutex;1;0;100;2413230693;0;2413230693;803062680,000000;1,245233;0,000000;0,000000;1,000000
arm;cas;mutex;1;0;100;2385838521;0;2385838521;793947076,000000;1,259530;0,000000;0,000000;1,000000
arm;cas;mutex;1;0;100;2385011191;0;2385011191;793669945,000000;1,259970;0,000000;0,000000;1,000000
arm;cas;mutex;2;0;100;447404044;0;447404044;148885065,000000;6,716590;191860152,000000;255543892,000000;0,750791
arm;cas;mutex;2;0;100;430528164;0;430528164;143268911,000000;6,979881;140788904,000000;289739260,000000;0,485916
arm;cas;mutex;2;0;100;424684073;0;424684073;141323994,000000;7,075939;136191490,000000;288492583,000000;0,472080
arm;cas;mutex;2;0;100;484746331;0;484746331;161311071,000000;6,199202;206922066,000000;277824265,000000;0,744795
arm;cas;mutex;2;0;100;455301605;0;455301605;151513088,000000;6,600090;95270953,000000;360030652,000000;0,264619
arm;cas;mutex;4;0;100;166671457;0;166671457;55463733,000000;18,029800;36602944,000000;47695375,000000;0,767432
arm;cas;mutex;4;0;100;165843452;0;165843452;55188360,000000;18,119763;28257860,000000;49918665,000000;0,566078
arm;cas;mutex;4;0;100;166899043;0;166899043;55559716,000000;17,998652;38327039,000000;47765564,000000;0,802399
arm;cas;mutex;4;0;100;166304574;0;166304574;55355635,000000;18,065008;37145188,000000;44482312,000000;0,835055
arm;cas;mutex;4;0;100;166179566;0;166179566;55300255,000000;18,083099;38649363,000000;45477454,000000;0,849858
arm;cas;mutex;6;0;100;37536372;0;37536372;12502902,000000;79,981426;5734198,000000;6753997,000000;0,849008
arm;cas;mutex;6;0;100;37972306;0;37972306;12650065,000000;79,050972;5798806,000000;6791044,000000;0,853890
arm;cas;mutex;6;0;100;36478704;0;36478704;12156385,000000;82,261291;5888053,000000;6472005,000000;0,909773
arm;cas;mutex;6;0;100;36680708;0;36680708;12206301,000000;81,924899;5604695,000000;6446972,000000;0,869353
arm;cas;mutex;6;0;100;40914714;0;40914714;13615478,000000;73,445823;6295892,000000;7266764,000000;0,866396
arm;ticket;mutex;1;0;100;1479892220;0;1479892220;492471019,000000;2,030576;0,000000;0,000000;1,000000
arm;ticket;mutex;1;0;100;1484703117;0;1484703117;494072376,000000;2,023995;0,000000;0,000000;1,000000
arm;ticket;mutex;1;0;100;1480807841;0;1480807841;492776364,000000;2,029318;0,000000;0,000000;1,000000
arm;ticket;mutex;1;0;100;1487067002;0;1487067002;494859341,000000;2,020776;0,000000;0,000000;1,000000
arm;ticket;mutex;1;0;100;1488127846;0;1488127846;495212165,000000;2,019336;0,000000;0,000000;1,000000
arm;ticket;mutex;2;0;100;83190904;0;83190904;27683854,000000;36,122138;41373746,000000;41817158,000000;0,989396
arm;ticket;mutex;2;0;100;84234525;0;84234525;28031046,000000;35,674730;41797719,000000;42436806,000000;0,984940
arm;ticket;mutex;2;0;100;80119262;0;80119262;26661679,000000;37,507014;39889117,000000;40230145,000000;0,991523
arm;ticket;mutex;2;0;100;82345106;0;82345106;27402345,000000;36,493227;40784832,000000;41560274,000000;0,981342
arm;ticket;mutex;2;0;100;79658273;0;79658273;26508192,000000;37,724186;38340870,000000;41317403,000000;0,927959
arm;ticket;mutex;4;0;100;48083456;0;48083456;16000941,000000;62,496321;12019065,000000;12022333,000000;0,999728
arm;ticket;mutex;4;0;100;47985666;0;47985666;15968435,000000;62,623542;11995188,000000;11997781,000000;0,999784
arm;ticket;mutex;4;0;100;48044241;0;48044241;15987904,000000;62,547285;12010533,000000;12011560,000000;0,999914
arm;ticket;mutex;4;0;100;47901935;0;47901935;15940466,000000;62,733423;11975036,000000;11976505,000000;0,999877
arm;ticket;mutex;4;0;100;48151431;0;48151431;16023571,000000;62,408058;12036558,000000;12039325,000000;0,999770
arm;ticket;mutex;6;0;100;21513844;0;21513844;7162652,000000;139,613085;3585208,000000;3585930,000000;0,999799
arm;ticket;mutex;6;0;100;21576789;0;21576789;7180133,000000;139,273175;3595941,000000;3596334,000000;0,999891
arm;ticket;mutex;6;0;100;21563620;0;21563620;7182047,000000;139,236051;3593738,000000;3594040,000000;0,999916
arm;ticket;mutex;6;0;100;21509419;0;21509419;7162259,000000;139,620742;3584711,000000;3585131,000000;0,999883
arm;ticket;mutex;6;0;100;21583916;0;21583916;7173381,000000;139,404273;3597140,000000;3597419,000000;0,999922
arm;rw;mutex;1;0;100;2406222462;0;2406222462;801880444,000000;1,247069;0,000000;0,000000;1,000000
arm;rw;mutex;1;0;100;2411792031;0;2411792031;801252756,000000;1,248046;0,000000;0,000000;1,000000
arm;rw;mutex;1;0;100;2410833194;0;2410833194;800933710,000000;1,248543;0,000000;0,000000;1,000000
arm;rw;mutex;1;0;100;2406607695;0;2406607695;799529161,000000;1,250736;0,000000;0,000000;1,000000
arm;rw;mutex;1;0;100;2410632876;0;2410632876;800865596,000000;1,248649;0,000000;0,000000;1,000000
arm;rw;mutex;2;0;100;445187341;0;445187341;147900643,000000;6,761296;204055739,000000;241131602,000000;0,846242
arm;rw;mutex;2;0;100;428206115;0;428206115;142259724,000000;7,029396;167800206,000000;260405909,000000;0,644379
arm;rw;mutex;2;0;100;440906258;0;440906258;146478821,000000;6,826925;184870020,000000;256036238,000000;0,722046
arm;rw;mutex;2;0;100;423869387;0;423869387;140818883,000000;7,101320;201324835,000000;222544552,000000;0,904650
arm;rw;mutex;2;0;100;434263992;0;434263992;144345066,000000;6,927843;170461129,000000;263802863,000000;0,646169
arm;rw;mutex;4;0;100;89752480;0;89752480;29817702,000000;33,537125;22003880,000000;23083956,000000;0,953211
arm;rw;mutex;4;0;100;91866028;0;91866028;30519941,000000;32,765462;21179122,000000;25204627,000000;0,840287
arm;rw;mutex;4;0;100;93898268;0;93898268;31194913,000000;32,056508;22226104,000000;24093127,000000;0,922508
arm;rw;mutex;4;0;100;88598768;0;88598768;29434363,000000;33,973896;20024865,000000;23555008,000000;0,850132
arm;rw;mutex;4;0;100;87206807;0;87206807;29064675,000000;34,406027;21130397,000000;22619283,000000;0,934176
arm;rw;mutex;6;0;100;36864826;0;36864826;12256841,000000;81,587090;5625594,000000;6993496,000000;0,804404
arm;rw;mutex;6;0;100;37094441;0;37094441;12328459,000000;81,113134;5570143,000000;6544242,000000;0,851152
arm;rw;mutex;6;0;100;37052358;0;37052358;12309500,000000;81,238063;5761128,000000;6825120,000000;0,844106
arm;rw;mutex;6;0;100;36678566;0;36678566;12187710,000000;82,049865;5671496,000000;6527983,000000;0,868798
arm;rw;mutex;6;0;100;37280474;0;37280474;12396726,000000;80,666459;6024297,000000;6481109,000000;0,929516
arm;occ;mutex;1;0;100;799071096;0;799071096;265468347,000000;3,766927;0,000000;0,000000;1,000000
arm;occ;mutex;1;0;100;825568420;0;825568420;275018904,000000;3,636114;0,000000;0,000000;1,000000
arm;occ;mutex;1;0;100;802241952;0;802241952;266522012,000000;3,752035;0,000000;0,000000;1,000000
arm;occ;mutex;1;0;100;849295790;0;849295790;282153785,000000;3,544167;0,000000;0,000000;1,000000
arm;occ;mutex;1;0;100;852499567;0;852499567;283218127,000000;3,530847;0,000000;0,000000;1,000000
arm;occ;mutex;2;0;100;239185767;0;239185767;79462552,000000;12,584544;116254542,000000;122931225,000000;0,945688
arm;occ;mutex;2;0;100;248228534;0;248228534;82466688,000000;12,126108;40119904,000000;208108630,000000;0,192783
arm;occ;mutex;2;0;100;261355557;0;261355557;86827672,000000;11,517066;89121449,000000;172234108,000000;0,517444
