arch;hostname;lock;dist;zipf_theta;threads;buckets;key_range;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
graviton;ip-172-31-19-57;avl-std;uniform;0,990000;1;65536;1000000;80;10;10;3095123;2476847;308751;309525;1031680;969,292305;0;0;1,000000
graviton;ip-172-31-19-57;avl-std;uniform;0,990000;2;65536;1000000;80;10;10;5917086;4734304;590041;592741;1972303;507,021281;2958222;2958864;0,999783
graviton;ip-172-31-19-57;avl-std;uniform;0,990000;4;65536;1000000;80;10;10;12587537;10071069;1257205;1259263;4195681;238,340320;3131083;3173798;0,986541
graviton;ip-172-31-19-57;avl-std;uniform;0,990000;8;65536;1000000;80;10;10;26327709;21063630;2632194;2631885;8775359;113,955451;3270369;3321301;0,984665
graviton;ip-172-31-19-57;avl-tas;uniform;0,990000;1;65536;1000000;80;10;10;3193234;2555445;318446;319343;1064381;939,512996;0;0;1,000000
graviton;ip-172-31-19-57;avl-tas;uniform;0,990000;2;65536;1000000;80;10;10;6525590;5221483;650925;653182;2175141;459,740301;3262036;3263554;0,999535
graviton;ip-172-31-19-57;avl-tas;uniform;0,990000;4;65536;1000000;80;10;10;13789908;11032743;1377216;1379949;4596460;217,558702;3429333;3477391;0,986180
graviton;ip-172-31-19-57;avl-tas;uniform;0,990000;8;65536;1000000;80;10;10;28076946;22461646;2807327;2807973;9358397;106,855902;3490738;3526802;0,989774
graviton;ip-172-31-19-57;avl-ttas;uniform;0,990000;1;65536;1000000;80;10;10;3138881;2511942;312969;313970;1046263;955,782138;0;0;1,000000
graviton;ip-172-31-19-57;avl-ttas;uniform;0,990000;2;65536;1000000;80;10;10;6595766;5277778;657776;660212;2198517;454,851909;3279331;3316435;0,988812
graviton;ip-172-31-19-57;avl-ttas;uniform;0,990000;4;65536;1000000;80;10;10;13908279;11127317;1389124;1391838;4635916;215,707061;3468400;3484073;0,995502
graviton;ip-172-31-19-57;avl-ttas;uniform;0,990000;8;65536;1000000;80;10;10;29392064;23514192;2938473;2939399;9796723;102,074941;3650957;3706187;0,985098
graviton;ip-172-31-19-57;avl-cas;uniform;0,990000;1;65536;1000000;80;10;10;3403682;2723844;339470;340368;1134528;881,423306;0;0;1,000000
graviton;ip-172-31-19-57;avl-cas;uniform;0,990000;2;65536;1000000;80;10;10;7015411;5613700;699586;702125;2338406;427,641589;3507670;3507741;0,999980
graviton;ip-172-31-19-57;avl-cas;uniform;0,990000;4;65536;1000000;80;10;10;13840607;11073161;1382395;1385051;4613375;216,761024;3442783;3491444;0,986063
graviton;ip-172-31-19-57;avl-cas;uniform;0,990000;8;65536;1000000;80;10;10;29399712;23519844;2939368;2940500;9799308;102,048021;3650187;3708271;0,984337
graviton;ip-172-31-19-57;avl-ticket;uniform;0,990000;1;65536;1000000;80;10;10;2595155;2076920;258552;259683;865030;1156,028403;0;0;1,000000
graviton;ip-172-31-19-57;avl-ticket;uniform;0,990000;2;65536;1000000;80;10;10;5349013;4279977;532898;536138;1782953;560,867084;2674470;2674543;0,999973
graviton;ip-172-31-19-57;avl-ticket;uniform;0,990000;4;65536;1000000;80;10;10;11015462;8813703;1099469;1102290;3671658;272,356456;2738721;2780143;0,985101
graviton;ip-172-31-19-57;avl-ticket;uniform;0,990000;8;65536;1000000;80;10;10;22386396;17911373;2236680;2238343;7461656;134,018493;2778474;2825538;0,983343
graviton;ip-172-31-19-57;avl-std;zipfian;0,990000;1;65536;1000000;80;10;10;4049542;3239877;404894;404771;1349805;740,847502;0;0;1,000000
graviton;ip-172-31-19-57;avl-std;zipfian;0,990000;2;65536;1000000;80;10;10;8468668;6775914;845738;847016;2822795;354,258694;4232129;4236539;0,998959
graviton;ip-172-31-19-57;avl-std;zipfian;0,990000;4;65536;1000000;80;10;10;17815472;14253984;1780280;1781208;5938293;168,398552;4426347;4484818;0,986962
graviton;ip-172-31-19-57;avl-std;zipfian;0,990000;8;65536;1000000;80;10;10;35724999;28580129;3572776;3572094;11907593;83,980025;4429282;4510462;0,982002
graviton;ip-172-31-19-57;avl-tas;zipfian;0,990000;1;65536;1000000;80;10;10;4927508;3942378;493071;492059;1642453;608,845325;0;0;1,000000
graviton;ip-172-31-19-57;avl-tas;zipfian;0,990000;2;65536;1000000;80;10;10;10197264;8159148;1019235;1018881;3398990;294,204998;5097684;5099580;0,999628
graviton;ip-172-31-19-57;avl-tas;zipfian;0,990000;4;65536;1000000;80;10;10;19953663;15965133;1994608;1993922;6650980;150,353775;4978127;4999119;0,995801
graviton;ip-172-31-19-57;avl-tas;zipfian;0,990000;8;65536;1000000;80;10;10;40813529;32651594;4081707;4080228;13603656;73,509648;5064099;5152823;0,982781
graviton;ip-172-31-19-57;avl-ttas;zipfian;0,990000;1;65536;1000000;80;10;10;4657518;3726491;465822;465205;1552466;644,136360;0;0;1,000000
graviton;ip-172-31-19-57;avl-ttas;zipfian;0,990000;2;65536;1000000;80;10;10;9555987;7646185;954685;955117;3185232;313,948849;4777339;4778648;0,999726
graviton;ip-172-31-19-57;avl-ttas;zipfian;0,990000;4;65536;1000000;80;10;10;20128745;16105535;2011673;2011537;6709333;149,046112;5023562;5042314;0,996281
graviton;ip-172-31-19-57;avl-ttas;zipfian;0,990000;8;65536;1000000;80;10;10;41640389;33313315;4164814;4162260;13879250;72,049999;5170750;5239026;0,986968
graviton;ip-172-31-19-57;avl-cas;zipfian;0,990000;1;65536;1000000;80;10;10;4708666;3767413;471021;470232;1569508;637,141976;0;0;1,000000
graviton;ip-172-31-19-57;avl-cas;zipfian;0,990000;2;65536;1000000;80;10;10;9447842;7559584;943859;944399;3149182;317,542721;4720636;4727206;0,998610
graviton;ip-172-31-19-57;avl-cas;zipfian;0,990000;4;65536;1000000;80;10;10;19801074;15843573;1978787;1978714;6600106;151,512713;4934070;4968484;0,993074
graviton;ip-172-31-19-57;avl-cas;zipfian;0,990000;8;65536;1000000;80;10;10;40383706;32307730;4038923;4037053;13460383;74,292088;5022653;5091238;0,986529
graviton;ip-172-31-19-57;avl-ticket;zipfian;0,990000;1;65536;1000000;80;10;10;3638150;2911490;362876;363784;1212678;824,620711;0;0;1,000000
graviton;ip-172-31-19-57;avl-ticket;zipfian;0,990000;2;65536;1000000;80;10;10;8298292;6639484;828597;830211;2766001;361,532680;4129353;4168939;0,990505
graviton;ip-172-31-19-57;avl-ticket;zipfian;0,990000;4;65536;1000000;80;10;10;17178769;13744545;1716462;1717762;5726096;174,639029;4283345;4309460;0,993940
graviton;ip-172-31-19-57;avl-ticket;zipfian;0,990000;8;65536;1000000;80;10;10;32968369;26373890;3297174;3297305;10988704;91,002542;4100291;4148241;0,988441
graviton;ip-172-31-19-57;avl-std;uniform;0,990000;1;65536;1000000;90;5;5;2956903;2661112;147904;147887;985605;1014,604271;0;0;1,000000
graviton;ip-172-31-19-57;avl-std;uniform;0,990000;2;65536;1000000;90;5;5;6311340;5679398;316210;315732;2103714;475,349627;3136438;3174902;0,987885
graviton;ip-172-31-19-57;avl-std;uniform;0,990000;4;65536;1000000;90;5;5;13228100;11904924;662082;661094;4409203;226,798338;3299861;3314894;0,995465
graviton;ip-172-31-19-57;avl-std;uniform;0,990000;8;65536;1000000;90;5;5;28000789;25200354;1402488;1397947;9333000;107,146682;3471802;3533552;0,982525
graviton;ip-172-31-19-57;avl-tas;uniform;0,990000;1;65536;1000000;90;5;5;3182489;2864213;159085;159191;1060799;942,684852;0;0;1,000000
graviton;ip-172-31-19-57;avl-tas;uniform;0,990000;2;65536;1000000;90;5;5;6846030;6160614;342999;342417;2281944;438,222814;3404940;3441090;0,989495
graviton;ip-172-31-19-57;avl-tas;uniform;0,990000;4;65536;1000000;90;5;5;14200698;12779784;711279;709635;4733358;211,266491;3544374;3556115;0,996698
graviton;ip-172-31-19-57;avl-tas;uniform;0,990000;8;65536;1000000;90;5;5;30284575;27255541;1516682;1512352;10094212;99,066672;3752883;3824422;0,981294
graviton;ip-172-31-19-57;avl-ttas;uniform;0,990000;1;65536;1000000;90;5;5;3244413;2919981;162155;162277;1081439;924,693112;0;0;1,000000
graviton;ip-172-31-19-57;avl-ttas;uniform;0,990000;2;65536;1000000;90;5;5;7047191;6341827;352913;352451;2348992;425,714489;3505553;3541638;0,989811
graviton;ip-172-31-19-57;avl-ttas;uniform;0,990000;4;65536;1000000;90;5;5;15636990;14072735;782799;781456;5212144;191,859614;3900796;3917740;0,995675
graviton;ip-172-31-19-57;avl-ttas;uniform;0,990000;8;65536;1000000;90;5;5;33083454;29775461;1656328;1651665;11027098;90,685690;4102352;4175389;0,982508
graviton;ip-172-31-19-57;avl-cas;uniform;0,990000;1;65536;1000000;90;5;5;3278188;2950400;163839;163949;1092696;915,166916;0;0;1,000000
graviton;ip-172-31-19-57;avl-cas;uniform;0,990000;2;65536;1000000;90;5;5;6913653;6221492;346312;345849;2304490;433,935349;3456060;3457593;0,999557
graviton;ip-172-31-19-57;avl-cas;uniform;0,990000;4;65536;1000000;90;5;5;14622477;13159435;732329;730713;4873946;205,172544;3638856;3686366;0,987112
graviton;ip-172-31-19-57;avl-cas;uniform;0,990000;8;65536;1000000;90;5;5;31104691;27993772;1557667;1553252;10367568;96,454631;3860982;3927808;0,982986
graviton;ip-172-31-19-57;avl-ticket;uniform;0,990000;1;65536;1000000;90;5;5;2703182;2432666;135220;135296;901032;1109,837742;0;0;1,000000
graviton;ip-172-31-19-57;avl-ticket;uniform;0,990000;2;65536;1000000;90;5;5;5669536;5101604;284019;283913;1889782;529,161451;2834173;2835363;0,999580
graviton;ip-172-31-19-57;avl-ticket;uniform;0,990000;4;65536;1000000;90;5;5;11813110;10631130;591323;590657;3937538;253,965794;2941347;2974423;0,988880
graviton;ip-172-31-19-57;avl-ticket;uniform;0,990000;8;65536;1000000;90;5;5;24290277;21862497;1215394;1212386;8096217;123,514467;3021491;3065682;0,985585
graviton;ip-172-31-19-57;avl-std;zipfian;0,990000;1;65536;1000000;20;40;40;3757453;752008;1502688;1502757;1252444;798,438651;0;0;1,000000
graviton;ip-172-31-19-57;avl-std;zipfian;0,990000;2;65536;1000000;20;40;40;7126766;1427023;2849675;2850068;2375530;420,958661;3562375;3564391;0,999434
graviton;ip-172-31-19-57;avl-std;zipfian;0,990000;4;65536;1000000;20;40;40;13460779;2693920;5382251;5384608;4486758;222,878074;3356869;3375537;0,994470
graviton;ip-172-31-19-57;avl-std;zipfian;0,990000;8;65536;1000000;20;40;40;21907911;4381480;8764062;8762369;7302186;136,945280;2730139;2757899;0,989934
graviton;ip-172-31-19-57;avl-tas;zipfian;0,990000;1;65536;1000000;20;40;40;4205706;841640;1682011;1682055;1401856;713,339725;0;0;1,000000
graviton;ip-172-31-19-57;avl-tas;zipfian;0,990000;2;65536;1000000;20;40;40;7949250;1591177;3178599;3179474;2649678;377,404216;3964990;3984260;0,995163
graviton;ip-172-31-19-57;avl-tas;zipfian;0,990000;4;65536;1000000;20;40;40;14810243;2963781;5922299;5924163;4936558;202,570277;3680102;3726580;0,987528
graviton;ip-172-31-19-57;avl-tas;zipfian;0,990000;8;65536;1000000;20;40;40;23562964;4713670;9424354;9424940;7853826;127,326471;2911608;2973826;0,979078
graviton;ip-172-31-19-57;avl-ttas;zipfian;0,990000;1;65536;1000000;20;40;40;4258386;852156;1703103;1703127;1419422;704,511882;0;0;1,000000
graviton;ip-172-31-19-57;avl-ttas;zipfian;0,990000;2;65536;1000000;20;40;40;8037803;1608843;3214072;3214888;2679186;373,247675;4018375;4019428;0,999738
graviton;ip-172-31-19-57;avl-ttas;zipfian;0,990000;4;65536;1000000;20;40;40;14544508;2910418;5816220;5817870;4847962;206,272214;3606220;3660558;0,985156
graviton;ip-172-31-19-57;avl-ttas;zipfian;0,990000;8;65536;1000000;20;40;40;24225248;4847232;9688153;9689863;8074584;123,845377;3006739;3060340;0,982485
graviton;ip-172-31-19-57;avl-cas;zipfian;0,990000;1;65536;1000000;20;40;40;4184705;837396;1673591;1673718;1394860;716,917620;0;0;1,000000
graviton;ip-172-31-19-57;avl-cas;zipfian;0,990000;2;65536;1000000;20;40;40;8000299;1601455;3199131;3199713;2666684;374,997423;3999143;4001156;0,999497
graviton;ip-172-31-19-57;avl-cas;zipfian;0,990000;4;65536;1000000;20;40;40;14452196;2892061;5779305;5780830;4817187;207,590018;3584880;3633267;0,986682
graviton;ip-172-31-19-57;avl-cas;zipfian;0,990000;8;65536;1000000;20;40;40;25674011;5137118;10267587;10269306;8557480;116,856829;3185626;3241779;0,982678
graviton;ip-172-31-19-57;avl-ticket;zipfian;0,990000;1;65536;1000000;20;40;40;3463574;693169;1385396;1385009;1154487;866,185552;0;0;1,000000
graviton;ip-172-31-19-57;avl-ticket;zipfian;0,990000;2;65536;1000000;20;40;40;5994551;1200500;2396069;2397982;1998109;500,473154;2993125;3001426;0,997234
graviton;ip-172-31-19-57;avl-ticket;zipfian;0,990000;4;65536;1000000;20;40;40;11481196;2297398;4591774;4592024;3826901;261,308010;2853272;2897880;0,984607
graviton;ip-172-31-19-57;avl-ticket;zipfian;0,990000;8;65536;1000000;20;40;40;19988984;3998013;7994618;7996353;6662557;150,092512;2474085;2528153;0,978614
