arch;hostname;lock;dist;zipf_theta;threads;buckets;key_range;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
graviton;ip-172-31-19-57;cds-std;uniform;0,990000;1;65536;1000000;80;10;10;9395992;7517230;939979;938783;3131898;319,295145;0;0;1,000000
graviton;ip-172-31-19-57;cds-std;uniform;0,990000;2;65536;1000000;80;10;10;19263030;15412276;1924668;1926086;6420828;155,743153;9576245;9686785;0,988589
graviton;ip-172-31-19-57;cds-std;uniform;0,990000;4;65536;1000000;80;10;10;40034697;32030633;4000465;4003599;13344366;74,937991;9991206;10020381;0,997088
graviton;ip-172-31-19-57;cds-std;uniform;0,990000;8;65536;1000000;80;10;10;85307147;68242750;8528871;8535526;28433841;35,169360;10610722;10742594;0,987724
graviton;ip-172-31-19-57;cds-tas;uniform;0,990000;1;65536;1000000;80;10;10;10350867;8281146;1035781;1033940;3450190;289,839028;0;0;1,000000
graviton;ip-172-31-19-57;cds-tas;uniform;0,990000;2;65536;1000000;80;10;10;21457765;17167958;2144604;2145203;7152347;139,814242;10664825;10792940;0,988130
graviton;ip-172-31-19-57;cds-tas;uniform;0,990000;4;65536;1000000;80;10;10;46010998;36811186;4597957;4601855;15336409;65,204312;11443478;11592594;0,987137
graviton;ip-172-31-19-57;cds-tas;uniform;0,990000;8;65536;1000000;80;10;10;92427069;73940862;9238179;9248028;30807071;32,460080;11414558;11708711;0,974877
graviton;ip-172-31-19-57;cds-ttas;uniform;0,990000;1;65536;1000000;80;10;10;10483493;8387222;1049078;1047193;3494398;286,172271;0;0;1,000000
graviton;ip-172-31-19-57;cds-ttas;uniform;0,990000;2;65536;1000000;80;10;10;23536690;18831500;2351950;2353240;7845338;127,464227;11692453;11844237;0,987185
graviton;ip-172-31-19-57;cds-ttas;uniform;0,990000;4;65536;1000000;80;10;10;49588184;39674099;4954751;4959334;16528730;60,500713;12378107;12419509;0,996666
graviton;ip-172-31-19-57;cds-ttas;uniform;0,990000;8;65536;1000000;80;10;10;98450796;78760264;9839999;9850533;32814847;30,474011;12191474;12441992;0,979865
graviton;ip-172-31-19-57;cds-cas;uniform;0,990000;1;65536;1000000;80;10;10;10385758;8308890;1039362;1037506;3461829;288,864641;0;0;1,000000
graviton;ip-172-31-19-57;cds-cas;uniform;0,990000;2;65536;1000000;80;10;10;21106245;16886709;2109517;2110019;7035259;142,141174;10544398;10561847;0,998348
graviton;ip-172-31-19-57;cds-cas;uniform;0,990000;4;65536;1000000;80;10;10;44570402;35658819;4453966;4457617;14856146;67,312208;11133306;11151260;0,998390
graviton;ip-172-31-19-57;cds-cas;uniform;0,990000;8;65536;1000000;80;10;10;97316037;77853013;9726533;9736491;32436459;30,829505;12087044;12260588;0,985845
graviton;ip-172-31-19-57;cds-ticket;uniform;0,990000;1;65536;1000000;80;10;10;10209101;8167795;1021470;1019836;3402931;293,864316;0;0;1,000000
graviton;ip-172-31-19-57;cds-ticket;uniform;0,990000;2;65536;1000000;80;10;10;20558104;16448548;2054379;2055177;6852490;145,932354;10270596;10287508;0,998356
graviton;ip-172-31-19-57;cds-ticket;uniform;0,990000;4;65536;1000000;80;10;10;43399335;34721609;4337217;4340509;14465804;69,128545;10807751;10955888;0,986479
graviton;ip-172-31-19-57;cds-ticket;uniform;0,990000;8;65536;1000000;80;10;10;92738298;74189860;9269740;9278698;30910538;32,351426;11515234;11654321;0,988066
graviton;ip-172-31-19-57;cds-std;zipfian;0,990000;1;65536;1000000;80;10;10;10784651;8628062;1079218;1077371;3594776;278,181445;0;0;1,000000
graviton;ip-172-31-19-57;cds-std;zipfian;0,990000;2;65536;1000000;80;10;10;20706702;16567396;2068941;2070365;6902023;144,885049;10344759;10361943;0,998342
graviton;ip-172-31-19-57;cds-std;zipfian;0,990000;4;65536;1000000;80;10;10;42656338;34127943;4263192;4265203;14218222;70,332278;10638712;10691416;0,995070
graviton;ip-172-31-19-57;cds-std;zipfian;0,990000;8;65536;1000000;80;10;10;91358986;73086512;9132124;9140350;30451133;32,839500;11305263;11552044;0,978637
graviton;ip-172-31-19-57;cds-tas;zipfian;0,990000;1;65536;1000000;80;10;10;11778600;9423206;1178433;1176961;3926111;254,704927;0;0;1,000000
graviton;ip-172-31-19-57;cds-tas;zipfian;0,990000;2;65536;1000000;80;10;10;23433289;18748130;2341845;2343314;7810857;128,026913;11713991;11719298;0,999547
graviton;ip-172-31-19-57;cds-tas;zipfian;0,990000;4;65536;1000000;80;10;10;49093453;39278411;4906029;4909013;16363754;61,110668;12253983;12288621;0,997181
graviton;ip-172-31-19-57;cds-tas;zipfian;0,990000;8;65536;1000000;80;10;10;95872878;76698739;9582446;9591693;31955452;31,293564;11920453;12085334;0,986357
graviton;ip-172-31-19-57;cds-ttas;zipfian;0,990000;1;65536;1000000;80;10;10;11241916;8993724;1125010;1123182;3747249;266,862412;0;0;1,000000
graviton;ip-172-31-19-57;cds-ttas;zipfian;0,990000;2;65536;1000000;80;10;10;22471039;17978312;2245913;2246814;7490124;133,509129;11175555;11295484;0,989383
graviton;ip-172-31-19-57;cds-ttas;zipfian;0,990000;4;65536;1000000;80;10;10;46672627;37340767;4664014;4667846;15556845;64,280382;11618312;11732619;0,990257
graviton;ip-172-31-19-57;cds-ttas;zipfian;0,990000;8;65536;1000000;80;10;10;84993378;67993535;8496130;8503713;28329229;35,299231;10504969;10776955;0,974762
graviton;ip-172-31-19-57;cds-cas;zipfian;0,990000;1;65536;1000000;80;10;10;11284409;9027697;1129217;1127495;3761398;265,858557;0;0;1,000000
