arch;hostname;lock;dist;zipf_theta;threads;buckets;key_range;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
graviton;ip-172-31-19-57;cds-std;uniform;0,990000;1;65536;1000000;80;10;10;9191023;7354834;917418;918771;3063576;326,415893;0;0;1,000000
graviton;ip-172-31-19-57;cds-std;uniform;0,990000;2;65536;1000000;80;10;10;18764082;15013519;1872603;1877960;6254496;159,884963;9381118;9382964;0,999803
graviton;ip-172-31-19-57;cds-std;uniform;0,990000;4;65536;1000000;80;10;10;40087078;32070519;4004281;4012278;13361767;74,840396;10004812;10034393;0,997052
graviton;ip-172-31-19-57;cds-std;uniform;0,990000;8;65536;1000000;80;10;10;88097955;70480957;8802864;8814134;29363896;34,055425;10951407;11122243;0,984640
graviton;ip-172-31-19-57;cds-tas;uniform;0,990000;1;65536;1000000;80;10;10;10579384;8465973;1055457;1057954;3526377;283,577097;0;0;1,000000
graviton;ip-172-31-19-57;cds-tas;uniform;0,990000;2;65536;1000000;80;10;10;21497055;17200911;2146122;2150022;7165472;139,558143;10740096;10756959;0,998432
graviton;ip-172-31-19-57;cds-tas;uniform;0,990000;4;65536;1000000;80;10;10;44649985;35721898;4460823;4467264;14882764;67,191820;11137496;11192752;0,995063
graviton;ip-172-31-19-57;cds-tas;uniform;0,990000;8;65536;1000000;80;10;10;104203474;83372390;10411631;10419453;34731395;28,792394;12921478;13147475;0,982811
graviton;ip-172-31-19-57;cds-ttas;uniform;0,990000;1;65536;1000000;80;10;10;10242842;8196319;1022146;1024377;3414177;292,896312;0;0;1,000000
graviton;ip-172-31-19-57;cds-ttas;uniform;0,990000;2;65536;1000000;80;10;10;21242535;16996623;2120416;2125496;7080694;141,229080;10619135;10623400;0,999599
graviton;ip-172-31-19-57;cds-ttas;uniform;0,990000;4;65536;1000000;80;10;10;46253510;37006315;4620547;4626648;15417147;64,862843;11525575;11605151;0,993143
graviton;ip-172-31-19-57;cds-ttas;uniform;0,990000;8;65536;1000000;80;10;10;95833525;76670115;9576415;9586995;31942331;31,306419;11910340;12076007;0,986281
graviton;ip-172-31-19-57;cds-cas;uniform;0,990000;1;65536;1000000;80;10;10;10189598;8153669;1016808;1019121;3396424;294,427232;0;0;1,000000
graviton;ip-172-31-19-57;cds-cas;uniform;0,990000;2;65536;1000000;80;10;10;22141957;17715697;2210551;2215709;7380424;135,493558;11061050;11080907;0,998208
graviton;ip-172-31-19-57;cds-cas;uniform;0,990000;4;65536;1000000;80;10;10;51705786;41370172;5165792;5169822;17234544;58,023001;12880638;12971039;0,993031
graviton;ip-172-31-19-57;cds-cas;uniform;0,990000;8;65536;1000000;80;10;10;100230319;80191150;10013410;10025759;33408050;29,932905;12399223;12686674;0,977342
graviton;ip-172-31-19-57;cds-ticket;uniform;0,990000;1;65536;1000000;80;10;10;10049496;8041563;1002837;1005096;3349728;298,531628;0;0;1,000000
graviton;ip-172-31-19-57;cds-ticket;uniform;0,990000;2;65536;1000000;80;10;10;20825200;16662424;2078504;2084272;6941511;144,060844;10409055;10416145;0,999319
graviton;ip-172-31-19-57;cds-ticket;uniform;0,990000;4;65536;1000000;80;10;10;44120406;35298280;4407656;4414470;14706195;67,998553;10999985;11050871;0,995395
graviton;ip-172-31-19-57;cds-ticket;uniform;0,990000;8;65536;1000000;80;10;10;90994760;72798403;9092758;9103599;30329470;32,971232;11284003;11480992;0,982842
graviton;ip-172-31-19-57;cds-std;zipfian;0,990000;1;65536;1000000;80;10;10;10579737;8465980;1055568;1058189;3526467;283,569906;0;0;1,000000
graviton;ip-172-31-19-57;cds-std;zipfian;0,990000;2;65536;1000000;80;10;10;20418869;16336615;2038150;2044104;6806087;146,927291;10208030;10210839;0,999725
graviton;ip-172-31-19-57;cds-std;zipfian;0,990000;4;65536;1000000;80;10;10;43216110;34573821;4317339;4324950;14404867;69,420976;10760652;10848474;0,991905
graviton;ip-172-31-19-57;cds-std;zipfian;0,990000;8;65536;1000000;80;10;10;81005059;64803676;8093777;8107606;26999987;37,037054;10064453;10232153;0,983610
graviton;ip-172-31-19-57;cds-tas;zipfian;0,990000;1;65536;1000000;80;10;10;11521522;9220812;1149049;1151661;3840398;260,389668;0;0;1,000000
graviton;ip-172-31-19-57;cds-tas;zipfian;0,990000;2;65536;1000000;80;10;10;22148643;17721699;2210807;2216137;7382649;135,452722;11070986;11077657;0,999398
graviton;ip-172-31-19-57;cds-tas;zipfian;0,990000;4;65536;1000000;80;10;10;48958971;39171561;4890353;4897057;16318847;61,278839;12196458;12282067;0,993030
graviton;ip-172-31-19-57;cds-tas;zipfian;0,990000;8;65536;1000000;80;10;10;96605785;77290062;9652535;9663188;32199206;31,056666;12022836;12179140;0,987166
graviton;ip-172-31-19-57;cds-ttas;zipfian;0,990000;1;65536;1000000;80;10;10;11407386;9129559;1137418;1140409;3802344;262,995637;0;0;1,000000
graviton;ip-172-31-19-57;cds-ttas;zipfian;0,990000;2;65536;1000000;80;10;10;22174129;17741829;2213518;2218782;7391124;135,297416;11081256;11092873;0,998953
graviton;ip-172-31-19-57;cds-ttas;zipfian;0,990000;4;65536;1000000;80;10;10;45084311;36070007;4504408;4509896;15027442;66,544924;11218173;11333632;0,989813
graviton;ip-172-31-19-57;cds-ttas;zipfian;0,990000;8;65536;1000000;80;10;10;84969077;67975491;8489987;8503599;28321177;35,309267;10553885;10723746;0,984160
graviton;ip-172-31-19-57;cds-cas;zipfian;0,990000;1;65536;1000000;80;10;10;11640535;9316037;1160768;1163730;3880062;257,727836;0;0;1,000000
graviton;ip-172-31-19-57;cds-cas;zipfian;0,990000;2;65536;1000000;80;10;10;24117358;19297528;2407764;2412066;8038856;124,395801;12057807;12059551;0,999855
graviton;ip-172-31-19-57;cds-cas;zipfian;0,990000;4;65536;1000000;80;10;10;47956677;38369944;4789966;4796767;15984894;62,559062;11939186;12039882;0,991636
graviton;ip-172-31-19-57;cds-cas;zipfian;0,990000;8;65536;1000000;80;10;10;95810608;76652217;9573951;9584440;31934770;31,313831;11897365;12063564;0,986223
graviton;ip-172-31-19-57;cds-ticket;zipfian;0,990000;1;65536;1000000;80;10;10;10545254;8438402;1051996;1054856;3514976;284,496941;0;0;1,000000
graviton;ip-172-31-19-57;cds-ticket;zipfian;0,990000;2;65536;1000000;80;10;10;21205385;16966419;2116688;2122278;7068262;141,477479;10598856;10606529;0,999277
graviton;ip-172-31-19-57;cds-ticket;zipfian;0,990000;4;65536;1000000;80;10;10;44944745;35958418;4490270;4496057;14980935;66,751507;11189977;11275289;0,992434
graviton;ip-172-31-19-57;cds-ticket;zipfian;0,990000;8;65536;1000000;80;10;10;87387962;69912562;8732159;8743241;29127357;34,331985;10874990;11022167;0,986647
graviton;ip-172-31-19-57;cds-std;uniform;0,990000;1;65536;1000000;90;5;5;9838060;8853716;492204;492140;3279253;304,947412;0;0;1,000000
graviton;ip-172-31-19-57;cds-std;uniform;0,990000;2;65536;1000000;90;5;5;20495835;18444267;1026398;1025170;6831723;146,375943;10244764;10251071;0,999385
graviton;ip-172-31-19-57;cds-std;uniform;0,990000;4;65536;1000000;90;5;5;48307364;43474978;2416339;2416047;16101962;62,104229;12027841;12119581;0,992430
graviton;ip-172-31-19-57;cds-std;uniform;0,990000;8;65536;1000000;90;5;5;104809065;94329611;5240291;5239163;34934049;28,625367;12948214;13281006;0,974942
graviton;ip-172-31-19-57;cds-tas;uniform;0,990000;1;65536;1000000;90;5;5;10743998;9669898;536945;537155;3581226;279,233946;0;0;1,000000
graviton;ip-172-31-19-57;cds-tas;uniform;0,990000;2;65536;1000000;90;5;5;22230897;20007663;1112084;1111150;7410118;134,950614;11101046;11129851;0,997412
graviton;ip-172-31-19-57;cds-tas;uniform;0,990000;4;65536;1000000;90;5;5;46566611;41908490;2329118;2329003;15521541;64,426589;11613990;11665655;0,995571
graviton;ip-172-31-19-57;cds-tas;uniform;0,990000;8;65536;1000000;90;5;5;107033455;96331792;5351504;5350159;35675219;28,030661;13248837;13530017;0,979218
graviton;ip-172-31-19-57;cds-ttas;uniform;0,990000;1;65536;1000000;90;5;5;10655841;9590426;532614;532801;3551836;281,544474;0;0;1,000000
graviton;ip-172-31-19-57;cds-ttas;uniform;0,990000;2;65536;1000000;90;5;5;21922232;19729300;1096909;1096023;7307163;136,852015;10953578;10968654;0,998626
graviton;ip-172-31-19-57;cds-ttas;uniform;0,990000;4;65536;1000000;90;5;5;47656922;42889954;2384194;2382774;15884985;62,952529;11880160;11950284;0,994132
graviton;ip-172-31-19-57;cds-ttas;uniform;0,990000;8;65536;1000000;90;5;5;109620715;98661350;5480581;5478784;36537887;27,368851;13590452;13863685;0,980291
graviton;ip-172-31-19-57;cds-cas;uniform;0,990000;1;65536;1000000;90;5;5;11177357;10060279;558598;558480;3725671;268,408020;0;0;1,000000
graviton;ip-172-31-19-57;cds-cas;uniform;0,990000;2;65536;1000000;90;5;5;21964908;19768470;1098931;1097507;7321428;136,585365;10970239;10994669;0,997778
graviton;ip-172-31-19-57;cds-cas;uniform;0,990000;4;65536;1000000;90;5;5;48149681;43333667;2408887;2407127;16049064;62,308928;12009880;12065092;0,995424
graviton;ip-172-31-19-57;cds-cas;uniform;0,990000;8;65536;1000000;90;5;5;102190300;91971323;5110863;5108114;34061284;29,358846;12711960;12880995;0,986877
graviton;ip-172-31-19-57;cds-ticket;uniform;0,990000;1;65536;1000000;90;5;5;10573835;9516629;528452;528754;3524501;283,728030;0;0;1,000000
graviton;ip-172-31-19-57;cds-ticket;uniform;0,990000;2;65536;1000000;90;5;5;21535956;19381347;1077633;1076976;7178430;139,306225;10762024;10773932;0,998895
graviton;ip-172-31-19-57;cds-ticket;uniform;0,990000;4;65536;1000000;90;5;5;46105986;41494315;2305830;2305841;15367987;65,070329;11479485;11553271;0,993613
graviton;ip-172-31-19-57;cds-ticket;uniform;0,990000;8;65536;1000000;90;5;5;102167296;91950128;5109843;5107325;34053415;29,365630;12634212;12917988;0,978032
graviton;ip-172-31-19-57;cds-std;zipfian;0,990000;1;65536;1000000;20;40;40;9822035;1964086;3930591;3927358;3273915;305,444688;0;0;1,000000
graviton;ip-172-31-19-57;cds-std;zipfian;0,990000;2;65536;1000000;20;40;40;18785538;3757455;7515206;7512877;6261648;159,702360;9390752;9394786;0,999571
graviton;ip-172-31-19-57;cds-std;zipfian;0,990000;4;65536;1000000;20;40;40;36703834;7342356;14683609;14677869;12234125;81,738576;9131597;9219837;0,990429
graviton;ip-172-31-19-57;cds-std;zipfian;0,990000;8;65536;1000000;20;40;40;53854193;10769633;21543829;21540731;17950280;55,709435;6703273;6780857;0,988558
graviton;ip-172-31-19-57;cds-tas;zipfian;0,990000;1;65536;1000000;20;40;40;10455276;2090373;4185607;4179296;3484987;286,945080;0;0;1,000000
graviton;ip-172-31-19-57;cds-tas;zipfian;0,990000;2;65536;1000000;20;40;40;19977517;3996767;7991610;7989140;6658972;150,173310;9988281;9989236;0,999904
graviton;ip-172-31-19-57;cds-tas;zipfian;0,990000;4;65536;1000000;20;40;40;38475317;7696736;15390659;15387922;12824509;77,975691;9586641;9651302;0,993300
graviton;ip-172-31-19-57;cds-tas;zipfian;0,990000;8;65536;1000000;20;40;40;54674838;10933797;21873823;21867218;18223703;54,873590;6790699;6888256;0,985837
graviton;ip-172-31-19-57;cds-ttas;zipfian;0,990000;1;65536;1000000;20;40;40;10454670;2090289;4185036;4179345;3484771;286,962881;0;0;1,000000
graviton;ip-172-31-19-57;cds-ttas;zipfian;0,990000;2;65536;1000000;20;40;40;19190112;3838430;7676287;7675395;6396465;156,336327;9594838;9595274;0,999955
