arch;hostname;lock;dist;zipf_theta;threads;buckets;key_range;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
graviton;ip-172-31-19-57;wh-default;uniform;0,990000;1;65536;1000000;80;10;10;9781292;7825135;978883;977274;3260331;306,717261;0;0;1,000000
graviton;ip-172-31-19-57;wh-default;uniform;0,990000;2;65536;1000000;80;10;10;21455509;17165635;2144570;2145304;7151613;139,828589;10710361;10745148;0,996763
graviton;ip-172-31-19-57;wh-default;uniform;0,990000;4;65536;1000000;80;10;10;44378231;35504801;4434959;4438471;14792142;67,603460;11056193;11144606;0,992067
graviton;ip-172-31-19-57;wh-default;uniform;0,990000;8;65536;1000000;80;10;10;91908763;73526785;9186383;9195595;30634262;32,643188;11423810;11545241;0,989482
graviton;ip-172-31-19-57;wh-rw;uniform;0,990000;1;65536;1000000;80;10;10;9554774;7644158;956022;954594;3184821;313,989334;0;0;1,000000
graviton;ip-172-31-19-57;wh-rw;uniform;0,990000;2;65536;1000000;80;10;10;20127905;16104022;2011415;2012468;6709102;149,051235;9975755;10152150;0,982625
graviton;ip-172-31-19-57;wh-rw;uniform;0,990000;4;65536;1000000;80;10;10;43151843;34523151;4312939;4315753;14383375;69,524707;10743401;10831366;0,991879
graviton;ip-172-31-19-57;wh-rw;uniform;0,990000;8;65536;1000000;80;10;10;91287656;73029896;9124325;9133435;30427211;32,865319;11341792;11464564;0,989291
graviton;ip-172-31-19-57;wh-tas;uniform;0,990000;1;65536;1000000;80;10;10;9999023;7999408;1000586;999029;3332898;300,039139;0;0;1,000000
graviton;ip-172-31-19-57;wh-tas;uniform;0,990000;2;65536;1000000;80;10;10;21605785;17286172;2159462;2160151;7201687;138,856337;10801854;10803931;0,999808
graviton;ip-172-31-19-57;wh-tas;uniform;0,990000;4;65536;1000000;80;10;10;45823687;36661247;4579326;4583114;15273867;65,471304;11405283;11509125;0,990977
graviton;ip-172-31-19-57;wh-tas;uniform;0,990000;8;65536;1000000;80;10;10;94992816;75994273;9494627;9503916;31662233;31,583368;11789965;11979392;0,984187
graviton;ip-172-31-19-57;wh-ttas;uniform;0,990000;1;65536;1000000;80;10;10;9862097;7889831;986906;985360;3287265;304,204222;0;0;1,000000
