lock,workload,threads,cs_work,read_pct,seconds,total_ops,read_ops,write_ops,ops_s,ns_op,fairness_min,fairness_max,fairness_ratio
tas,mutex,1,0,100,3.00503,2919367233,0,2919367233,971492462,1.02934,0,0,1
tas,mutex,2,0,100,3.00505,355917921,0,355917921,118440003,8.44309,132829030,223088891,0.595409
tas,mutex,4,0,100,3.00504,97526805,0,97526805,32454367,30.8125,21062512,26601518,0.791779
tas,mutex,8,0,100,3.00154,12028983,0,12028983,4007605,249.526,1485178,1534107,0.968106
ttas,mutex,1,0,100,3.00504,2868828640,0,2868828640,954673647,1.04748,0,0,1
ttas,mutex,2,0,100,3.00506,412732630,0,412732630,137346065,7.28088,194248521,218484109,0.889074
ttas,mutex,4,0,100,3.00508,171889768,0,171889768,57199689,17.4826,36303752,48504203,0.748466
ttas,mutex,8,0,100,3.00507,37993502,0,37993502,12643132,79.0943,3200126,6514859,0.491204
cas,mutex,1,0,100,3.00504,2464620509,0,2464620509,820161171,1.21927,0,0,1
cas,mutex,2,0,100,3.00504,457554030,0,457554030,152262015,6.56763,163189981,294364049,0.554381
cas,mutex,4,0,100,3.00504,157724752,0,157724752,52486732,19.0524,10036419,63955047,0.156929
cas,mutex,8,0,100,3.00507,71584962,0,71584962,23821424,41.979,6602601,13591610,0.485785
ticket,mutex,1,0,100,3.00504,1568644847,0,1568644847,522004611,1.91569,0,0,1
ticket,mutex,2,0,100,3.00505,58432259,0,58432259,19444716,51.4279,28803272,29628987,0.972132
ticket,mutex,4,0,100,3.00504,31330288,0,31330288,10425914,95.9148,7832070,7833196,0.999856
ticket,mutex,8,0,100,3.00117,13515563,0,13515563,4503435,222.053,1689428,1689460,0.999981
rw,mutex,1,0,100,3.00504,2518464036,0,2518464036,838079073,1.1932,0,0,1
rw,mutex,2,0,100,3.00504,446237270,0,446237270,148496035,6.73419,157664770,288572500,0.546361
rw,mutex,4,0,100,3.00504,103132221,0,103132221,34319775,29.1377,20454518,30335299,0.674281
rw,mutex,8,0,100,3.00147,21580241,0,21580241,7189883,139.084,2585114,2809066,0.920275
occ,mutex,1,0,100,3.00504,859274959,0,859274959,285944528,3.49718,0,0,1
occ,mutex,2,0,100,3.00505,243605199,0,243605199,81065258,12.3357,107644700,135960499,0.791735
occ,mutex,4,0,100,3.00504,126102682,0,126102682,41963756,23.8301,7890951,84060744,0.093872
occ,mutex,8,0,100,3.00507,30852487,0,30852487,10266819,97.4011,3514083,4238412,0.829104
rw,rw,1,0,80,3.00504,311868742,249484325,62384417,103781767,9.6356,0,0,1
rw,rw,2,0,80,3.00504,87358078,69898128,17459950,29070472,34.3992,42591136,44766942,0.951397
rw,rw,4,0,80,3.00504,44396717,35513445,8883272,14774071,67.6861,10066358,11658058,0.863468
rw,rw,8,0,80,3.00022,13100686,10481472,2619214,4366576,229.012,1608978,1659696,0.969441
occ,rw,1,0,80,3.00503,315062433,252039045,63023388,104845009,9.53789,0,0,1
occ,rw,2,0,80,3.00505,138672187,110938477,27733710,46146432,21.6701,67695717,70976470,0.953777
occ,rw,4,0,80,3.00504,108611283,86888111,21723172,36143072,27.6678,26056912,28043933,0.929146
occ,rw,8,0,80,3.00506,33361191,26692692,6668499,11101657,90.0766,4001636,4287896,0.93324
rw,rw,1,0,95,3.00504,379184757,360222795,18961962,126182788,7.92501,0,0,1
rw,rw,2,0,95,3.00504,87897192,83502759,4394433,29249883,34.1882,40159776,47737416,0.841264
rw,rw,4,0,95,3.00504,52464625,49839207,2625418,17458878,57.2774,12651728,13645903,0.927145
rw,rw,8,0,95,3.00132,13184843,12526652,658191,4393012,227.634,1598775,1686158,0.948176
occ,rw,1,0,95,3.00503,376814733,357970908,18843825,125394629,7.97482,0,0,1
occ,rw,2,0,95,3.00504,223767785,212576099,11191686,74464045,13.4293,110082448,113685337,0.968308
occ,rw,4,0,95,3.00504,195172998,185411848,9761150,64948554,15.3968,48096543,49616413,0.969368
occ,rw,8,0,95,3.00057,98012806,93110698,4902108,32664741,30.614,12060407,12514975,0.963678
rcu,rcu,1,0,90,3.00504,289629125,260663797,28965328,96381063,10.3755,0,0,1
rcu,rcu,2,0,90,3.00503,143686788,129317762,14369026,47815414,20.9138,71091150,72595638,0.979276
rcu,rcu,4,0,90,3.00503,109316172,98385327,10930845,36377696,27.4894,11356842,37538196,0.302541
rcu,rcu,8,0,90,3.00179,36425842,32787651,3638191,12134723,82.4081,3759324,4986031,0.753971
ttas,mutex,4,0,100,3.00503,172784790,0,172784790,57498483,17.3918,18443290,55382778,0.333015
ttas,mutex,4,50,100,3.00504,99918176,0,99918176,33250243,30.075,10393929,37570281,0.276653
ttas,mutex,4,100,100,3.00504,49629345,0,49629345,16515380,60.5496,386208,21912069,0.0176254
ttas,mutex,4,500,100,3.00503,19692711,0,19692711,6553242,152.596,1,19692708,5.07802e-08
ttas,mutex,4,1000,100,3.00503,10334414,0,10334414,3439037,290.779,196924,4737940,0.0415632
ttas,mutex,4,5000,100,3.00504,2152148,0,2152148,716179,1396.3,1,1827451,5.4721e-07
