lock;workload;threads;cs_work;read_pct;n;ops_s_median;ops_s_mean;ops_s_p25;ops_s_p75;ops_s_min;ops_s_max;ops_s_cov_pct;ns_op_median;ns_op_mean;ns_op_p25;ns_op_p75;ns_op_min;ns_op_max;ns_op_cov_pct;fairness_ratio_median;fairness_ratio_mean;fairness_ratio_p25;fairness_ratio_p75;fairness_ratio_min;fairness_ratio_max;fairness_ratio_cov_pct
cas;mutex;1;0;100;5;1,02211e+08;1,00676e+08;9,78785e+07;1,02707e+08;9,78649e+07;1,0304e+08;2,55564;9,7837;9,93806;9,73655;10,2168;9,70496;10,2182;2,57712;1;1;1;1;1;1;0
cas;mutex;16;0;100;5;2,71277e+06;2,73763e+06;2,59996e+06;2,88772e+06;2,58854e+06;2,95695e+06;5,58244;368,627;366,174;346,492;384,628;338,186;386,318;5,47134;0,499467;0,580047;0,452333;0,74805;0,438656;0,763796;26,7685
cas;mutex;2;0;100;5;2,06788e+07;2,02535e+07;1,85699e+07;2,17245e+07;1,85571e+07;2,21752e+07;8,03134;48,3588;49,6323;46,0509;53,8505;45,0955;53,8878;8,10258;0,212092;0,262842;0,157367;0,393692;0,132544;0,57452;67,4435
cas;mutex;32;0;100;5;2,09106e+06;2,05347e+06;1,87264e+06;2,2155e+06;1,87033e+06;2,226e+06;8,41906;478,227;489,798;451,375;534,007;449,237;534,664;8,54417;0,351747;0,391343;0,318603;0,48388;0,300471;0,499758;22,2906
cas;mutex;4;0;100;5;6,30648e+06;6,46524e+06;6,04086e+06;6,969e+06;5,9489e+06;7,27587e+06;8,10445;158,567;155,453;143,771;165,578;137,441;168,098;7,74944;0,491512;0,523405;0,424203;0,638553;0,389393;0,64448;21,299
cas;mutex;6;0;100;5;4,78901e+06;4,78235e+06;4,75209e+06;4,80929e+06;4,73152e+06;4,82403e+06;0,709701;208,811;209,11;207,933;210,438;207,295;211,348;0,711609;0,468931;0,449732;0,337494;0,552371;0,333003;0,601319;25,2216
cas;mutex;8;0;100;5;3,99238e+06;3,971e+06;3,73114e+06;4,20018e+06;3,63848e+06;4,32268e+06;6,51538;250,477;252,683;238,288;268,18;231,338;274,84;6,51778;0,446543;0,46559;0,424941;0,515763;0,421468;0,564178;12,438
occ;mutex;1;0;100;5;5,16205e+07;5,15904e+07;5,14777e+07;5,16881e+07;5,14472e+07;5,17194e+07;0,215007;19,3722;19,3835;19,3468;19,4259;19,3351;19,4374;0,215095;1;1;1;1;1;1;0
occ;mutex;16;0;100;5;2,31718e+06;2,31605e+06;2,30682e+06;2,32471e+06;2,30066e+06;2,32493e+06;0,430479;431,56;431,776;430,161;433,499;430,12;434,658;0,431587;0,220646;0,215765;0,121867;0,307223;0,094714;0,359786;47,1434
occ;mutex;2;0;100;5;1,43552e+07;1,38962e+07;1,25207e+07;1,50423e+07;1,16542e+07;1,52826e+07;10,3278;69,6612;72,6316;66,4962;80,2523;65,4338;85,8059;11,1896;0,215617;0,346206;0,189117;0,568589;0,176625;0,886585;87,5958
occ;mutex;32;0;100;5;1,55595e+06;1,57119e+06;1,46212e+06;1,68787e+06;1,39534e+06;1,70062e+06;7,82735;642,695;639,685;592,495;685,368;588,021;716,67;8,06122;0,022018;0,0303178;0,016956;0,0478295;0,015489;0,073632;80,374
occ;mutex;4;0;100;5;4,88922e+06;4,81587e+06;4,61985e+06;4,9752e+06;4,58746e+06;4,99494e+06;3,82716;204,531;207,893;201;216,468;200,203;217,986;3,8726;0,704737;0,699408;0,666533;0,729618;0,647673;0,739075;5,00703
occ;mutex;6;0;100;5;3,7996e+06;3,81887e+06;3,71061e+06;3,93676e+06;3,70781e+06;3,96748e+06;3,02865;263,185;262,049;254,032;269,497;252,049;269,701;3,00933;0,592551;0,606763;0,507993;0,712638;0,433754;0,75467;19,62
occ;mutex;8;0;100;5;3,26566e+06;3,09559e+06;2,76408e+06;3,34207e+06;2,57855e+06;3,38901e+06;10,7563;306,216;326,322;299,275;363,422;295,071;387,815;11,7148;0,495839;0,456658;0,257417;0,636308;0,054493;0,683916;52,7796
occ;rw;1;0;0;5;4,89419e+07;4,89387e+07;4,89052e+07;4,89706e+07;4,8897e+07;4,89869e+07;0,0719671;20,4324;20,4337;20,4204;20,4477;20,4136;20,4511;0,0719595;1;1;1;1;1;1;0
occ;rw;1;0;100;5;1,28833e+08;1,28738e+08;1,28375e+08;1,29054e+08;1,28125e+08;1,29056e+08;0,300118;7,76199;7,76777;7,7487;7,78972;7,7486;7,80488;0,300773;1;1;1;1;1;1;0
occ;rw;1;0;50;5;6,21243e+07;6,16442e+07;6,08617e+07;6,21866e+07;6,05552e+07;6,22151e+07;1,21205;16,0968;16,224;16,0806;16,4311;16,0733;16,5139;1,22068;1;1;1;1;1;1;0
occ;rw;16;0;0;5;1,66395e+06;1,56009e+06;1,13287e+06;1,93539e+06;1,10708e+06;2,11392e+06;27,2439;600,979;681,916;521,127;883,174;473,055;903,274;27,8913;0,540932;0,611207;0,458106;0,799445;0,386387;0,803056;29,8336
occ;rw;16;0;100;5;1,80894e+09;1,80903e+09;1,80675e+09;1,81135e+09;1,80587e+09;1,81197e+09;0,133961;0,552809;0,552784;0,552074;0,553481;0,551887;0,553748;0,133946;0,945919;0,945249;0,941744;0,948418;0,941226;0,95055;0,391308
occ;rw;16;0;50;5;1,93147e+06;2,20802e+06;1,90584e+06;2,64847e+06;1,90266e+06;2,70303e+06;18,2999;517,739;464,525;377,737;524,705;369,955;525,58;17,1079;0,761688;0,764382;0,706526;0,823584;0,695187;0,835621;7,81084
occ;rw;2;0;0;5;6,29098e+06;6,30003e+06;6,20813e+06;6,39646e+06;6,19378e+06;6,40267e+06;1,50712;158,958;158,758;156,337;161,08;156,185;161,452;1,50627;0,386653;0,39309;0,348019;0,44138;0,344479;0,47814;13,6379
occ;rw;2;0;100;5;2,57733e+08;2,57778e+08;2,571e+08;2,5848e+08;2,56979e+08;2,58624e+08;0,272833;3,87998;3,87932;3,86877;3,88954;3,86662;3,89138;0,272781;0,995349;0,994574;0,990507;0,998253;0,98939;0,998412;0,399973
occ;rw;2;0;50;5;7,56646e+06;7,65423e+06;7,41432e+06;7,93802e+06;7,34638e+06;8,00255e+06;3,58657;132,162;130,78;125,984;134,886;124,96;136,121;3,56136;0,240099;0,33213;0,196628;0,513647;0,190399;0,663217;59,4425
occ;rw;32;0;0;5;1,34832e+06;1,32037e+06;1,25179e+06;1,37498e+06;1,24033e+06;1,3955e+06;4,9744;741,666;758,88;727,446;798,922;716,59;806,236;5,02723;0,150851;0,153054;0,122117;0,185093;0,109837;0,197208;22,0773
occ;rw;32;0;100;5;2,59205e+09;2,59136e+09;2,58688e+09;2,5955e+09;2,58492e+09;2,59567e+09;0,175365;0,385795;0,385899;0,385282;0,386567;0,385257;0,386859;0,175491;0,471758;0,471733;0,471616;0,471837;0,471551;0,471874;0,026118
occ;rw;32;0;50;5;1,57836e+06;1,5459e+06;1,43197e+06;1,64359e+06;1,42834e+06;1,66338e+06;7,00506;633,568;649,455;608,513;698,341;601,185;700,113;7,09716;0,537794;0,525437;0,47102;0,573676;0,439875;0,592824;11,0164
occ;rw;4;0;0;5;3,27658e+06;3,18731e+06;2,89562e+06;3,43436e+06;2,86265e+06;3,58492e+06;9,25035;305,196;315,891;291,735;345,394;278,946;349,327;9,20258;0,75869;0,781643;0,707758;0,867004;0,67834;0,940104;12,5409
occ;rw;4;0;100;5;4,96898e+08;4,96662e+08;4,94827e+08;4,98379e+08;4,94701e+08;4,989e+08;0,366543;2,01248;2,01346;2,00651;2,02091;2,00441;2,02142;0,366534;0,956061;0,955859;0,954867;0,95675;0,95388;0,957432;0,133113
occ;rw;4;0;50;5;4,14676e+06;4,12227e+06;3,70448e+06;4,52781e+06;3,57276e+06;4,61229e+06;10,3461;241,152;244,718;220,934;270,285;216,812;279,895;10,5576;0,684398;0,704211;0,628131;0,790197;0,617762;0,790643;11,6606
occ;rw;6;0;0;5;2,79135e+06;2,88707e+06;2,75868e+06;3,06331e+06;2,7432e+06;3,16276e+06;6,11101;358,25;347,366;326,788;362,503;316,18;364,537;5,85918;0,650327;0,66472;0,642732;0,693905;0,642217;0,725314;5,23912
occ;rw;6;0;100;5;7,27405e+08;7,27124e+08;7,26186e+08;7,27923e+08;7,26096e+08;7,28374e+08;0,129342;1,37475;1,37528;1,37377;1,37706;1,37292;1,37723;0,12934;0,985337;0,985337;0,984035;0,986638;0,983408;0,987474;0,151891
occ;rw;6;0;50;5;3,89123e+06;3,62661e+06;3,11107e+06;4,00985e+06;2,95378e+06;4,10274e+06;13,523;256,988;280,108;249,52;322,257;243,739;338,549;14,4538;0,855494;0,809121;0,684319;0,910736;0,6515;0,911051;14,6375
occ;rw;8;0;0;5;2,5126e+06;2,49449e+06;2,46137e+06;2,51855e+06;2,42749e+06;2,52203e+06;1,5526;397,994;400,963;397,055;406,355;396,506;411,949;1,58074;0,532367;0,58871;0,503215;0,702376;0,487039;0,710399;17,873
occ;rw;8;0;100;5;9,55542e+08;9,55579e+08;9,55124e+08;9,56053e+08;9,54966e+08;9,56382e+08;0,0556553;1,04653;1,04649;1,04597;1,04698;1,04561;1,04716;0,0556237;0,978255;0,977706;0,975766;0,97937;0,975396;0,979879;0,192407
occ;rw;8;0;50;5;2,86814e+06;2,88168e+06;2,80625e+06;2,96387e+06;2,77156e+06;3,00697e+06;3,06449;348,658;347,28;337,468;356,401;332,561;360,808;3,04682;0,707225;0,708421;0,68574;0,731699;0,672607;0,743327;3,68733
rcu;rcu;1;0;0;5;2,94954e+07;2,94818e+07;2,94426e+07;2,95143e+07;2,94404e+07;2,95208e+07;0,125399;33,9036;33,9193;33,8819;33,9644;33,8745;33,9669;0,125433;1;1;1;1;1;1;0
rcu;rcu;1;0;100;5;1,35638e+08;1,35545e+08;1,35329e+08;1,35713e+08;1,35281e+08;1,35772e+08;0,152093;7,37258;7,37766;7,36847;7,38938;7,36528;7,39205;0,152155;1;1;1;1;1;1;0
rcu;rcu;1;0;50;5;4,00795e+07;4,00291e+07;3,99196e+07;4,01134e+07;3,98877e+07;4,01189e+07;0,258516;24,9504;24,982;24,9293;25,0504;24,9259;25,0704;0,258811;1;1;1;1;1;1;0
rcu;rcu;16;0;0;5;2,13262e+06;2,14783e+06;2,123e+06;2,18027e+06;2,11893e+06;2,20396e+06;1,60014;468,907;465,68;458,712;471,034;453,729;471,936;1,57847;0,140267;0,152247;0,120653;0,18983;0,116423;0,197165;23,4724
