lock,workload,threads,cs_work,read_pct,seconds,total_ops,read_ops,write_ops,ops_s,ns_op,fairness_min,fairness_max,fairness_ratio
tas,mutex,1,0,100,3.00504,2990008477,0,2990008477,994996571,1.00503,0,0,1
tas,mutex,2,0,100,3.00505,334426909,0,334426909,111288359,8.98567,150910188,183516721,0.822324
tas,mutex,4,0,100,3.00504,97374121,0,97374121,32403602,30.8608,20058725,27300640,0.734735
tas,mutex,8,0,100,3.00083,12666089,0,12666089,4220861,236.918,1555981,1617172,0.962162
ttas,mutex,1,0,100,3.00504,2833882422,0,2833882422,943042298,1.0604,0,0,1
ttas,mutex,2,0,100,3.00505,354280448,0,354280448,117895215,8.48211,53384811,300895637,0.17742
ttas,mutex,4,0,100,3.00504,166780207,0,166780207,55500241,18.0179,32998106,58858562,0.560634
ttas,mutex,8,0,100,3.00131,33964450,0,33964450,11316527,88.3663,3965415,4387964,0.903703
cas,mutex,1,0,100,3.00503,2519022508,0,2519022508,838268730,1.19293,0,0,1
cas,mutex,2,0,100,3.00505,457429554,0,457429554,152220358,6.56942,165837984,291591570,0.568734
cas,mutex,4,0,100,3.00504,168397266,0,168397266,56038234,17.845,22006335,58407239,0.376774
cas,mutex,8,0,100,3.00015,48141986,0,48141986,16046513,62.3188,5519651,6639890,0.831287
ticket,mutex,1,0,100,3.00503,1585539407,0,1585539407,527627966,1.89527,0,0,1
ticket,mutex,2,0,100,3.00504,58736179,0,58736179,19545866,51.1617,29293818,29442361,0.994955
ticket,mutex,4,0,100,3.00506,31066636,0,31066636,10338108,96.7295,7766219,7767034,0.999895
ticket,mutex,8,0,100,3.00507,13161570,0,13161570,4379791,228.321,1645179,1645217,0.999977
rw,mutex,1,0,100,3.00503,2510582871,0,2510582871,835460180,1.19695,0,0,1
rw,mutex,2,0,100,3.00504,463526932,0,463526932,154250042,6.48298,216217068,247309864,0.874276
rw,mutex,4,0,100,3.00433,104296361,0,104296361,34715320,28.8057,24710269,26722087,0.924713
rw,mutex,8,0,100,3.00055,19986159,0,19986159,6660838,150.131,2434232,2547139,0.955673
occ,mutex,1,0,100,3.00503,853097727,0,853097727,283890183,3.52249,0,0,1
occ,mutex,2,0,100,3.00504,255445268,0,255445268,85005670,11.7639,47187807,208257461,0.226584
occ,mutex,4,0,100,3.00178,126504907,0,126504907,42143333,23.7285,13468448,60416791,0.222926
occ,mutex,8,0,100,3.00441,25526349,0,25526349,8496281,117.699,2680500,3706964,0.723098
rw,rw,1,0,80,3.00505,296048054,236825267,59222787,98516864,10.1505,0,0,1
rw,rw,2,0,80,3.00505,91159384,72936239,18223145,30335404,32.9648,44284656,46874728,0.944745
rw,rw,4,0,80,3.00505,44193041,35351196,8841845,14706267,67.9982,9630601,12013567,0.801644
rw,rw,8,0,80,3.00507,13251902,10602675,2649227,4409845,226.765,1621148,1689198,0.959715
occ,rw,1,0,80,3.00503,312120714,249684942,62435772,103866061,9.62778,0,0,1
occ,rw,2,0,80,3.00504,144567995,115655032,28912963,48108558,20.7863,71833128,72734867,0.987602
occ,rw,4,0,80,3.00504,107846468,86277043,21569425,35888518,27.8641,25976714,28142871,0.92303
occ,rw,8,0,80,3.00421,31526569,25224412,6302157,10494136,95.2913,3877541,3985868,0.972822
rw,rw,1,0,95,3.00505,377803281,358910177,18893104,125722980,7.954,0,0,1
rw,rw,2,0,95,3.00504,89588094,85109839,4478255,29812605,33.5429,44727678,44860416,0.997041
rw,rw,4,0,95,3.00504,52520808,49892870,2627938,17477546,57.2163,13030622,13187194,0.988127
rw,rw,8,0,95,3.00507,12663757,12031432,632325,4214132,237.297,1568587,1601410,0.979504
occ,rw,1,0,95,3.00505,376223881,357410131,18813750,125197395,7.98739,0,0,1
occ,rw,2,0,95,3.00495,249186541,236725238,12461303,82925325,12.059,116970169,132216372,0.884687
occ,rw,4,0,95,3.00504,195790472,185998658,9791814,65153926,15.3483,48000994,49901775,0.96191
occ,rw,8,0,95,3.00182,98987031,94035794,4951237,32975621,30.3254,12242857,12624515,0.969769
rcu,rcu,1,0,90,3.00504,288242298,259414951,28827347,95919574,10.4254,0,0,1
rcu,rcu,2,0,90,3.00505,148147242,133330454,14816788,49299356,20.2842,73767025,74380217,0.991756
rcu,rcu,4,0,90,3.00419,108024425,97220884,10803541,35957915,27.8103,17559320,32121101,0.54666
rcu,rcu,8,0,90,3.00052,36560264,32908115,3652149,12184634,82.0706,3738774,4999278,0.747863
ttas,mutex,4,0,100,3.00504,170332107,0,170332107,56682051,17.6423,28285866,53887582,0.524905
ttas,mutex,4,50,100,3.00504,99463134,0,99463134,33098772,30.2126,13314150,49188142,0.270678
ttas,mutex,4,100,100,3.00504,49683853,0,49683853,16533498,60.4833,5897048,22131063,0.26646
ttas,mutex,4,500,100,3.00505,19632036,0,19632036,6533023,153.068,874080,9464429,0.0923542
ttas,mutex,4,1000,100,3.00504,10316112,0,10316112,3432937,291.296,35670,5487678,0.00650002
ttas,mutex,4,5000,100,3.00504,2149537,0,2149537,715310,1397.99,1,1272682,7.85742e-07
