lock;workload;threads;cs_work;read_pct;total_ops;read_ops;write_ops;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
tas;mutex;1;0;100;2949287052;0;2949287052;981448458;1,0189;0;0;1
tas;mutex;2;0;100;351487533;0;351487533;116965205;8,54955;146386949;205100584;0,713732
tas;mutex;4;0;100;98954598;0;98954598;32929540;30,3679;22186857;27241680;0,814445
tas;mutex;8;0;100;10936347;0;10936347;3644360;274,397;1327762;1409392;0,942081
ttas;mutex;1;0;100;2904159608;0;2904159608;966427711;1,03474;0;0;1
ttas;mutex;2;0;100;451431784;0;451431784;150224296;6,65671;90470750;360961034;0,250639
ttas;mutex;4;0;100;172665574;0;172665574;57458585;17,4038;34664759;51957979;0,667169
ttas;mutex;8;0;100;33257314;0;33257314;11074428;90,2981;3842586;4532999;0,847692
cas;mutex;1;0;100;2463087927;0;2463087927;819650542;1,22003;0;0;1
cas;mutex;2;0;100;525513600;0;525513600;174877575;5,71829;222279278;303234322;0,733028
cas;mutex;4;0;100;163839232;0;163839232;54521391;18,3414;18464898;56511159;0,326748
cas;mutex;8;0;100;72541325;0;72541325;24139742;41,4255;6341888;16457388;0,385352
ticket;mutex;1;0;100;1593765967;0;1593765967;530363729;1,8855;0;0;1
ticket;mutex;2;0;100;57768831;0;57768831;19223948;52,0184;28500848;29267983;0,973789
ticket;mutex;4;0;100;31426795;0;31426795;10458018;95,6204;7856495;7857120;0,99992
ticket;mutex;8;0;100;13403029;0;13403029;4464783;223,975;1675355;1675401;0,999973
rw;mutex;1;0;100;2418056935;0;2418056935;804667494;1,24275;0;0;1
rw;mutex;2;0;100;429755196;0;429755196;143011429;6,99245;115657194;314098002;0,36822
rw;mutex;4;0;100;103985106;0;103985106;34603601;28,8987;21713614;32485868;0,668402
rw;mutex;8;0;100;21557675;0;21557675;7181862;139,24;2630161;2761906;0,952299
occ;mutex;1;0;100;859149493;0;859149493;285902427;3,4977;0;0;1
occ;mutex;2;0;100;233093976;0;233093976;77567538;12,892;92503287;140590689;0,657962
occ;mutex;4;0;100;125588790;0;125588790;41792691;23,9276;5746025;75473703;0,0761328
occ;mutex;8;0;100;31323006;0;31323006;10423409;95,9379;3493884;4200933;0,831692
rw;rw;1;0;80;296678555;237330440;59348115;98727144;10,1289;0;0;1
rw;rw;2;0;80;83124674;66509926;16614748;27661721;36,151;41423955;41700719;0,993363
rw;rw;4;0;80;44139879;35308856;8831023;14688594;68,08;10212918;11763585;0,868181
rw;rw;8;0;80;13093386;10475718;2617668;4357108;229,51;1592227;1664151;0,95678
occ;rw;1;0;80;290000406;231988312;58012094;96505050;10,3622;0;0;1
occ;rw;2;0;80;145316418;116255300;29061118;48357713;20,6792;72577011;72739407;0,997767
occ;rw;4;0;80;108201150;86560535;21640615;36006533;27,7727;26114741;28049039;0,931039
occ;rw;8;0;80;31217259;24976702;6240557;10388226;96,2628;3822921;4005767;0,954354
rw;rw;1;0;95;356955399;339103912;17851487;118785362;8,41855;0;0;1
rw;rw;2;0;95;90009601;85510512;4499089;29952942;33,3857;44553636;45455965;0,980149
rw;rw;4;0;95;54171566;51461026;2710540;18026945;55,4725;13034732;13964262;0,933435
rw;rw;8;0;95;13235593;12574628;660965;4405996;226,963;1600589;1696094;0,943691
occ;rw;1;0;95;355154822;337393598;17761224;118186603;8,4612;0;0;1
occ;rw;2;0;95;234080441;222374915;11705526;77896084;12,8376;114345957;119734484;0,954996
occ;rw;4;0;95;195987462;186185502;9801960;65219516;15,3328;48647708;49409489;0,984582
occ;rw;8;0;95;98093480;93187245;4906235;32688600;30,5917;12085683;12394411;0,975091
rcu;rcu;1;0;90;315731379;284155343;31576036;105067189;9,51772;0;0;1
rcu;rcu;2;0;90;141091014;126982160;14108854;46951376;21,2986;70367295;70723719;0,99496
rcu;rcu;4;0;90;108988126;98086779;10901347;36268428;27,5722;22462700;33870847;0,663187
rcu;rcu;8;0;90;36606728;32950650;3656078;12198697;81,976;3676138;5165987;0,711604
ttas;mutex;4;0;100;159955208;0;159955208;53228925;18,7868;29845482;54069377;0,551985
ttas;mutex;4;50;100;99608505;0;99608505;33147207;30,1685;9608078;40637561;0,236433
ttas;mutex;4;100;100;50016476;0;50016476;16644206;60,081;3884200;32020676;0,121303
ttas;mutex;4;500;100;19639413;0;19639413;6535428;153,012;1209599;10767270;0,11234
ttas;mutex;4;1000;100;10321766;0;10321766;3434813;291,137;415105;3506325;0,118387
ttas;mutex;4;5000;100;2151582;0;2151582;715990;1396,67;1;1971402;5,07253e-07
