lock;workload;threads;cs_work;read_pct;total_ops;read_ops;write_ops;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
tas;mutex;1;0;100;341230396;0;341230396;113734157;8,79243;0;0;1
tas;mutex;2;0;100;66904057;0;66904057;22299754;44,8435;31506147;35397910;0,890057
tas;mutex;4;0;100;20536824;0;20536824;6844856;146,095;3214777;7802287;0,41203
tas;mutex;8;0;100;7828995;0;7828995;2609154;383,266;708055;1440485;0,491539
ttas;mutex;1;0;100;345937136;0;345937136;115302077;8,67287;0;0;1
ttas;mutex;2;0;100;72816473;0;72816473;24269898;41,2033;33271982;39544491;0,841381
ttas;mutex;4;0;100;19686027;0;19686027;6561316;152,408;3057910;6967301;0,438894
ttas;mutex;8;0;100;12612880;0;12612880;4203363;237,905;1095195;2110700;0,518878
cas;mutex;1;0;100;344695054;0;344695054;114889311;8,70403;0;0;1
cas;mutex;2;0;100;67086005;0;67086005;22360028;44,7227;30047504;37038501;0,811251
cas;mutex;4;0;100;20769550;0;20769550;6922326;144,46;3819991;8215419;0,464978
cas;mutex;8;0;100;13453702;0;13453702;4483533;223,038;1144872;2914127;0,39287
ticket;mutex;1;0;100;378696896;0;378696896;126222055;7,92255;0;0;1
ticket;mutex;2;0;100;26899166;0;26899166;8965594;111,537;13449459;13449707;0,999982
ticket;mutex;4;0;100;6628796;0;6628796;2209295;452,633;1656475;1657918;0,99913
ticket;mutex;8;0;100;5321851;0;5321851;1773563;563,837;665168;665294;0,999811
rw;mutex;1;0;100;345357308;0;345357308;115109675;8,68737;0;0;1
rw;mutex;2;0;100;62211586;0;62211586;20735246;48,2271;18947055;43264531;0,437935
rw;mutex;4;0;100;17474291;0;17474291;5824085;171,701;2888334;5710507;0,505793
rw;mutex;8;0;100;7924874;0;7924874;2640925;378,655;639107;1342272;0,476138
occ;mutex;1;0;100;193227487;0;193227487;64404054;15,527;0;0;1
occ;mutex;2;0;100;42751793;0;42751793;14249267;70,179;20572753;22179040;0,927576
occ;mutex;4;0;100;12499370;0;12499370;4165976;240,04;2932098;3511107;0,835092
occ;mutex;8;0;100;9866593;0;9866593;3288132;304,124;841482;1831866;0,459358
rw;rw;1;0;80;154995396;123999754;30995642;51661085;19,3569;0;0;1
rw;rw;2;0;80;21342808;17075272;4267536;7113653;140,575;10655333;10687475;0,996993
rw;rw;4;0;80;10552998;8441647;2111351;3517145;284,321;1742076;3422668;0,508982
rw;rw;8;0;80;6321286;5056745;1264541;2106608;474,697;545598;1063012;0,513257
occ;rw;1;0;80;235251695;188201737;47049958;78411076;12,7533;0;0;1
occ;rw;2;0;80;58506293;46802073;11704220;19500361;51,2811;28090922;30415371;0,923577
occ;rw;4;0;80;19978680;15981601;3997079;6658750;150,178;3291265;6724616;0,489435
occ;rw;8;0;80;14768082;11813247;2954835;4921685;203,182;1529287;2321587;0,658725
rw;rw;1;0;95;146648760;139315787;7332973;48879069;20,4587;0;0;1
rw;rw;2;0;95;20227624;19217218;1010406;6741902;148,326;9666745;10560879;0,915335
rw;rw;4;0;95;13418533;12745786;672747;4472272;223,6;2667618;4555688;0,585558
rw;rw;8;0;95;9334087;8866630;467457;3110687;321,472;830146;1558252;0,532742
occ;rw;1;0;95;298249421;283340153;14909268;99408491;10,0595;0;0;1
occ;rw;2;0;95;144727362;137493841;7233521;48238228;20,7304;70313071;74414291;0,944887
occ;rw;4;0;95;57362305;54495092;2867213;19118396;52,3056;6838682;22852519;0,299253
occ;rw;8;0;95;42363350;40245198;2118152;14118039;70,8314;4126739;6599968;0,625267
rcu;rcu;1;0;90;255497900;229949658;25548242;85160788;11,7425;0;0;1
rcu;rcu;2;0;90;58313741;52480284;5833457;19436591;51,4493;29022865;29290876;0,99085
rcu;rcu;4;0;90;21909897;19718330;2191567;7302810;136,934;5115096;6281206;0,814349
rcu;rcu;8;0;90;18246410;16420430;1825980;6081383;164,436;2101198;2650161;0,792857
ttas;mutex;4;0;100;51727379;0;51727379;17240848;58,0018;1860676;46074723;0,0403839
ttas;mutex;4;50;100;10182285;0;10182285;3393711;294,663;1721325;3654244;0,471048
ttas;mutex;4;100;100;7575849;0;7575849;2524949;396,047;285579;3980249;0,071749
ttas;mutex;4;500;100;5905654;0;5905654;1968314;508,049;533026;2064116;0,258235
ttas;mutex;4;1000;100;5266080;0;5266080;1755156;569,75;379295;2020645;0,18771
ttas;mutex;4;5000;100;1621708;0;1621708;540507;1850,11;5431;822148;0,00660587
