lock;workload;threads;cs_work;read_pct;total_ops;read_ops;write_ops;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
tas;mutex;1;0;100;2926580041;0;2926580041;973890084;1,026810;0;0;1,000000
tas;mutex;1;0;100;2892746195;0;2892746195;962632418;1,038818;0;0;1,000000
tas;mutex;1;0;100;2824333833;0;2824333833;939868920;1,063978;0;0;1,000000
tas;mutex;1;0;100;2848897967;0;2848897967;948039856;1,054808;0;0;1,000000
tas;mutex;1;0;100;2825811091;0;2825811091;940359720;1,063423;0;0;1,000000
tas;mutex;2;0;100;301895713;0;301895713;100542650;9,946028;111990288;189905425;0,589716
tas;mutex;2;0;100;308570476;0;308570476;102684690;9,738550;148434079;160136397;0,926923
tas;mutex;2;0;100;308571624;0;308571624;102757172;9,731681;138151202;170420422;0,810649
tas;mutex;2;0;100;297690023;0;297690023;99063745;10,094510;131496132;166193891;0,791221
tas;mutex;2;0;100;296571874;0;296571874;98691391;10,132596;145786326;150785548;0,966845
tas;mutex;4;0;100;91558369;0;91558369;30468188;32,821118;22539214;23375568;0,964221
tas;mutex;4;0;100;91079701;0;91079701;30308941;32,993564;22226879;23098150;0,962280
tas;mutex;4;0;100;91196411;0;91196411;30347810;32,951306;22652648;23107733;0,980306
tas;mutex;4;0;100;88304899;0;88304899;29385403;34,030501;21822394;22228265;0,981741
tas;mutex;4;0;100;91455222;0;91455222;30433901;32,858094;22518242;23233618;0,969209
tas;mutex;6;0;100;19129672;0;19129672;6368838;157,014497;3058640;3390907;0,902012
tas;mutex;6;0;100;19101467;0;19101467;6358479;157,270301;2885019;3723062;0,774905
tas;mutex;6;0;100;18814316;0;18814316;6263181;159,663276;2864630;3299422;0,868222
tas;mutex;6;0;100;21355137;0;21355137;7106390;140,718412;3455909;3627929;0,952585
tas;mutex;6;0;100;19085680;0;19085680;6358026;157,281509;2789229;3482009;0,801040
ttas;mutex;1;0;100;2685138368;0;2685138368;893546961;1,119135;0;0;1,000000
ttas;mutex;1;0;100;2699685227;0;2699685227;898384566;1,113109;0;0;1,000000
ttas;mutex;1;0;100;2703290700;0;2703290700;899588502;1,111619;0;0;1,000000
ttas;mutex;1;0;100;2691250659;0;2691250659;895582271;1,116592;0;0;1,000000
ttas;mutex;1;0;100;2686034306;0;2686034306;893845814;1,118761;0;0;1,000000
ttas;mutex;2;0;100;396337822;0;396337822;131890933;7,582022;166909095;229428727;0,727499
ttas;mutex;2;0;100;427337311;0;427337311;142206925;7,032006;187856140;239481171;0,784430
ttas;mutex;2;0;100;464573807;0;464573807;154598319;6,468376;163287854;301285953;0,541970
ttas;mutex;2;0;100;443041999;0;443041999;147433142;6,782735;208835042;234206957;0,891669
ttas;mutex;2;0;100;414407149;0;414407149;138078398;7,242262;186876540;227530609;0,821325
ttas;mutex;4;0;100;172638123;0;172638123;57449562;17,406573;37087988;46220430;0,802415
ttas;mutex;4;0;100;168627768;0;168627768;56115008;17,820544;34105857;48255710;0,706773
ttas;mutex;4;0;100;172758138;0;172758138;57489288;17,394545;37044965;50875131;0,728155
ttas;mutex;4;0;100;169550092;0;169550092;56421427;17,723763;36505356;44833126;0,814250
ttas;mutex;4;0;100;173158205;0;173158205;57622346;17,354378;39301788;47110366;0,834249
ttas;mutex;6;0;100;25349494;0;25349494;8447786;118,374200;3779493;4810652;0,785651
ttas;mutex;6;0;100;26005246;0;26005246;8653790;115,556295;3725171;5009650;0,743599
ttas;mutex;6;0;100;25369128;0;25369128;8452908;118,302481;3706397;4988871;0,742933
ttas;mutex;6;0;100;23430822;0;23430822;7797125;128,252390;3600516;4176990;0,861988
ttas;mutex;6;0;100;22774524;0;22774524;7578638;131,949814;3428785;4118204;0,832592
cas;mutex;1;0;100;2412155975;0;2412155975;802705175;1,245787;0;0;1,000000
cas;mutex;1;0;100;2412160552;0;2412160552;802707799;1,245783;0;0;1,000000
cas;mutex;1;0;100;2413230693;0;2413230693;803062680;1,245233;0;0;1,000000
cas;mutex;1;0;100;2385838521;0;2385838521;793947076;1,259530;0;0;1,000000
cas;mutex;1;0;100;2385011191;0;2385011191;793669945;1,259970;0;0;1,000000
cas;mutex;2;0;100;447404044;0;447404044;148885065;6,716590;191860152;255543892;0,750791
cas;mutex;2;0;100;430528164;0;430528164;143268911;6,979881;140788904;289739260;0,485916
cas;mutex;2;0;100;424684073;0;424684073;141323994;7,075939;136191490;288492583;0,472080
cas;mutex;2;0;100;484746331;0;484746331;161311071;6,199202;206922066;277824265;0,744795
cas;mutex;2;0;100;455301605;0;455301605;151513088;6,600090;95270953;360030652;0,264619
cas;mutex;4;0;100;166671457;0;166671457;55463733;18,029800;36602944;47695375;0,767432
cas;mutex;4;0;100;165843452;0;165843452;55188360;18,119763;28257860;49918665;0,566078
cas;mutex;4;0;100;166899043;0;166899043;55559716;17,998652;38327039;47765564;0,802399
cas;mutex;4;0;100;166304574;0;166304574;55355635;18,065008;37145188;44482312;0,835055
cas;mutex;4;0;100;166179566;0;166179566;55300255;18,083099;38649363;45477454;0,849858
cas;mutex;6;0;100;37536372;0;37536372;12502902;79,981426;5734198;6753997;0,849008
cas;mutex;6;0;100;37972306;0;37972306;12650065;79,050972;5798806;6791044;0,853890
cas;mutex;6;0;100;36478704;0;36478704;12156385;82,261291;5888053;6472005;0,909773
cas;mutex;6;0;100;36680708;0;36680708;12206301;81,924899;5604695;6446972;0,869353
