lock;workload;threads;cs_work;read_pct;total_ops;read_ops;write_ops;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
tas;mutex;1;0;100;344100625;0;344100625;114688301;8,719285;0;0;1,000000
tas;mutex;1;0;100;344418159;0;344418159;114793999;8,711257;0;0;1,000000
tas;mutex;1;0;100;239039703;0;239039703;79671457;12,551546;0;0;1,000000
tas;mutex;1;0;100;348769163;0;348769163;116244349;8,602569;0;0;1,000000
tas;mutex;1;0;100;349000062;0;349000062;116321317;8,596876;0;0;1,000000
tas;mutex;2;0;100;73754731;0;73754731;24582301;40,679674;7740080;66014651;0,117248
tas;mutex;2;0;100;68794108;0;68794108;22929578;43,611791;6249147;62544961;0,099914
tas;mutex;2;0;100;69366271;0;69366271;23120228;43,252168;7367547;61998724;0,118834
tas;mutex;2;0;100;74534671;0;74534671;24842971;40,252834;8331123;66203548;0,125841
tas;mutex;2;0;100;65379816;0;65379816;21791145;45,890199;6924676;58455140;0,118461
tas;mutex;4;0;100;19596518;0;19596518;6531557;153,102843;3408971;6650339;0,512601
tas;mutex;4;0;100;16106518;0;16106518;5368289;186,279086;2738169;5289667;0,517645
tas;mutex;4;0;100;18080079;0;18080079;6026141;165,943673;2813724;6315649;0,445516
tas;mutex;4;0;100;19571422;0;19571422;6523183;153,299388;3493837;6659307;0,524655
tas;mutex;4;0;100;18800526;0;18800526;6266288;159,584087;2805036;6153787;0,455823
tas;mutex;6;0;100;10071934;0;10071934;3356849;297,898407;1180743;2294569;0,514582
tas;mutex;6;0;100;10512115;0;10512115;3503523;285,426973;1142256;2571163;0,444257
tas;mutex;6;0;100;10130074;0;10130074;3376198;296,191136;1114740;2461380;0,452892
tas;mutex;6;0;100;10133342;0;10133342;3377249;296,098921;1066851;2477680;0,430585
tas;mutex;6;0;100;10531457;0;10531457;3509967;284,902885;1094449;2426204;0,451095
ttas;mutex;1;0;100;348121957;0;348121957;116032798;8,618253;0;0;1,000000
ttas;mutex;1;0;100;347401233;0;347401233;115794127;8,636017;0;0;1,000000
ttas;mutex;1;0;100;348389962;0;348389962;116118103;8,611922;0;0;1,000000
ttas;mutex;1;0;100;347185648;0;347185648;115722552;8,641358;0;0;1,000000
ttas;mutex;1;0;100;349263816;0;349263816;116412213;8,590164;0;0;1,000000
ttas;mutex;2;0;100;65376628;0;65376628;21790007;45,892596;7010692;58365936;0,120116
ttas;mutex;2;0;100;60710404;0;60710404;20234764;49,419898;9587470;51122934;0,187538
ttas;mutex;2;0;100;75727707;0;75727707;25240669;39,618601;4711572;71016135;0,066345
ttas;mutex;2;0;100;65641930;0;65641930;21878295;45,707400;8390568;57251362;0,146557
ttas;mutex;2;0;100;60479152;0;60479152;20157644;49,608972;8013142;52466010;0,152730
ttas;mutex;4;0;100;19357679;0;19357679;6451741;154,996916;2883960;7596913;0,379623
ttas;mutex;4;0;100;20275164;0;20275164;6757763;147,977946;3447991;8246604;0,418110
ttas;mutex;4;0;100;19739669;0;19739669;6579184;151,994528;2775272;6427443;0,431785
ttas;mutex;4;0;100;21093148;0;21093148;7030215;142,243159;4461121;6500090;0,686317
ttas;mutex;4;0;100;21058059;0;21058059;7018602;142,478497;4452570;6227025;0,715040
ttas;mutex;6;0;100;14409459;0;14409459;4802483;208,225578;1475196;4459098;0,330828
ttas;mutex;6;0;100;15005786;0;15005786;5001036;199,958553;1864192;3180739;0,586088
ttas;mutex;6;0;100;14439169;0;14439169;4812267;207,802241;1601454;3739523;0,428251
ttas;mutex;6;0;100;14302992;0;14302992;4766943;209,778045;1639977;3556396;0,461135
ttas;mutex;6;0;100;14912522;0;14912522;4970139;201,201589;1461976;4055976;0,360450
cas;mutex;1;0;100;348728685;0;348728685;116233634;8,603362;0;0;1,000000
cas;mutex;1;0;100;348009509;0;348009509;115997234;8,620895;0;0;1,000000
cas;mutex;1;0;100;347798966;0;347798966;115923667;8,626366;0;0;1,000000
cas;mutex;1;0;100;347602458;0;347602458;115856727;8,631350;0;0;1,000000
cas;mutex;1;0;100;348746951;0;348746951;116239798;8,602905;0;0;1,000000
cas;mutex;2;0;100;59716427;0;59716427;19903355;50,242785;23674504;36041923;0,656860
cas;mutex;2;0;100;68787408;0;68787408;22927055;43,616591;8047474;60739934;0,132491
cas;mutex;2;0;100;78702818;0;78702818;26231637;38,121905;4976408;73726410;0,067498
cas;mutex;2;0;100;65065247;0;65065247;21686239;46,112190;10338085;54727162;0,188902
cas;mutex;2;0;100;65830375;0;65830375;21941232;45,576292;24716544;41113831;0,601173
cas;mutex;4;0;100;20199997;0;20199997;6732430;148,534770;2829944;7995575;0,353939
cas;mutex;4;0;100;21704144;0;21704144;7233919;138,237640;4344396;6265937;0,693335
cas;mutex;4;0;100;19945180;0;19945180;6647559;150,431140;3873855;5895416;0,657096
cas;mutex;4;0;100;21756551;0;21756551;7251398;137,904437;4470661;6323694;0,706970
cas;mutex;4;0;100;21081517;0;21081517;7026258;142,323261;2871500;8470733;0,338991
cas;mutex;6;0;100;12364809;0;12364809;4120885;242,666266;1700149;2471449;0,687916
cas;mutex;6;0;100;15343764;0;15343764;5113695;195,553302;1773019;3690148;0,480474
cas;mutex;6;0;100;15106107;0;15106107;5034511;198,628987;1548814;4463553;0,346991
cas;mutex;6;0;100;15875526;0;15875526;5290954;189,001825;1521205;4559809;0,333612
cas;mutex;6;0;100;15065378;0;15065378;5020958;199,165167;1575824;4122500;0,382250
ticket;mutex;1;0;100;380354621;0;380354621;126774180;7,888042;0;0;1,000000
ticket;mutex;1;0;100;380199098;0;380199098;126721745;7,891305;0;0;1,000000
ticket;mutex;1;0;100;380239301;0;380239301;126736231;7,890403;0;0;1,000000
ticket;mutex;1;0;100;380437357;0;380437357;126801419;7,886347;0;0;1,000000
ticket;mutex;1;0;100;380582717;0;380582717;126850467;7,883298;0;0;1,000000
ticket;mutex;2;0;100;15198240;0;15198240;5065573;197,411017;5897011;9301229;0,634003
ticket;mutex;2;0;100;14602769;0;14602769;4867094;205,461406;7112693;7490076;0,949616
ticket;mutex;2;0;100;25509613;0;25509613;8502293;117,615329;6583463;18926150;0,347850
ticket;mutex;2;0;100;21289340;0;21289340;7095643;140,931548;6521492;14767848;0,441601
ticket;mutex;2;0;100;30314560;0;30314560;10103745;98,973200;6682862;23631698;0,282792
ticket;mutex;4;0;100;7235694;0;7235694;2411645;414,654615;1801389;1816270;0,991807
ticket;mutex;4;0;100;7008499;0;7008499;2335867;428,106399;1749520;1754577;0,997118
ticket;mutex;4;0;100;6815367;0;6815367;2271550;440,227960;1703706;1703968;0,999846
ticket;mutex;4;0;100;8820731;0;8820731;2939877;340,150247;2203326;2206984;0,998343
ticket;mutex;4;0;100;7881270;0;7881270;2626839;380,685612;1967147;1973505;0,996778
ticket;mutex;6;0;100;7628930;0;7628930;2542554;393,305167;1266784;1276124;0,992681
ticket;mutex;6;0;100;7005141;0;7005141;2334749;428,311387;1166970;1168079;0,999051
ticket;mutex;6;0;100;7130424;0;7130424;2376447;420,796095;1188194;1188614;0,999647
ticket;mutex;6;0;100;5955959;0;5955959;1984963;503,787520;992300;992950;0,999345
ticket;mutex;6;0;100;6127391;0;6127391;2042192;489,669877;1021097;1021366;0,999737
rw;mutex;1;0;100;349079781;0;349079781;116349138;8,594821;0;0;1,000000
rw;mutex;1;0;100;347101002;0;347101002;115689436;8,643832;0;0;1,000000
rw;mutex;1;0;100;347741967;0;347741967;115903501;8,627867;0;0;1,000000
rw;mutex;1;0;100;347581498;0;347581498;115850974;8,631779;0;0;1,000000
rw;mutex;1;0;100;347659908;0;347659908;115876295;8,629893;0;0;1,000000
rw;mutex;2;0;100;70364157;0;70364157;23452358;42,639634;26406327;43957830;0,600720
rw;mutex;2;0;100;73039674;0;73039674;24343950;41,077968;9340057;63699617;0,146627
rw;mutex;2;0;100;74240859;0;74240859;24744667;40,412748;8226155;66014704;0,124611
rw;mutex;2;0;100;71507610;0;71507610;23833729;41,957345;7217560;64290050;0,112266
rw;mutex;2;0;100;67363717;0;67363717;22452086;44,539291;7448259;59915458;0,124313
rw;mutex;4;0;100;18287003;0;18287003;6094964;164,069858;3005741;6198705;0,484898
rw;mutex;4;0;100;18534783;0;18534783;6177709;161,872289;3106431;6054076;0,513114
rw;mutex;4;0;100;17988237;0;17988237;5995392;166,794764;3723773;5033627;0,739779
rw;mutex;4;0;100;18052201;0;18052201;6016626;166,206106;3863657;5208067;0,741860
rw;mutex;4;0;100;19714490;0;19714490;6570819;152,188023;3515879;6597541;0,532907
rw;mutex;6;0;100;10143217;0;10143217;3380590;295,806341;1087956;2375839;0,457925
rw;mutex;6;0;100;10176752;0;10176752;3391766;294,831659;1103993;2463301;0,448176
rw;mutex;6;0;100;10646241;0;10646241;3548150;281,836979;1526728;2057511;0,742027
rw;mutex;6;0;100;10919579;0;10919579;3639335;274,775467;1606021;2083401;0,770865
rw;mutex;6;0;100;11249575;0;11249575;3749206;266,723081;1559965;2238320;0,696936
occ;mutex;1;0;100;169568888;0;169568888;56518177;17,693423;0;0;1,000000
occ;mutex;1;0;100;169213027;0;169213027;56399485;17,730658;0;0;1,000000
occ;mutex;1;0;100;169166421;0;169166421;56383421;17,735710;0;0;1,000000
occ;mutex;1;0;100;169261496;0;169261496;56415718;17,725557;0;0;1,000000
occ;mutex;1;0;100;169522967;0;169522967;56502464;17,698343;0;0;1,000000
occ;mutex;2;0;100;43410237;0;43410237;14468673;69,114836;17177399;26232838;0,654805
occ;mutex;2;0;100;44594421;0;44594421;14863611;67,278401;6345088;38249333;0,165888
