lock;dist;zipf_theta;threads;buckets;key_range;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
cds-std;uniform;0,990000;1;65536;1000000;80;10;10;67977741;54378651;6801272;6797818;8491846;117,760018;0;0;1,000000
cds-std;uniform;0,990000;2;65536;1000000;80;10;10;129962454;103967922;12999578;12994954;16235048;61,595134;64744240;65218214;0,992732
cds-std;uniform;0,990000;4;65536;1000000;80;10;10;246317786;197050586;24633730;24633470;30770251;32,498921;61021320;61944572;0,985096
cds-std;uniform;0,990000;8;65536;1000000;80;10;10;323926218;259138657;32392253;32395308;40488602;24,698309;39714602;41456688;0,957978
cds-tas;uniform;0,990000;1;65536;1000000;80;10;10;197109882;157691020;19709899;19708963;24623196;40,612112;0;0;1,000000
cds-tas;uniform;0,990000;2;65536;1000000;80;10;10;240666716;192536971;24067723;24062022;30080416;33,244221;120268121;120398595;0,998916
cds-tas;uniform;0,990000;4;65536;1000000;80;10;10;463558791;370851104;46360754;46346933;57908202;17,268711;113701878;117368482;0,968760
cds-tas;uniform;0,990000;8;65536;1000000;80;10;10;483260151;386606345;48332332;48321474;60402053;16,555729;59073250;61488241;0,960724
cds-ttas;uniform;0,990000;1;65536;1000000;80;10;10;187943219;150355718;18795160;18792341;23478073;42,592932;0;0;1,000000
cds-ttas;uniform;0,990000;2;65536;1000000;80;10;10;239184539;191349992;23920352;23914195;29879209;33,468088;119586016;119598523;0,999895
cds-ttas;uniform;0,990000;4;65536;1000000;80;10;10;468428852;374749022;46847421;46832409;58516600;17,089168;115202148;118674025;0,970744
cds-ttas;uniform;0,990000;8;65536;1000000;80;10;10;482624424;386097729;48267861;48258834;60297538;16,584425;59200334;61211487;0,967144
cds-cas;uniform;0,990000;1;65536;1000000;80;10;10;90927199;72737739;9097027;9092433;11358727;88,038033;0;0;1,000000
cds-cas;uniform;0,990000;2;65536;1000000;80;10;10;157572144;126056900;15761006;15754238;19684105;50,802409;78498808;79073336;0,992734
cds-cas;uniform;0,990000;4;65536;1000000;80;10;10;316109049;252884622;31617216;31607211;39488631;25,323744;78243109;79700532;0,981714
cds-cas;uniform;0,990000;8;65536;1000000;80;10;10;386368655;309085347;38642802;38640506;48265430;20,718763;47483475;49100811;0,967061
cds-ticket;uniform;0,990000;1;65536;1000000;80;10;10;60126316;48098873;6014966;6012477;7511056;133,137071;0;0;1,000000
cds-ticket;uniform;0,990000;2;65536;1000000;80;10;10;120154887;96121631;12018962;12014294;15009874;66,622809;59798952;60355935;0,990772
cds-ticket;uniform;0,990000;4;65536;1000000;80;10;10;228482677;182779595;22853298;22849784;28542287;35,035735;56747197;57446711;0,987823
cds-ticket;uniform;0,990000;8;65536;1000000;80;10;10;308982245;247184145;30896848;30901252;38598114;25,908001;37577515;39352804;0,954888
cds-std;zipfian;0,990000;1;65536;1000000;80;10;10;57028906;45621325;5705330;5702251;7124114;140,368320;0;0;1,000000
cds-std;zipfian;0,990000;2;65536;1000000;80;10;10;109826675;87857618;10987210;10981847;13719675;72,888024;54886579;54940096;0,999026
cds-std;zipfian;0,990000;4;65536;1000000;80;10;10;199773136;159807370;19983703;19982063;24955876;40,070723;49909677;49967682;0,998839
cds-std;zipfian;0,990000;8;65536;1000000;80;10;10;185533634;148420223;18551390;18562021;23177041;43,146145;23048527;23307561;0,988886
cds-tas;zipfian;0,990000;1;65536;1000000;80;10;10;107633518;86102910;10767282;10763326;13445723;74,373090;0;0;1,000000
cds-tas;zipfian;0,990000;2;65536;1000000;80;10;10;208763524;167010840;20880704;20871980;26079024;38,344992;98344818;110418706;0,890654
cds-tas;zipfian;0,990000;4;65536;1000000;80;10;10;357907223;286328156;35794761;35784306;44730473;22,356124;87585803;91864126;0,953428
cds-tas;zipfian;0,990000;8;65536;1000000;80;10;10;372782255;298220912;37280040;37281303;46584238;21,466488;46140021;46937147;0,983017
cds-ttas;zipfian;0,990000;1;65536;1000000;80;10;10;117740714;94189036;11777192;11774486;14708331;67,988676;0;0;1,000000
cds-ttas;zipfian;0,990000;2;65536;1000000;80;10;10;202017634;161618994;20203279;20195361;25236307;39,625448;97826323;104191311;0,938911
cds-ttas;zipfian;0,990000;4;65536;1000000;80;10;10;364673251;291741442;36471369;36460440;45571418;21,943579;90019420;92437197;0,973844
cds-ttas;zipfian;0,990000;8;65536;1000000;80;10;10;386107957;308876287;38617485;38614185;48241525;20,729030;47665158;48759467;0,977557
cds-cas;zipfian;0,990000;1;65536;1000000;80;10;10;68625290;54897719;6866257;6861314;8572750;116,648674;0;0;1,000000
cds-cas;zipfian;0,990000;2;65536;1000000;80;10;10;126062372;100845997;12610759;12605616;15754240;63,474972;61874858;64187514;0,963970
cds-cas;zipfian;0,990000;4;65536;1000000;80;10;10;230453504;184357569;23049669;23046266;28803737;34,717717;57561637;57659771;0,998298
cds-cas;zipfian;0,990000;8;65536;1000000;80;10;10;311612927;249288973;31159526;31164428;38950928;25,673329;38542806;39327597;0,980045
cds-ticket;zipfian;0,990000;1;65536;1000000;80;10;10;57821339;46255222;5784601;5781516;7223114;138,444434;0;0;1,000000
cds-ticket;zipfian;0,990000;2;65536;1000000;80;10;10;113560597;90845863;11359913;11354821;14186086;70,491606;55725662;57834935;0,963529
cds-ticket;zipfian;0,990000;4;65536;1000000;80;10;10;222463634;177963759;22250019;22249856;27790340;35,983726;55333500;55771465;0,992147
cds-ticket;zipfian;0,990000;8;65536;1000000;80;10;10;287689057;230146456;28767302;28775299;35953317;27,813845;35663006;36246074;0,983914
cds-std;uniform;0,990000;1;65536;1000000;90;5;5;63959942;57564003;3197501;3198438;7993605;125,099992;0;0;1,000000
cds-std;uniform;0,990000;2;65536;1000000;90;5;5;131189038;118070790;6557415;6560833;16388280;61,019216;65005856;66183182;0,982211
cds-std;uniform;0,990000;4;65536;1000000;90;5;5;260696149;234625442;13033099;13037608;32566429;30,706467;64739113;65727739;0,984959
cds-std;uniform;0,990000;8;65536;1000000;90;5;5;378489292;340638008;18922184;18929100;47281481;21,149929;46200620;48250451;0,957517
cds-tas;uniform;0,990000;1;65536;1000000;90;5;5;276919148;249229576;13846299;13843273;34593055;28,907536;0;0;1,000000
cds-tas;uniform;0,990000;2;65536;1000000;90;5;5;378328251;340502962;18912343;18912946;47261271;21,158974;188480252;189847999;0,992796
cds-tas;uniform;0,990000;4;65536;1000000;90;5;5;686885881;618209864;34338234;34337783;85806437;11,654137;171389911;172051663;0,996154
cds-tas;uniform;0,990000;8;65536;1000000;90;5;5;746307129;671686191;37305609;37315329;93229219;10,726251;91486175;95040866;0,962598
cds-ttas;uniform;0,990000;1;65536;1000000;90;5;5;275063598;247559367;13753826;13750405;34380912;29,085906;0;0;1,000000
cds-ttas;uniform;0,990000;2;65536;1000000;90;5;5;417176729;375466770;20853400;20856559;52141659;19,178523;208095643;209081086;0,995287
cds-ttas;uniform;0,990000;4;65536;1000000;90;5;5;692069029;622875156;34596951;34596922;86453911;11,566857;172642366;173461131;0,995280
cds-ttas;uniform;0,990000;8;65536;1000000;90;5;5;741655401;667502174;37073049;37080178;92697298;10,787801;91494769;95292176;0,960150
cds-cas;uniform;0,990000;1;65536;1000000;90;5;5;93869391;84484479;4690871;4694041;11726248;85,278769;0;0;1,000000
cds-cas;uniform;0,990000;2;65536;1000000;90;5;5;186238719;167618766;9307380;9312573;23265142;42,982758;92511376;93727343;0,987027
cds-cas;uniform;0,990000;4;65536;1000000;90;5;5;362773991;326504391;18133113;18136487;45317993;22,066290;90536746;90965645;0,995285
