lock;dist;zipf_theta;threads;buckets;key_range;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
tas;uniform;0,000000;1;65536;1000000;95;4;1;8661680;8229002;346310;86368;866159;1154,521418;0;0;1,000000
tas;uniform;0,000000;1;65536;1000000;95;4;1;8140652;7734224;325221;81207;814057;1228,414416;0;0;1,000000
tas;uniform;0,000000;1;65536;1000000;95;4;1;8064862;7662145;322273;80444;806478;1239,958727;0;0;1,000000
tas;uniform;0,000000;1;65536;1000000;95;4;1;8003653;7604134;319732;79787;800358;1249,440765;0;0;1,000000
tas;uniform;0,000000;1;65536;1000000;95;4;1;8314612;7899559;332194;82859;831453;1202,713520;0;0;1,000000
tas;uniform;0,000000;2;65536;1000000;95;4;1;13309905;12645030;531885;132990;1330975;751,328613;6654609;6655296;0,999897
tas;uniform;0,000000;2;65536;1000000;95;4;1;12934644;12288568;516914;129162;1293452;773,124922;6465373;6469271;0,999397
tas;uniform;0,000000;2;65536;1000000;95;4;1;13597487;12918387;543309;135791;1359734;735,437489;6793867;6803620;0,998566
tas;uniform;0,000000;2;65536;1000000;95;4;1;14106389;13401891;563635;140863;1410625;708,905360;7050510;7055879;0,999239
tas;uniform;0,000000;2;65536;1000000;95;4;1;15504339;14730120;619446;154773;1550418;644,987267;7748646;7755693;0,999091
tas;uniform;0,000000;4;65536;1000000;95;4;1;20208480;19199377;807602;201501;2020822;494,848116;5034515;5070440;0,992915
tas;uniform;0,000000;4;65536;1000000;95;4;1;20065428;19063728;801685;200015;2006515;498,376451;4995295;5036521;0,991815
tas;uniform;0,000000;4;65536;1000000;95;4;1;20746294;19710575;828962;206757;2074603;482,019882;5164892;5205660;0,992169
tas;uniform;0,000000;4;65536;1000000;95;4;1;21581089;20503722;862212;215155;2158070;463,376860;5379857;5412612;0,993948
tas;uniform;0,000000;4;65536;1000000;95;4;1;20397231;19378989;814983;203259;2039697;490,268882;5081649;5118977;0,992708
tas;uniform;0,000000;8;65536;1000000;95;4;1;34122939;32419520;1362428;340991;3412202;293,065824;4255741;4278214;0,994747
tas;uniform;0,000000;8;65536;1000000;95;4;1;34011598;32313577;1358126;339895;3401089;294,023399;4225412;4271549;0,989199
