lock;dist;zipf_theta;threads;buckets;key_range;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
tas;uniform;0,000000;1;65536;1000000;95;4;1;9323562;8858007;372526;93029;932334;1072,576362;0;0;1,000000
tas;uniform;0,000000;1;65536;1000000;95;4;1;9383079;8914496;374932;93651;938285;1065,773435;0;0;1,000000
tas;uniform;0,000000;1;65536;1000000;95;4;1;9238581;8777179;369199;92203;923835;1082,443460;0;0;1,000000
tas;uniform;0,000000;2;65536;1000000;95;4;1;8062988;7659764;322851;80373;806276;1240,268884;3993858;4069130;0,981502
tas;uniform;0,000000;2;65536;1000000;95;4;1;7396770;7026669;296167;73934;739656;1351,978100;3674227;3722543;0,987021
tas;uniform;0,000000;2;65536;1000000;95;4;1;8575679;8146947;343188;85544;857543;1166,121590;4241277;4334402;0,978515
tas;uniform;0,000000;4;65536;1000000;95;4;1;11220507;10659374;448744;112389;1122018;891,250517;2774504;2835049;0,978644
tas;uniform;0,000000;4;65536;1000000;95;4;1;10378719;9859320;415398;104001;1037841;963,538570;2555956;2635183;0,969935
tas;uniform;0,000000;4;65536;1000000;95;4;1;10989579;10440103;439377;110099;1098925;909,979658;2687698;2806507;0,957667
tas;uniform;0,000000;8;65536;1000000;95;4;1;12584405;11956428;501801;126176;1258378;794,673673;1513470;1637384;0,924322
tas;uniform;0,000000;8;65536;1000000;95;4;1;13567338;12890645;540777;135916;1356672;737,097515;1677931;1717025;0,977232
tas;uniform;0,000000;8;65536;1000000;95;4;1;14076324;13374290;561098;140936;1407559;710,449388;1704326;1815328;0,938853
tas;uniform;0,000000;16;65536;1000000;95;4;1;9986942;9488318;398422;100202;998644;1001,357466;506983;744020;0,681410
tas;uniform;0,000000;16;65536;1000000;95;4;1;9868355;9375630;393761;98964;986760;1013,417292;527975;705114;0,748780
tas;uniform;0,000000;16;65536;1000000;95;4;1;9479983;9006681;378169;95133;947923;1054,937430;493523;691249;0,713958
tas;uniform;0,000000;32;65536;1000000;95;4;1;6231515;5920045;249392;62078;623093;1604,896279;155644;234191;0,664603
tas;uniform;0,000000;32;65536;1000000;95;4;1;6214066;5903268;248898;61900;621352;1609,391830;141145;246840;0,571808
tas;uniform;0,000000;32;65536;1000000;95;4;1;6274726;5960952;251304;62470;627420;1593,828221;142268;250619;0,567666
tas;uniform;0,000000;48;65536;1000000;95;4;1;5102526;4847054;204602;50870;510192;1960,045125;83435;129539;0,644092
tas;uniform;0,000000;48;65536;1000000;95;4;1;5259232;4995957;210916;52359;525860;1901,646597;90394;130037;0,695141
tas;uniform;0,000000;48;65536;1000000;95;4;1;4989900;4740444;199858;49598;498725;2005,111108;90486;119207;0,759066
ttas;uniform;0,000000;1;65536;1000000;95;4;1;9026772;8575833;360843;90096;902655;1107,842031;0;0;1,000000
ttas;uniform;0,000000;1;65536;1000000;95;4;1;9243224;8781590;369399;92235;924300;1081,898828;0;0;1,000000
ttas;uniform;0,000000;1;65536;1000000;95;4;1;9095428;8641009;363592;90827;909521;1099,479245;0;0;1,000000
ttas;uniform;0,000000;2;65536;1000000;95;4;1;8130409;7723744;325626;81039;813015;1229,988125;4030475;4099934;0,983059
ttas;uniform;0,000000;2;65536;1000000;95;4;1;7786820;7397357;311832;77631;778659;1284,258126;3862623;3924197;0,984309
ttas;uniform;0,000000;2;65536;1000000;95;4;1;7879897;7485684;315684;78529;787968;1269,086692;3922132;3957765;0,990997
ttas;uniform;0,000000;4;65536;1000000;95;4;1;10562312;10033631;422795;105886;1056202;946,788421;2629800;2650701;0,992115
ttas;uniform;0,000000;4;65536;1000000;95;4;1;11856964;11264584;473882;118498;1185662;843,410394;2933878;3000017;0,977954
ttas;uniform;0,000000;4;65536;1000000;95;4;1;11037972;10486071;441336;110565;1103765;905,989271;2747348;2771126;0,991419
ttas;uniform;0,000000;8;65536;1000000;95;4;1;12699926;12066297;506426;127203;1269933;787,442523;1548455;1638365;0,945122
ttas;uniform;0,000000;8;65536;1000000;95;4;1;13163017;12506220;524968;131829;1316238;759,740769;1585478;1741765;0,910271
ttas;uniform;0,000000;8;65536;1000000;95;4;1;13362695;12696108;532735;133852;1336207;748,386616;1651228;1701285;0,970577
ttas;uniform;0,000000;16;65536;1000000;95;4;1;10240953;9729904;408282;102767;1024044;976,520119;607628;663224;0,916173
ttas;uniform;0,000000;16;65536;1000000;95;4;1;10542041;10015909;420333;105799;1054121;948,657664;644044;694631;0,927174
ttas;uniform;0,000000;16;65536;1000000;95;4;1;10314865;9800141;411246;103478;1031413;969,543362;623015;674955;0,923047
ttas;uniform;0,000000;32;65536;1000000;95;4;1;8122449;7716565;324811;81073;812171;1231,267275;185145;315960;0,585976
ttas;uniform;0,000000;32;65536;1000000;95;4;1;8063582;7660496;322665;80421;806282;1240,259626;190674;296498;0,643087
ttas;uniform;0,000000;32;65536;1000000;95;4;1;7923344;7527300;316968;79076;792261;1262,209508;184094;311718;0,590579
ttas;uniform;0,000000;48;65536;1000000;95;4;1;7040832;6688301;282430;70101;703989;1420,475726;136639;163179;0,837357
