lock;dist;zipf_theta;threads;buckets;key_range;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
wh-default;uniform;0,990000;1;65536;1000000;80;10;10;27707864;22165489;2770850;2771525;9220465;108,454390;0;0;1,000000
wh-default;uniform;0,990000;2;65536;1000000;80;10;10;52634620;42106355;5260554;5267711;17515469;57,092389;26309522;26325098;0,999408
wh-default;uniform;0,990000;4;65536;1000000;80;10;10;99591587;79667407;9958149;9966031;33141236;30,173890;24837297;24958031;0,995163
wh-default;uniform;0,990000;8;65536;1000000;80;10;10;111964249;89569815;11190250;11204184;37308960;26,803213;13788938;14220059;0,969682
wh-rw;uniform;0,990000;1;65536;1000000;80;10;10;18923439;15138436;1890532;1894471;6299504;158,742640;0;0;1,000000
wh-rw;uniform;0,990000;2;65536;1000000;80;10;10;52913762;42329619;5288517;5295626;17608245;56,791576;26446499;26467263;0,999215
wh-rw;uniform;0,990000;4;65536;1000000;80;10;10;105277734;84216633;10527010;10534091;35076521;28,509098;26304277;26338340;0,998707
wh-rw;uniform;0,990000;8;65536;1000000;80;10;10;149363354;119488578;14930039;14944737;49709237;20,116985;17753349;19200038;0,924652
wh-tas;uniform;0,990000;1;65536;1000000;80;10;10;27098803;21677996;2710025;2710782;9017759;110,892295;0;0;1,000000
wh-tas;uniform;0,990000;2;65536;1000000;80;10;10;50689565;40549609;5066519;5073437;16868155;59,283304;25344215;25345350;0,999955
wh-tas;uniform;0,990000;4;65536;1000000;80;10;10;107571949;86051582;10756288;10764079;35796898;27,935381;26875403;26909717;0,998725
wh-tas;uniform;0,990000;8;65536;1000000;80;10;10;150496430;120395070;15043608;15057752;50102714;19,958998;18075124;19453441;0,929148
wh-ttas;uniform;0,990000;1;65536;1000000;80;10;10;26805082;21443106;2680322;2681654;8920049;112,107002;0;0;1,000000
