arch;lock;dist;zipf_theta;threads;buckets;key_range;prefill;stream_len;read_pct;insert_pct;delete_pct;n;ops_s_median;ops_s_mean;ops_s_p25;ops_s_p75;ops_s_min;ops_s_max;ops_s_cov_pct;ns_op_median;ns_op_mean;ns_op_p25;ns_op_p75;ns_op_min;ns_op_max;ns_op_cov_pct;fairness_ratio_median;fairness_ratio_mean;fairness_ratio_p25;fairness_ratio_p75;fairness_ratio_min;fairness_ratio_max;fairness_ratio_cov_pct
x86_64;avl-cas;uniform;0,990000;1;65536;1000;500;4096;50;25;25;3;6,12365e+06;6,12216e+06;6,11496e+06;6,12788e+06;6,11496e+06;6,12788e+06;0,107601;163,301;163,341;163,189;163,533;163,189;163,533;0,107636;1;1;1;1;1;1;0
x86_64;avl-cas;uniform;0,990000;1;65536;1000;500;4096;90;5;5;3;7,09787e+06;7,03958e+06;6,92194e+06;7,09893e+06;6,92194e+06;7,09893e+06;1,44725;140,887;142,074;140,866;144,468;140,866;144,468;1,45944;1;1;1;1;1;1;0
x86_64;avl-cas;uniform;0,990000;1;65536;100000;50000;4096;50;25;25;3;3,41453e+06;3,41289e+06;3,40826e+06;3,41588e+06;3,40826e+06;3,41588e+06;0,119249;292,866;293,007;292,75;293,405;292,75;293,405;0,119318;1;1;1;1;1;1;0
x86_64;avl-cas;uniform;0,990000;1;65536;100000;50000;4096;90;5;5;3;3,40808e+06;3,40784e+06;3,406e+06;3,40942e+06;3,406e+06;3,40942e+06;0,0505217;293,42;293,441;293,305;293,599;293,305;293,599;0,0505181;1;1;1;1;1;1;0
x86_64;avl-cas;uniform;0,990000;12;65536;1000;500;4096;50;25;25;3;1,01642e+07;1,01783e+07;1,0162e+07;1,02087e+07;1,0162e+07;1,02087e+07;0,25906;98,3841;98,2486;97,9554;98,4063;97,9554;98,4063;0,258675;0,898178;0,896858;0,893192;0,899203;0,893192;0,899203;0,358548
x86_64;avl-cas;uniform;0,990000;12;65536;1000;500;4096;90;5;5;3;3,47016e+07;3,46763e+07;3,44905e+07;3,48368e+07;3,44905e+07;3,48368e+07;0,503373;28,8171;28,8386;28,7053;28,9935;28,7053;28,9935;0,50392;0,969637;0,96948;0,969051;0,969751;0,969051;0,969751;0,0387411
x86_64;avl-cas;uniform;0,990000;12;65536;100000;50000;4096;50;25;25;3;2,75492e+07;2,75592e+07;2,75444e+07;2,7584e+07;2,75444e+07;2,7584e+07;0,0783919;36,2987;36,2856;36,2529;36,305;36,2529;36,305;0,0783583;0,952992;0,952975;0,951963;0,95397;0,951963;0,95397;0,105313
x86_64;avl-cas;uniform;0,990000;12;65536;100000;50000;4096;90;5;5;3;3,19873e+07;3,19897e+07;3,1985e+07;3,19967e+07;3,1985e+07;3,19967e+07;0,0193168;31,2624;31,2601;31,2532;31,2646;31,2532;31,2646;0,0193143;0,984679;0,984746;0,984131;0,985429;0,984131;0,985429;0,0661708
x86_64;avl-cas;uniform;0,990000;2;65536;1000;500;4096;50;25;25;3;6,089e+06;6,09192e+06;6,07635e+06;6,11042e+06;6,07635e+06;6,11042e+06;0,282642;164,231;164,153;163,655;164,572;163,655;164,572;0,282446;0,998798;0,997487;0,994517;0,999146;0,994517;0,999146;0,258447
x86_64;avl-cas;uniform;0,990000;2;65536;1000;500;4096;90;5;5;3;8,66374e+06;8,6724e+06;8,6599e+06;8,69356e+06;8,6599e+06;8,69356e+06;0,212459;115,424;115,309;115,028;115,475;115,028;115,475;0,212214;0,996378;0,995619;0,993679;0,996801;0,993679;0,996801;0,170109
