arch;hostname;lock;dist;zipf_theta;threads;buckets;key_range;prefill;stream_len;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
x86_64;diascld45;avl-std;uniform;0,990000;1;65536;1000;500;4096;90;5;5;37586944;33806234;2009656;1771054;7517060;133,030728;0;0;1,000000
x86_64;diascld45;avl-std;uniform;0,990000;1;65536;1000;500;4096;90;5;5;37573696;33794306;2008947;1770443;7514414;133,077562;0;0;1,000000
x86_64;diascld45;avl-std;uniform;0,990000;1;65536;1000;500;4096;90;5;5;37139584;33403870;1985736;1749978;7427738;134,630480;0;0;1,000000
x86_64;diascld45;avl-std;uniform;0,990000;2;65536;1000;500;4096;90;5;5;46929408;42323878;2440223;2165307;9385632;106,545826;23395456;23533952;0,994115
x86_64;diascld45;avl-std;uniform;0,990000;2;65536;1000;500;4096;90;5;5;46663808;42083915;2426661;2153232;9332547;107,151876;23312064;23351744;0,998301
x86_64;diascld45;avl-std;uniform;0,990000;2;65536;1000;500;4096;90;5;5;46659392;42080371;2426180;2152841;9331631;107,162392;23261952;23397440;0,994209
x86_64;diascld45;avl-std;uniform;0,990000;4;65536;1000;500;4096;90;5;5;82055296;73766067;4261811;4027418;16410312;60,937292;20371712;20594048;0,989204
x86_64;diascld45;avl-std;uniform;0,990000;4;65536;1000;500;4096;90;5;5;82291840;73978706;4274033;4039101;16457948;60,760914;20420672;20664000;0,988225
x86_64;diascld45;avl-std;uniform;0,990000;4;65536;1000;500;4096;90;5;5;82628672;74281735;4291672;4055265;16524887;60,514783;20483328;20743040;0,987480
x86_64;diascld45;avl-std;uniform;0,990000;8;65536;1000;500;4096;90;5;5;149950720;134789082;7600918;7560720;29988184;33,346467;18447232;18961472;0,972880
x86_64;diascld45;avl-std;uniform;0,990000;8;65536;1000;500;4096;90;5;5;151751040;136407523;7692157;7651360;30347938;32,951168;18687232;19174592;0,974583
x86_64;diascld45;avl-std;uniform;0,990000;8;65536;1000;500;4096;90;5;5;148869120;133817214;7546256;7505650;29771454;33,589222;18271104;18803968;0,971662
x86_64;diascld45;avl-std;uniform;0,990000;12;65536;1000;500;4096;90;5;5;193713984;174425543;9496870;9791571;38740684;25,812657;15817920;16464640;0,960721
x86_64;diascld45;avl-std;uniform;0,990000;12;65536;1000;500;4096;90;5;5;193093376;173866995;9465789;9760592;38616580;25,895612;15792768;16410688;0,962346
x86_64;diascld45;avl-std;uniform;0,990000;12;65536;1000;500;4096;90;5;5;194212608;174874942;9520337;9817329;38840407;25,746383;15856192;16524608;0,959550
x86_64;diascld45;avl-std;zipfian;0,990000;1;65536;1000;500;4096;90;5;5;42633728;38345392;2279485;2008851;8526331;117,283732;0;0;1,000000
x86_64;diascld45;avl-std;zipfian;0,990000;1;65536;1000;500;4096;90;5;5;42668352;38376515;2281340;2010497;8533263;117,188463;0;0;1,000000
