arch;lock;dist;zipf_theta;threads;buckets;key_range;prefill;stream_len;read_pct;insert_pct;delete_pct;n;ops_s_median;ops_s_mean;ops_s_p25;ops_s_p75;ops_s_min;ops_s_max;ops_s_cov_pct;ns_op_median;ns_op_mean;ns_op_p25;ns_op_p75;ns_op_min;ns_op_max;ns_op_cov_pct;fairness_ratio_median;fairness_ratio_mean;fairness_ratio_p25;fairness_ratio_p75;fairness_ratio_min;fairness_ratio_max;fairness_ratio_cov_pct
x86_64;cds-cas;uniform;0,990000;1;256;5000000;0;4096;30;65;5;3;3,02076e+07;3,01933e+07;3,01372e+07;3,02351e+07;3,01372e+07;3,02351e+07;0,167274;33,1043;33,12;33,0742;33,1816;33,0742;33,1816;0,167384;1;1;1;1;1;1;0
x86_64;cds-cas;uniform;0,990000;1;65536;1000;500;4096;50;25;25;3;4,96081e+07;4,96741e+07;4,96079e+07;4,98062e+07;4,96079e+07;4,98062e+07;0,230355;20,158;20,1313;20,0778;20,1581;20,0778;20,1581;0,230048;1;1;1;1;1;1;0
x86_64;cds-cas;uniform;0,990000;1;65536;1000;500;4096;90;5;5;3;7,98064e+07;7,98061e+07;7,9764e+07;7,98479e+07;7,9764e+07;7,98479e+07;0,05254;12,5303;12,5304;12,5238;12,537;12,5238;12,537;0,0525412;1;1;1;1;1;1;0
x86_64;cds-cas;uniform;0,990000;1;65536;100000;50000;4096;50;25;25;3;5,06861e+07;5,06677e+07;5,05581e+07;5,07589e+07;5,05581e+07;5,07589e+07;0,200571;19,7293;19,7365;19,701;19,7792;19,701;19,7792;0,200677;1;1;1;1;1;1;0
x86_64;cds-cas;uniform;0,990000;1;65536;100000;50000;4096;90;5;5;3;6,108e+07;6,10396e+07;6,0843e+07;6,11958e+07;6,0843e+07;6,11958e+07;0,29464;16,372;16,3829;16,341;16,4357;16,341;16,4357;0,294918;1;1;1;1;1;1;0
x86_64;cds-cas;uniform;0,990000;12;256;5000000;0;4096;30;65;5;3;4,22701e+07;4,23517e+07;4,20574e+07;4,27277e+07;4,20574e+07;4,27277e+07;0,808717;23,6574;23,6128;23,404;23,777;23,404;23,777;0,806534;0,959297;0,956201;0,94571;0,963596;0,94571;0,963596;0,976393
x86_64;cds-cas;uniform;0,990000;12;65536;1000;500;4096;50;25;25;3;1,44746e+07;1,5356e+07;1,42949e+07;1,72984e+07;1,42949e+07;1,72984e+07;10,97;69,0866;65,6168;57,809;69,9548;57,809;69,9548;10,3261;0,971159;0,971439;0,955912;0,987247;0,955912;0,987247;1,61301
x86_64;cds-cas;uniform;0,990000;12;65536;1000;500;4096;90;5;5;3;5,07361e+07;5,01291e+07;4,86065e+07;5,10448e+07;4,86065e+07;5,10448e+07;2,64848;19,7098;19,958;19,5906;20,5734;19,5906;20,5734;2,68719;0,977949;0,97826;0,974041;0,982791;0,974041;0,982791;0,448071
x86_64;cds-cas;uniform;0,990000;12;65536;100000;50000;4096;50;25;25;3;5,77643e+07;5,57467e+07;4,52957e+07;6,41802e+07;4,52957e+07;6,41802e+07;17,2253;17,3117;18,3233;15,5811;22,0771;15,5811;22,0771;18,3595;0,954034;0,960717;0,953705;0,974411;0,953705;0,974411;1,23458
x86_64;cds-cas;uniform;0,990000;12;65536;100000;50000;4096;90;5;5;3;1,90245e+08;1,8869e+08;1,84666e+08;1,9116e+08;1,84666e+08;1,9116e+08;1,86311;5,25637;5,30093;5,23121;5,41519;5,23121;5,41519;1,88187;0,970983;0,970186;0,968094;0,971482;0,968094;0,971482;0,188532
