arch;hostname;lock;dist;zipf_theta;threads;buckets;key_range;prefill;stream_len;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
x86_64;diascld45;cds-std;uniform;0,990000;1;65536;1000;500;4096;90;5;5;207031232;186206814;11069294;9755124;41405213;24,151548;0;0;1,000000
x86_64;diascld45;cds-std;uniform;0,990000;1;65536;1000;500;4096;90;5;5;206035520;185311244;11016063;9708213;41205195;24,268784;0;0;1,000000
x86_64;diascld45;cds-std;uniform;0,990000;1;65536;1000;500;4096;90;5;5;206737088;185942241;11053571;9741276;41345647;24,186342;0;0;1,000000
x86_64;diascld45;cds-std;uniform;0,990000;2;65536;1000;500;4096;90;5;5;159343936;143704582;8286572;7352782;31867342;31,380088;79542464;79801472;0,996754
x86_64;diascld45;cds-std;uniform;0,990000;2;65536;1000;500;4096;90;5;5;158297920;142762184;8231606;7304130;31658441;31,587152;79083520;79214400;0,998348
x86_64;diascld45;cds-std;uniform;0,990000;2;65536;1000;500;4096;90;5;5;157463872;142010644;8187838;7265390;31491953;31,754143;78529728;78934144;0,994877
x86_64;diascld45;cds-std;uniform;0,990000;4;65536;1000;500;4096;90;5;5;192771712;173296319;10012949;9462444;38552443;25,938693;47952064;48449728;0,989728
x86_64;diascld45;cds-std;uniform;0,990000;4;65536;1000;500;4096;90;5;5;198967552;178867365;10331467;9768720;39792360;25,130452;49297024;50493120;0,976312
x86_64;diascld45;cds-std;uniform;0,990000;4;65536;1000;500;4096;90;5;5;198868736;178777449;10329878;9761409;39772146;25,143224;49455296;50012288;0,988863
x86_64;diascld45;cds-std;uniform;0,990000;8;65536;1000;500;4096;90;5;5;238625024;214493668;12097177;12034179;47722213;20,954602;29421376;30125120;0,976639
x86_64;diascld45;cds-std;uniform;0,990000;8;65536;1000;500;4096;90;5;5;226618176;203697278;11489080;11431818;45320224;22,065204;27755200;28611136;0,970084
x86_64;diascld45;cds-std;uniform;0,990000;8;65536;1000;500;4096;90;5;5;210646464;189343549;10679176;10623739;42126553;23,737997;25945920;26582784;0,976042
x86_64;diascld45;cds-std;uniform;0,990000;12;65536;1000;500;4096;90;5;5;204587264;184210804;10027549;10348911;40913688;24,441697;16767808;17320704;0,968079
x86_64;diascld45;cds-std;uniform;0,990000;12;65536;1000;500;4096;90;5;5;212805824;191610661;10432607;10762556;42556891;23,497957;17414784;18090496;0,962648
x86_64;diascld45;cds-std;uniform;0,990000;12;65536;1000;500;4096;90;5;5;237542976;213881087;11647701;12014188;47503978;21,050868;19520320;20046976;0,973729
x86_64;diascld45;cds-std;zipfian;0,990000;1;65536;1000;500;4096;90;5;5;206227456;185483858;11026324;9717274;41243786;24,246077;0;0;1,000000
x86_64;diascld45;cds-std;zipfian;0,990000;1;65536;1000;500;4096;90;5;5;207604224;186722161;11099927;9782136;41519184;24,085252;0;0;1,000000
x86_64;diascld45;cds-std;zipfian;0,990000;1;65536;1000;500;4096;90;5;5;207452672;186585835;11091830;9775007;41489373;24,102557;0;0;1,000000
x86_64;diascld45;cds-std;zipfian;0,990000;2;65536;1000;500;4096;90;5;5;103378432;93231204;5376586;4770642;20675021;48,367544;51447744;51930688;0,990700
x86_64;diascld45;cds-std;zipfian;0,990000;2;65536;1000;500;4096;90;5;5;103531520;93371507;5383219;4776794;20705377;48,296631;51554624;51976896;0,991876
x86_64;diascld45;cds-std;zipfian;0,990000;2;65536;1000;500;4096;90;5;5;101516992;91554849;5278371;4683772;20302911;49,254019;50515968;51001024;0,990489
x86_64;diascld45;cds-std;zipfian;0,990000;4;65536;1000;500;4096;90;5;5;113392832;101934095;5890875;5567862;22677882;44,095827;27660800;28620160;0,966480
x86_64;diascld45;cds-std;zipfian;0,990000;4;65536;1000;500;4096;90;5;5;113014528;101594129;5869880;5550519;22602156;44,243566;27439232;28739840;0,954745
x86_64;diascld45;cds-std;zipfian;0,990000;4;65536;1000;500;4096;90;5;5;112762304;101367126;5858401;5536777;22551793;44,342370;27490240;28502464;0,964486
x86_64;diascld45;cds-std;zipfian;0,990000;8;65536;1000;500;4096;90;5;5;117938624;106009098;5979218;5950308;23585867;42,398271;14087744;14996736;0,939387
x86_64;diascld45;cds-std;zipfian;0,990000;8;65536;1000;500;4096;90;5;5;118815936;106797566;6023025;5995345;23762044;42,083920;14137472;15146240;0,933398
x86_64;diascld45;cds-std;zipfian;0,990000;8;65536;1000;500;4096;90;5;5;118319872;106350838;5999407;5969627;23662296;42,261324;14207040;15132992;0,938812
x86_64;diascld45;cds-std;zipfian;0,990000;12;65536;1000;500;4096;90;5;5;117822080;106084233;5778925;5958922;23562944;42,439517;9319040;10071552;0,925283
x86_64;diascld45;cds-std;zipfian;0,990000;12;65536;1000;500;4096;90;5;5;115159040;103685461;5648796;5824783;23030510;43,420661;9050496;9929536;0,911472
x86_64;diascld45;cds-std;zipfian;0,990000;12;65536;1000;500;4096;90;5;5;115108096;103639723;5646121;5822252;23020276;43,439964;9060480;9897536;0,915428
x86_64;diascld45;cds-std;zipfian;1,200000;1;65536;1000;500;4096;90;5;5;207578048;186698602;11098536;9780910;41513932;24,088299;0;0;1,000000
x86_64;diascld45;cds-std;zipfian;1,200000;1;65536;1000;500;4096;90;5;5;208522176;187547768;11149020;9825388;41703464;23,978823;0;0;1,000000
x86_64;diascld45;cds-std;zipfian;1,200000;1;65536;1000;500;4096;90;5;5;208955584;187937606;11172184;9845794;41790154;23,929081;0;0;1,000000
x86_64;diascld45;cds-std;zipfian;1,200000;2;65536;1000;500;4096;90;5;5;80413376;72519835;4182499;3711042;16082242;62,180384;39914752;40498624;0,985583
x86_64;diascld45;cds-std;zipfian;1,200000;2;65536;1000;500;4096;90;5;5;80685504;72767986;4195012;3722506;16136582;61,970992;40073408;40612096;0,986736
x86_64;diascld45;cds-std;zipfian;1,200000;2;65536;1000;500;4096;90;5;5;80820480;72886319;4204069;3730092;16163585;61,867462;39986112;40834368;0,979227
x86_64;diascld45;cds-std;zipfian;1,200000;4;65536;1000;500;4096;90;5;5;85012800;76422330;4416138;4174332;17001767;58,817413;20765248;21463040;0,967489
x86_64;diascld45;cds-std;zipfian;1,200000;4;65536;1000;500;4096;90;5;5;84241856;75729464;4376093;4136299;16847848;59,354761;20737152;21250880;0,975826
x86_64;diascld45;cds-std;zipfian;1,200000;4;65536;1000;500;4096;90;5;5;82621248;74272809;4292605;4055834;16523659;60,519281;20326976;20817728;0,976426
x86_64;diascld45;cds-std;zipfian;1,200000;8;65536;1000;500;4096;90;5;5;78257088;70341825;3966642;3948621;15650332;63,896407;9385152;9987200;0,939718
x86_64;diascld45;cds-std;zipfian;1,200000;8;65536;1000;500;4096;90;5;5;77952832;70068388;3951558;3932886;15589866;64,144231;9395200;9939200;0,945267
x86_64;diascld45;cds-std;zipfian;1,200000;8;65536;1000;500;4096;90;5;5;76916352;69136460;3899889;3880003;15382169;65,010337;9285056;9851520;0,942500
x86_64;diascld45;cds-std;zipfian;1,200000;12;65536;1000;500;4096;90;5;5;72701184;65459751;3564391;3677042;14538937;68,780816;5796928;6235904;0,929605
x86_64;diascld45;cds-std;zipfian;1,200000;12;65536;1000;500;4096;90;5;5;74766016;67318799;3665673;3781544;14952352;66,879108;6008192;6415296;0,936542
x86_64;diascld45;cds-std;zipfian;1,200000;12;65536;1000;500;4096;90;5;5;73120576;65838386;3583461;3698729;14623290;68,384062;5859968;6322880;0,926788
x86_64;diascld45;cds-std;zipfian;1,500000;1;65536;1000;500;4096;90;5;5;213070400;191638506;11392192;10039702;42612369;23,467364;0;0;1,000000
x86_64;diascld45;cds-std;zipfian;1,500000;1;65536;1000;500;4096;90;5;5;213241472;191792380;11401340;10047752;42647257;23,448166;0;0;1,000000
x86_64;diascld45;cds-std;zipfian;1,500000;1;65536;1000;500;4096;90;5;5;213190528;191746564;11398620;10045344;42636327;23,454178;0;0;1,000000
x86_64;diascld45;cds-std;zipfian;1,500000;2;65536;1000;500;4096;90;5;5;67562176;60925726;3516718;3119732;13512083;74,007829;32638144;34924032;0,934547
x86_64;diascld45;cds-std;zipfian;1,500000;2;65536;1000;500;4096;90;5;5;67600256;60965853;3515228;3119175;13519700;73,966135;33760320;33839936;0,997647
x86_64;diascld45;cds-std;zipfian;1,500000;2;65536;1000;500;4096;90;5;5;68359040;61646968;3556613;3155459;13671441;73,145176;33564480;34794560;0,964647
x86_64;diascld45;cds-std;zipfian;1,500000;4;65536;1000;500;4096;90;5;5;66550720;59826392;3458404;3265924;13309780;75,132718;16481728;16800128;0,981048
x86_64;diascld45;cds-std;zipfian;1,500000;4;65536;1000;500;4096;90;5;5;65663040;59030478;3410169;3222393;13132247;76,148426;16150208;16788160;0,962000
x86_64;diascld45;cds-std;zipfian;1,500000;4;65536;1000;500;4096;90;5;5;66267520;59574395;3439480;3253645;13253144;75,453792;16140672;17041344;0,947148
x86_64;diascld45;cds-std;zipfian;1,500000;8;65536;1000;500;4096;90;5;5;56654016;50924925;2872222;2856869;11330285;88,259032;6967680;7180288;0,970390
x86_64;diascld45;cds-std;zipfian;1,500000;8;65536;1000;500;4096;90;5;5;55127424;49549598;2796668;2781158;11025004;90,702909;6720896;7060608;0,951886
x86_64;diascld45;cds-std;zipfian;1,500000;8;65536;1000;500;4096;90;5;5;55410688;49806835;2809519;2794334;11081688;90,238959;6806592;7030464;0,968157
x86_64;diascld45;cds-std;zipfian;1,500000;12;65536;1000;500;4096;90;5;5;52025984;46845301;2549590;2631093;10404615;96,111188;4237632;4455552;0,951090
x86_64;diascld45;cds-std;zipfian;1,500000;12;65536;1000;500;4096;90;5;5;51182720;46084509;2509837;2588374;10235958;97,694811;4066176;4421824;0,919570
x86_64;diascld45;cds-std;zipfian;1,500000;12;65536;1000;500;4096;90;5;5;52450432;47227763;2569923;2652746;10489132;95,336768;4216064;4501504;0,936590
x86_64;diascld45;cds-std;uniform;0,990000;1;65536;100000;50000;4096;90;5;5;154027520;138534524;8235362;7257634;30804052;32,463261;0;0;1,000000
x86_64;diascld45;cds-std;uniform;0,990000;1;65536;100000;50000;4096;90;5;5;153478080;138040329;8205985;7231766;30694162;32,579485;0;0;1,000000
x86_64;diascld45;cds-std;uniform;0,990000;1;65536;100000;50000;4096;90;5;5;152381760;137054304;8147364;7180092;30475047;32,813730;0;0;1,000000
x86_64;diascld45;cds-std;uniform;0,990000;2;65536;100000;50000;4096;90;5;5;259161408;233730722;13474142;11956544;51829734;19,293944;128638464;130522944;0,985562
x86_64;diascld45;cds-std;uniform;0,990000;2;65536;100000;50000;4096;90;5;5;257787904;232488483;13404833;11894588;51555440;19,396595;128676800;129111104;0,996636
x86_64;diascld45;cds-std;uniform;0,990000;2;65536;100000;50000;4096;90;5;5;257284864;232038837;13376276;11869751;51455339;19,434329;127604736;129680128;0,983996
x86_64;diascld45;cds-std;uniform;0,990000;4;65536;100000;50000;4096;90;5;5;405882048;364886759;21082499;19912790;81172557;12,319434;100940736;102219776;0,987487
x86_64;diascld45;cds-std;uniform;0,990000;4;65536;100000;50000;4096;90;5;5;405505536;364547784;21061458;19896294;81096963;12,330918;101053824;102004032;0,990685
x86_64;diascld45;cds-std;uniform;0,990000;4;65536;100000;50000;4096;90;5;5;404953536;364049599;21035069;19868868;80988484;12,347434;100647808;102059136;0,986171
x86_64;diascld45;cds-std;uniform;0,990000;8;65536;100000;50000;4096;90;5;5;642043456;577104305;32547748;32391403;128399184;7,788211;79681216;80831552;0,985769
x86_64;diascld45;cds-std;uniform;0,990000;8;65536;100000;50000;4096;90;5;5;644014400;578876698;32648453;32489249;128796889;7,764163;79943360;81208640;0,984419
x86_64;diascld45;cds-std;uniform;0,990000;8;65536;100000;50000;4096;90;5;5;644142656;578992722;32654760;32495174;128819473;7,762801;80175360;81057216;0,989121
x86_64;diascld45;cds-std;uniform;0,990000;12;65536;100000;50000;4096;90;5;5;813995136;732922530;39903980;41168626;162783270;6,143137;66899776;68412224;0,977892
x86_64;diascld45;cds-std;uniform;0,990000;12;65536;100000;50000;4096;90;5;5;813179392;732185946;39867798;41125648;162620209;6,149297;66656896;68214912;0,977160
x86_64;diascld45;cds-std;uniform;0,990000;12;65536;100000;50000;4096;90;5;5;809311104;728703921;39676440;40930743;161846154;6,178707;66492928;68002752;0,977798
x86_64;diascld45;cds-std;zipfian;0,990000;1;65536;100000;50000;4096;90;5;5;167306944;150478202;8945371;7883371;33460512;29,885973;0;0;1,000000
x86_64;diascld45;cds-std;zipfian;0,990000;1;65536;100000;50000;4096;90;5;5;167492608;150645193;8955296;7892119;33497577;29,852905;0;0;1,000000
x86_64;diascld45;cds-std;zipfian;0,990000;1;65536;100000;50000;4096;90;5;5;166566848;149812580;8905791;7848477;33312000;30,019212;0;0;1,000000
x86_64;diascld45;cds-std;zipfian;0,990000;2;65536;100000;50000;4096;90;5;5;152652032;137671607;7937294;7043131;30528956;32,755787;76014016;76638016;0,991858
x86_64;diascld45;cds-std;zipfian;0,990000;2;65536;100000;50000;4096;90;5;5;152073792;137149750;7907431;7016611;30413256;32,880399;75798336;76275456;0,993745
x86_64;diascld45;cds-std;zipfian;0,990000;2;65536;100000;50000;4096;90;5;5;151729664;136839983;7889185;7000496;30344458;32,954947;75502592;76227072;0,990496
x86_64;diascld45;cds-std;zipfian;0,990000;4;65536;100000;50000;4096;90;5;5;174682176;157025822;9078498;8577856;34935363;28,624291;42372032;44354816;0,955297
x86_64;diascld45;cds-std;zipfian;0,990000;4;65536;100000;50000;4096;90;5;5;176698816;158838289;9181411;8679116;35338573;28,297690;42719616;44845248;0,952601
x86_64;diascld45;cds-std;zipfian;0,990000;4;65536;100000;50000;4096;90;5;5;174896768;157218256;9089044;8589468;34978146;28,589279;42371008;44451264;0,953201
x86_64;diascld45;cds-std;zipfian;0,990000;8;65536;100000;50000;4096;90;5;5;192750656;173250872;9776207;9723577;38547035;25,942333;22791552;25216640;0,903830
x86_64;diascld45;cds-std;zipfian;0,990000;8;65536;100000;50000;4096;90;5;5;188620928;169540263;9566331;9514334;37721229;26,510271;22333888;24592128;0,908172
x86_64;diascld45;cds-std;zipfian;0,990000;8;65536;100000;50000;4096;90;5;5;188429888;169369303;9556898;9503687;37684272;26,536269;22314112;24669376;0,904527
x86_64;diascld45;cds-std;zipfian;0,990000;12;65536;100000;50000;4096;90;5;5;180218752;162262812;8843314;9112626;36039713;27,747168;14084160;16136768;0,872799
x86_64;diascld45;cds-std;zipfian;0,990000;12;65536;100000;50000;4096;90;5;5;179318656;161451382;8799398;9067876;35860262;27,886020;13952512;15992512;0,872440
x86_64;diascld45;cds-std;zipfian;0,990000;12;65536;100000;50000;4096;90;5;5;183085824;164843947;8983298;9258579;36614933;27,311261;14255936;16408576;0,868810
x86_64;diascld45;cds-std;zipfian;1,200000;1;65536;100000;50000;4096;90;5;5;166407104;149668901;8897252;7840951;33280579;30,047554;0;0;1,000000
x86_64;diascld45;cds-std;zipfian;1,200000;1;65536;100000;50000;4096;90;5;5;167799616;150921320;8971715;7906581;33559047;29,798224;0;0;1,000000
x86_64;diascld45;cds-std;zipfian;1,200000;1;65536;100000;50000;4096;90;5;5;167156736;150343129;8937332;7876275;33430216;29,913058;0;0;1,000000
x86_64;diascld45;cds-std;zipfian;1,200000;2;65536;100000;50000;4096;90;5;5;91143872;82198159;4739924;4205789;18227989;54,860686;45482432;45661440;0,996080
x86_64;diascld45;cds-std;zipfian;1,200000;2;65536;100000;50000;4096;90;5;5;89458816;80675752;4653936;4129128;17891301;55,893084;44081920;45376896;0,971462
x86_64;diascld45;cds-std;zipfian;1,200000;2;65536;100000;50000;4096;90;5;5;90521792;81637957;4707083;4176752;18103549;55,237787;45180288;45341504;0,996444
x86_64;diascld45;cds-std;zipfian;1,200000;4;65536;100000;50000;4096;90;5;5;92410880;83072257;4801606;4537017;18481681;54,107632;22640128;23335040;0,970220
x86_64;diascld45;cds-std;zipfian;1,200000;4;65536;100000;50000;4096;90;5;5;94481792;84933639;4907775;4640378;18895713;52,922055;23076992;23955968;0,963309
x86_64;diascld45;cds-std;zipfian;1,200000;4;65536;100000;50000;4096;90;5;5;95190400;85570340;4945693;4674367;19037551;52,527763;23269440;24092032;0,965856
x86_64;diascld45;cds-std;zipfian;1,200000;8;65536;100000;50000;4096;90;5;5;88065152;79156655;4465736;4442761;17611906;56,779769;10658880;11255360;0,947005
x86_64;diascld45;cds-std;zipfian;1,200000;8;65536;100000;50000;4096;90;5;5;86900096;78109626;4405824;4384646;17378631;57,541932;10430720;11099584;0,939740
x86_64;diascld45;cds-std;zipfian;1,200000;8;65536;100000;50000;4096;90;5;5;86444736;77700932;4382862;4360942;17288152;57,843080;10428736;11083520;0,940923
x86_64;diascld45;cds-std;zipfian;1,200000;12;65536;100000;50000;4096;90;5;5;80941376;72879369;3967552;4094455;16186544;61,779710;6491648;6951744;0,933816
x86_64;diascld45;cds-std;zipfian;1,200000;12;65536;100000;50000;4096;90;5;5;83029888;74759495;4070273;4200120;16604414;60,224948;6639424;7111744;0,933586
x86_64;diascld45;cds-std;zipfian;1,200000;12;65536;100000;50000;4096;90;5;5;84305152;75909716;4130884;4264552;16859381;59,314158;6713600;7307648;0,918709
x86_64;diascld45;cds-std;zipfian;1,500000;1;65536;100000;50000;4096;90;5;5;179188672;161164815;9580639;8443218;35836840;27,904245;0;0;1,000000
x86_64;diascld45;cds-std;zipfian;1,500000;1;65536;100000;50000;4096;90;5;5;178151808;160232237;9525209;8394362;35628778;28,067198;0;0;1,000000
x86_64;diascld45;cds-std;zipfian;1,500000;1;65536;100000;50000;4096;90;5;5;179143552;161124218;9578233;8441101;35827813;27,911276;0;0;1,000000
x86_64;diascld45;cds-std;zipfian;1,500000;2;65536;100000;50000;4096;90;5;5;65120192;58728656;3386572;3004964;13023661;76,783324;32490048;32630144;0,995707
x86_64;diascld45;cds-std;zipfian;1,500000;2;65536;100000;50000;4096;90;5;5;66061376;59577452;3435546;3048378;13211671;75,690648;32953280;33108096;0,995324
x86_64;diascld45;cds-std;zipfian;1,500000;2;65536;100000;50000;4096;90;5;5;64209024;57906660;3339362;2963002;12841415;77,873037;31978816;32230208;0,992200
x86_64;diascld45;cds-std;zipfian;1,500000;4;65536;100000;50000;4096;90;5;5;65447232;58836636;3399353;3211243;13089053;76,399718;16290432;16465344;0,989377
x86_64;diascld45;cds-std;zipfian;1,500000;4;65536;100000;50000;4096;90;5;5;64646912;58118254;3355262;3173396;12928863;77,346320;15707520;16582144;0,947255
x86_64;diascld45;cds-std;zipfian;1,500000;4;65536;100000;50000;4096;90;5;5;63556544;57134724;3303415;3118405;12710679;78,674002;15636800;16101888;0,971116
x86_64;diascld45;cds-std;zipfian;1,500000;8;65536;100000;50000;4096;90;5;5;53592832;48172351;2718092;2702389;10718048;93,300563;6563392;6847488;0,958511
x86_64;diascld45;cds-std;zipfian;1,500000;8;65536;100000;50000;4096;90;5;5;54693952;49163387;2772485;2758080;10938068;91,423818;6706176;6999808;0,958051
x86_64;diascld45;cds-std;zipfian;1,500000;8;65536;100000;50000;4096;90;5;5;54533184;49019824;2763965;2749395;10905744;91,694792;6618240;6982656;0,947811
x86_64;diascld45;cds-std;zipfian;1,500000;12;65536;100000;50000;4096;90;5;5;50237248;45233939;2462464;2540845;10046809;99,534084;4066880;4327616;0,939751
x86_64;diascld45;cds-std;zipfian;1,500000;12;65536;100000;50000;4096;90;5;5;50498432;45469840;2474786;2553806;10099117;99,018548;4117760;4323520;0,952409
x86_64;diascld45;cds-std;zipfian;1,500000;12;65536;100000;50000;4096;90;5;5;50639744;45597949;2480511;2561284;10126912;98,746785;4060224;4375680;0,927907
x86_64;diascld45;cds-std;uniform;0,990000;1;65536;1000;500;4096;50;25;25;145391552;71275934;36596359;37519259;29077634;34,390693;0;0;1,000000
x86_64;diascld45;cds-std;uniform;0,990000;1;65536;1000;500;4096;50;25;25;141950912;69589215;35730324;36631373;28389382;35,224436;0;0;1,000000
x86_64;diascld45;cds-std;uniform;0,990000;1;65536;1000;500;4096;50;25;25;142615424;69914990;35897584;36802850;28521818;35,060878;0;0;1,000000
x86_64;diascld45;cds-std;uniform;0,990000;2;65536;1000;500;4096;50;25;25;88862848;43574406;23036003;22252439;17772130;56,267874;44160448;44702400;0,987876
x86_64;diascld45;cds-std;uniform;0,990000;2;65536;1000;500;4096;50;25;25;89655296;43962894;23237035;22455367;17930615;55,770533;44261248;45394048;0,975045
x86_64;diascld45;cds-std;uniform;0,990000;2;65536;1000;500;4096;50;25;25;89652224;43961593;23245227;22445404;17929997;55,772457;44795840;44856384;0,998650
x86_64;diascld45;cds-std;uniform;0,990000;4;65536;1000;500;4096;50;25;25;87428544;43234253;21986856;22207435;17484948;57,192047;21633600;22063296;0,980524
x86_64;diascld45;cds-std;uniform;0,990000;4;65536;1000;500;4096;50;25;25;102053888;50478051;25655400;25920437;20409822;48,996015;25047680;26409792;0,948424
x86_64;diascld45;cds-std;uniform;0,990000;4;65536;1000;500;4096;50;25;25;97617600;48273840;24545470;24798290;19522638;51,222583;23971968;24919104;0,961992
x86_64;diascld45;cds-std;uniform;0,990000;8;65536;1000;500;4096;50;25;25;88895232;44096385;22307431;22491416;17777622;56,250491;10964800;11313024;0,969219
x86_64;diascld45;cds-std;uniform;0,990000;8;65536;1000;500;4096;50;25;25;87786176;43542478;22031462;22212236;17555978;56,960654;10918208;10993408;0,993160
x86_64;diascld45;cds-std;uniform;0,990000;8;65536;1000;500;4096;50;25;25;96867584;48051561;24308952;24507071;19372685;51,619070;11895424;12436480;0,956494
x86_64;diascld45;cds-std;uniform;0,990000;12;65536;1000;500;4096;50;25;25;86189056;42831583;21651897;21705576;17236816;58,015352;7072960;7314816;0,966936
x86_64;diascld45;cds-std;uniform;0,990000;12;65536;1000;500;4096;50;25;25;81698304;40601413;20522745;20574146;16338649;61,204568;6724288;6912128;0,972825
x86_64;diascld45;cds-std;uniform;0,990000;12;65536;1000;500;4096;50;25;25;81084224;40294685;20370042;20419497;16215344;61,669983;6668544;6865536;0,971307
x86_64;diascld45;cds-std;zipfian;0,990000;1;65536;1000;500;4096;50;25;25;147114240;72120464;37029959;37963817;29421675;33,988547;0;0;1,000000
x86_64;diascld45;cds-std;zipfian;0,990000;1;65536;1000;500;4096;50;25;25;147158464;72142125;37041122;37975217;29431015;33,977761;0;0;1,000000
x86_64;diascld45;cds-std;zipfian;0,990000;1;65536;1000;500;4096;50;25;25;146964160;72046899;36992194;37925067;29392116;34,022728;0;0;1,000000
x86_64;diascld45;cds-std;zipfian;0,990000;2;65536;1000;500;4096;50;25;25;66902208;32805969;17347713;16748526;13380035;74,738217;33352704;33549504;0,994134
x86_64;diascld45;cds-std;zipfian;0,990000;2;65536;1000;500;4096;50;25;25;68765120;33719421;17830173;17215526;13752697;72,713005;34321088;34444032;0,996431
x86_64;diascld45;cds-std;zipfian;0,990000;2;65536;1000;500;4096;50;25;25;68371136;33526243;17726598;17118295;13673890;73,132076;34154496;34216640;0,998184
x86_64;diascld45;cds-std;zipfian;0,990000;4;65536;1000;500;4096;50;25;25;72633472;35919961;18258461;18455050;14526287;68,840712;17595072;18431616;0,954614
x86_64;diascld45;cds-std;zipfian;0,990000;4;65536;1000;500;4096;50;25;25;70971712;35098126;17840071;18033515;14193962;70,452490;17150400;18026880;0,951379
x86_64;diascld45;cds-std;zipfian;0,990000;4;65536;1000;500;4096;50;25;25;71559424;35388433;17990072;18180919;14311463;69,874056;17416960;18199808;0,956986
x86_64;diascld45;cds-std;zipfian;0,990000;8;65536;1000;500;4096;50;25;25;76100352;37752972;19092860;19254520;15219024;65,707233;9086272;9820608;0,925225
x86_64;diascld45;cds-std;zipfian;0,990000;8;65536;1000;500;4096;50;25;25;79588544;39483365;19967959;20137220;15916437;62,828130;9464896;10151680;0,932348
x86_64;diascld45;cds-std;zipfian;0,990000;8;65536;1000;500;4096;50;25;25;74392512;36906779;18662738;18822995;14877342;67,216307;8897472;9479232;0,938628
x86_64;diascld45;cds-std;zipfian;0,990000;12;65536;1000;500;4096;50;25;25;71585472;35578487;17976644;18030341;14316240;69,850742;5619648;6185024;0,908590
x86_64;diascld45;cds-std;zipfian;0,990000;12;65536;1000;500;4096;50;25;25;71845120;35709419;18041042;18094659;14368260;69,597845;5672704;6185472;0,917101
x86_64;diascld45;cds-std;zipfian;0,990000;12;65536;1000;500;4096;50;25;25;70172288;34876355;17622192;17673741;14033626;71,257419;5494720;6114240;0,898676
x86_64;diascld45;cds-std;uniform;0,990000;1;65536;100000;50000;4096;50;25;25;138344512;67821250;34822533;35700729;27668159;36,142627;0;0;1,000000
x86_64;diascld45;cds-std;uniform;0,990000;1;65536;100000;50000;4096;50;25;25;138040704;67672282;34746098;35622324;27606994;36,222705;0;0;1,000000
x86_64;diascld45;cds-std;uniform;0,990000;1;65536;100000;50000;4096;50;25;25;137597312;67454939;34634475;35507898;27518732;36,338883;0;0;1,000000
x86_64;diascld45;cds-std;uniform;0,990000;2;65536;100000;50000;4096;50;25;25;222812352;109257598;57776293;55778461;44560537;22,441381;111002688;111809664;0,992783
x86_64;diascld45;cds-std;uniform;0,990000;2;65536;100000;50000;4096;50;25;25;223246720;109470461;57881272;55894987;44648108;22,397365;111522112;111724608;0,998188
x86_64;diascld45;cds-std;uniform;0,990000;2;65536;100000;50000;4096;50;25;25;221859200;108790180;57529247;55539773;44370544;22,537474;110522432;111336768;0,992686
x86_64;diascld45;cds-std;uniform;0,990000;4;65536;100000;50000;4096;50;25;25;316204224;156367185;79528557;80308482;63239032;15,813019;78850944;79192384;0,995688
x86_64;diascld45;cds-std;uniform;0,990000;4;65536;100000;50000;4096;50;25;25;314173056;155362043;79019731;79791282;62832901;15,915229;78434816;78629056;0,997530
x86_64;diascld45;cds-std;uniform;0,990000;4;65536;100000;50000;4096;50;25;25;318400384;157454860;80085256;80860268;63678213;15,703958;79086720;79936384;0,989371
x86_64;diascld45;cds-std;uniform;0,990000;8;65536;100000;50000;4096;50;25;25;338347776;167821964;84918753;85607059;67663781;14,778955;41728640;42938304;0,971828
x86_64;diascld45;cds-std;uniform;0,990000;8;65536;100000;50000;4096;50;25;25;331848448;164599776;83269446;83979226;66366605;15,067819;40883584;42128960;0,970439
x86_64;diascld45;cds-std;uniform;0,990000;8;65536;100000;50000;4096;50;25;25;338970880;168133134;85072676;85765070;67788423;14,751781;41825536;42958400;0,973629
x86_64;diascld45;cds-std;uniform;0,990000;12;65536;100000;50000;4096;50;25;25;253381056;125914781;63649804;63816471;50673063;19,734351;20839936;21414272;0,973180
x86_64;diascld45;cds-std;uniform;0,990000;12;65536;100000;50000;4096;50;25;25;253820416;126129846;63768364;63922206;50759126;19,700891;20596160;21714624;0,948493
x86_64;diascld45;cds-std;uniform;0,990000;12;65536;100000;50000;4096;50;25;25;288321536;143286707;72425907;72608922;57660809;17,342802;23680576;24606400;0,962375
x86_64;diascld45;cds-std;zipfian;0,990000;1;65536;100000;50000;4096;50;25;25;129484736;63477854;32592488;33414394;25896282;38,615581;0;0;1,000000
x86_64;diascld45;cds-std;zipfian;0,990000;1;65536;100000;50000;4096;50;25;25;128418944;62955380;32324199;33139365;25683132;38,936060;0;0;1,000000
