arch;lock;dist;zipf_theta;threads;buckets;key_range;prefill;stream_len;read_pct;insert_pct;delete_pct;n;ops_s_median;ops_s_mean;ops_s_p25;ops_s_p75;ops_s_min;ops_s_max;ops_s_cov_pct;ns_op_median;ns_op_mean;ns_op_p25;ns_op_p75;ns_op_min;ns_op_max;ns_op_cov_pct;fairness_ratio_median;fairness_ratio_mean;fairness_ratio_p25;fairness_ratio_p75;fairness_ratio_min;fairness_ratio_max;fairness_ratio_cov_pct
x86_64;wh-cas;uniform;0,990000;1;65536;1000;500;4096;50;25;25;3;9,51022e+06;9,51111e+06;9,4998e+06;9,5233e+06;9,4998e+06;9,5233e+06;0,123784;105,15;105,14;105,006;105,265;105,006;105,265;0,123765;1;1;1;1;1;1;0
x86_64;wh-cas;uniform;0,990000;1;65536;1000;500;4096;90;5;5;3;1,55625e+07;1,55589e+07;1,55367e+07;1,55776e+07;1,55367e+07;1,55776e+07;0,132807;64,2572;64,2719;64,1948;64,3636;64,1948;64,3636;0,132853;1;1;1;1;1;1;0
x86_64;wh-cas;uniform;0,990000;1;65536;100000;50000;4096;50;25;25;3;1,10629e+07;1,10543e+07;1,1027e+07;1,10731e+07;1,1027e+07;1,10731e+07;0,219135;90,3925;90,4625;90,3086;90,6865;90,3086;90,6865;0,219359;1;1;1;1;1;1;0
x86_64;wh-cas;uniform;0,990000;1;65536;100000;50000;4096;90;5;5;3;1,5405e+07;1,54167e+07;1,53688e+07;1,54763e+07;1,53688e+07;1,54763e+07;0,354813;64,9141;64,8653;64,6149;65,0669;64,6149;65,0669;0,354429;1;1;1;1;1;1;0
x86_64;wh-cas;uniform;0,990000;12;65536;1000;500;4096;50;25;25;3;9,24839e+06;9,27629e+06;9,20441e+06;9,37608e+06;9,20441e+06;9,37608e+06;0,961298;108,127;107,808;106,654;108,644;106,654;108,644;0,957424;0,902366;0,902402;0,899972;0,904868;0,899972;0,904868;0,271298
x86_64;wh-cas;uniform;0,990000;12;65536;1000;500;4096;90;5;5;3;8,40112e+06;8,19603e+06;7,7751e+06;8,41187e+06;7,7751e+06;8,41187e+06;4,44818;119,032;122,176;118,88;128,616;118,88;128,616;4,56531;0,886408;0,886405;0,885536;0,887272;0,885536;0,887272;0,0979239
x86_64;wh-cas;uniform;0,990000;12;65536;100000;50000;4096;50;25;25;3;7,57572e+07;7,57986e+07;7,57377e+07;7,59011e+07;7,57377e+07;7,59011e+07;0,117769;13,2001;13,1929;13,175;13,2035;13,175;13,2035;0,117696;0,962847;0,963191;0,959106;0,967619;0,959106;0,967619;0,442996
x86_64;wh-cas;uniform;0,990000;12;65536;100000;50000;4096;90;5;5;3;1,06804e+08;1,0681e+08;1,0661e+08;1,07017e+08;1,0661e+08;1,07017e+08;0,190911;9,36297;9,36242;9,34429;9,38002;9,34429;9,38002;0,190898;0,982883;0,982864;0,979823;0,985885;0,979823;0,985885;0,308389
x86_64;wh-cas;uniform;0,990000;2;65536;1000;500;4096;50;25;25;3;1,30383e+07;1,30419e+07;1,30294e+07;1,30581e+07;1,30294e+07;1,30581e+07;0,112657;76,697;76,6758;76,5808;76,7495;76,5808;76,7495;0,112611;0,980428;0,983014;0,979451;0,989162;0,979451;0,989162;0,543937
x86_64;wh-cas;uniform;0,990000;2;65536;1000;500;4096;90;5;5;3;1,83263e+07;1,83132e+07;1,82826e+07;1,83307e+07;1,82826e+07;1,83307e+07;0,145179;54,5665;54,6055;54,5533;54,6968;54,5533;54,6968;0,145298;0,991395;0,99056;0,988198;0,992088;0,988198;0,992088;0,209475
