arch;hostname;lock;dist;zipf_theta;threads;buckets;key_range;prefill;stream_len;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
x86_64;diascld45;wh-default;uniform;0,990000;1;65536;1000;500;4096;90;5;5;60127872;54079873;3214838;2833161;12025230;83,158492;0;0;1,000000
x86_64;diascld45;wh-default;uniform;0,990000;1;65536;1000;500;4096;90;5;5;59430080;53452232;3177540;2800308;11885676;84,134886;0;0;1,000000
x86_64;diascld45;wh-default;uniform;0,990000;1;65536;1000;500;4096;90;5;5;58124224;52277756;3107714;2738754;11624304;86,026654;0;0;1,000000
x86_64;diascld45;wh-default;uniform;0,990000;2;65536;1000;500;4096;90;5;5;75294080;67905083;3915008;3473989;15058132;66,409295;37503360;37790720;0,992396
x86_64;diascld45;wh-default;uniform;0,990000;2;65536;1000;500;4096;90;5;5;75065216;67698752;3903079;3463385;15012382;66,611679;37375360;37689856;0,991656
x86_64;diascld45;wh-default;uniform;0,990000;2;65536;1000;500;4096;90;5;5;75255424;67870152;3913046;3472226;15050682;66,442171;37499392;37756032;0,993203
x86_64;diascld45;wh-default;uniform;0,990000;4;65536;1000;500;4096;90;5;5;110884352;99684112;5758537;5441703;22176214;45,093359;27515520;27824960;0,988879
x86_64;diascld45;wh-default;uniform;0,990000;4;65536;1000;500;4096;90;5;5;110748288;99561258;5752457;5434573;22148742;45,149290;27474624;27843712;0,986744
x86_64;diascld45;wh-default;uniform;0,990000;4;65536;1000;500;4096;90;5;5;110440576;99285817;5735121;5419638;22087109;45,275278;27458048;27729216;0,990221
x86_64;diascld45;wh-default;uniform;0,990000;8;65536;1000;500;4096;90;5;5;140921664;126671826;7143485;7106353;28182150;35,483453;17374144;17946432;0,968111
x86_64;diascld45;wh-default;uniform;0,990000;8;65536;1000;500;4096;90;5;5;142136640;127764752;7204511;7167377;28425442;35,179752;17573184;18024448;0,974964
x86_64;diascld45;wh-default;uniform;0,990000;8;65536;1000;500;4096;90;5;5;141213696;126934297;7158595;7120804;28240473;35,410172;17404672;17959360;0,969114
x86_64;diascld45;wh-default;uniform;0,990000;12;65536;1000;500;4096;90;5;5;119733248;107814403;5865974;6052871;23945100;41,762196;9722240;10408448;0,934072
x86_64;diascld45;wh-default;uniform;0,990000;12;65536;1000;500;4096;90;5;5;123469248;111177350;6049980;6241918;24692380;40,498323;10038528;10693056;0,938789
x86_64;diascld45;wh-default;uniform;0,990000;12;65536;1000;500;4096;90;5;5;120097280;108141819;5884318;6071143;24017995;41,635448;9772160;10382464;0,941218
x86_64;diascld45;wh-default;zipfian;0,990000;1;65536;1000;500;4096;90;5;5;60752640;54641760;3248257;2862623;12149969;82,304735;0;0;1,000000
x86_64;diascld45;wh-default;zipfian;0,990000;1;65536;1000;500;4096;90;5;5;60621440;54523784;3241232;2856424;12123949;82,481373;0;0;1,000000
x86_64;diascld45;wh-default;zipfian;0,990000;1;65536;1000;500;4096;90;5;5;60754752;54643687;3248359;2862706;12150615;82,300355;0;0;1,000000
x86_64;diascld45;wh-default;zipfian;0,990000;2;65536;1000;500;4096;90;5;5;72929024;65771999;3792119;3364906;14585260;68,562366;36352128;36576896;0,993855
x86_64;diascld45;wh-default;zipfian;0,990000;2;65536;1000;500;4096;90;5;5;73087168;65914335;3800503;3372330;14616732;68,414741;36487872;36599296;0,996956
x86_64;diascld45;wh-default;zipfian;0,990000;2;65536;1000;500;4096;90;5;5;72920256;65764099;3791655;3364502;14583644;68,569965;36345472;36574784;0,993730
x86_64;diascld45;wh-default;zipfian;0,990000;4;65536;1000;500;4096;90;5;5;98100864;88191926;5096114;4812824;19619230;50,970398;24339648;24701632;0,985346
