lock;workload;threads;cs_work;read_pct;total_ops;read_ops;write_ops;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
tas;mutex;1;0;100;339521069;0;339521069;113164974;8,836656;0;0;1,000000
tas;mutex;1;0;100;339466583;0;339466583;113144149;8,838283;0;0;1,000000
tas;mutex;1;0;100;340985881;0;340985881;113652027;8,798787;0;0;1,000000
tas;mutex;1;0;100;237982551;0;237982551;79320634;12,607060;0;0;1,000000
tas;mutex;1;0;100;340593908;0;340593908;113523037;8,808785;0;0;1,000000
tas;mutex;2;0;100;66382671;0;66382671;22125074;45,197589;25054191;41328480;0,606221
tas;mutex;2;0;100;74659539;0;74659539;24883589;40,187128;8239552;66419987;0,124052
tas;mutex;2;0;100;67102522;0;67102522;22365248;44,712224;7445260;59657262;0,124801
tas;mutex;2;0;100;68041850;0;68041850;22677942;44,095711;7578409;60463441;0,125339
tas;mutex;2;0;100;67454531;0;67454531;22482343;44,479349;7384309;60070222;0,122928
tas;mutex;4;0;100;19647155;0;19647155;6548197;152,713781;3435093;6362613;0,539887
tas;mutex;4;0;100;17223068;0;17223068;5740287;174,207297;3077776;5998019;0,513132
tas;mutex;4;0;100;19018899;0;19018899;6338742;157,759987;3074683;6650879;0,462297
tas;mutex;4;0;100;19415584;0;19415584;6470937;154,537108;3460775;6255902;0,553202
tas;mutex;4;0;100;17108805;0;17108805;5702204;175,370773;3046848;5359288;0,568517
tas;mutex;6;0;100;10849556;0;10849556;3615908;276,555642;997936;2788868;0,357828
tas;mutex;6;0;100;10825133;0;10825133;3607711;277,184062;1178791;2717968;0,433703
tas;mutex;6;0;100;10330260;0;10330260;3442850;290,456990;1219880;2455031;0,496890
tas;mutex;6;0;100;10300397;0;10300397;3432835;291,304377;1189836;2454568;0,484744
tas;mutex;6;0;100;10818195;0;10818195;3605434;277,359061;1262489;2397939;0,526489
tas;mutex;8;0;100;7458851;0;7458851;2485746;402,293613;562553;1573222;0,357580
tas;mutex;8;0;100;7998820;0;7998820;2665659;375,141641;642362;1467740;0,437654
tas;mutex;8;0;100;8227567;0;8227567;2741930;364,706594;926822;1120098;0,827447
tas;mutex;8;0;100;7719414;0;7719414;2572595;388,712557;691077;1262759;0,547275
tas;mutex;8;0;100;8256161;0;8256161;2751455;363,443984;711970;1464410;0,486182
tas;mutex;16;0;100;3732673;0;3732673;1243861;803,947900;183099;357569;0,512066
tas;mutex;16;0;100;3975606;0;3975606;1324749;754,859757;186104;324388;0,573708
tas;mutex;16;0;100;3883815;0;3883815;1294093;772,741521;202317;302881;0,667975
tas;mutex;16;0;100;4063710;0;4063710;1354123;738,485105;158128;364396;0,433945
tas;mutex;16;0;100;4013509;0;4013509;1337338;747,753678;159424;356191;0,447580
tas;mutex;32;0;100;2300638;0;2300638;766521;1304,594000;39489;146941;0,268741
tas;mutex;32;0;100;2263884;0;2263884;754191;1325,923497;36730;121679;0,301860
tas;mutex;32;0;100;2372335;0;2372335;790410;1265,165665;45734;363327;0,125876
tas;mutex;32;0;100;2219976;0;2219976;739586;1352,106336;36209;119249;0,303642
tas;mutex;32;0;100;2200907;0;2200907;733253;1363,785572;30293;162848;0,186020
ttas;mutex;1;0;100;338074825;0;338074825;112683607;8,874405;0;0;1,000000
ttas;mutex;1;0;100;339236342;0;339236342;113068864;8,844168;0;0;1,000000
ttas;mutex;1;0;100;337088865;0;337088865;112353297;8,900495;0;0;1,000000
ttas;mutex;1;0;100;338491485;0;338491485;112819609;8,863707;0;0;1,000000
ttas;mutex;1;0;100;338632856;0;338632856;112867799;8,859923;0;0;1,000000
ttas;mutex;2;0;100;61308450;0;61308450;20433855;48,938390;11421214;49887236;0,228941
ttas;mutex;2;0;100;64414343;0;64414343;21469476;46,577753;8489762;55924581;0,151807
ttas;mutex;2;0;100;62914663;0;62914663;20969258;47,688859;11325294;51589369;0,219528
ttas;mutex;2;0;100;64393319;0;64393319;21461898;46,594201;8706023;55687296;0,156338
ttas;mutex;2;0;100;62452717;0;62452717;20815405;48,041341;23233252;39219465;0,592391
ttas;mutex;4;0;100;21204052;0;21204052;7067273;141,497288;4053281;7014073;0,577878
ttas;mutex;4;0;100;19313054;0;19313054;6436887;155,354575;3290913;8017274;0,410478
ttas;mutex;4;0;100;19897180;0;19897180;6631531;150,794734;3469549;7503975;0,462361
ttas;mutex;4;0;100;21475577;0;21475577;7157828;139,707181;3916865;7051308;0,555481
ttas;mutex;4;0;100;19402474;0;19402474;6466844;154,634925;2993150;8133958;0,367982
ttas;mutex;6;0;100;14966726;0;14966726;4988057;200,478836;1453002;3806853;0,381681
ttas;mutex;6;0;100;14566349;0;14566349;4854786;205,982287;1630350;3897296;0,418329
ttas;mutex;6;0;100;13592546;0;13592546;4530235;220,739077;1569571;3458964;0,453769
ttas;mutex;6;0;100;14625287;0;14625287;4874320;205,156801;1939336;3189434;0,608050
