lock;workload;threads;cs_work;read_pct;total_ops;read_ops;write_ops;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
tas;mutex;1;0;100;239369834;0;239369834;79781652;12,534210;0;0;1,000000
tas;mutex;1;0;100;343382112;0;343382112;114448559;8,737550;0;0;1,000000
tas;mutex;1;0;100;342550651;0;342550651;114172005;8,758714;0;0;1,000000
tas;mutex;1;0;100;344195058;0;344195058;114719984;8,716877;0;0;1,000000
tas;mutex;1;0;100;345031035;0;345031035;114998129;8,695794;0;0;1,000000
tas;mutex;2;0;100;70217563;0;70217563;23403137;42,729313;8282483;61935080;0,133728
tas;mutex;2;0;100;67217260;0;67217260;22403349;44,636182;8530510;58686750;0,145357
tas;mutex;2;0;100;66174545;0;66174545;22055495;45,340173;7625003;58549542;0,130232
tas;mutex;2;0;100;67330446;0;67330446;22441228;44,560840;6696341;60634105;0,110439
tas;mutex;2;0;100;65682876;0;65682876;21891965;45,678859;7985651;57697225;0,138406
tas;mutex;4;0;100;17243835;0;17243835;5747192;173,998006;2207934;5930706;0,372289
tas;mutex;4;0;100;17563439;0;17563439;5853740;170,830954;3064844;5599972;0,547296
tas;mutex;4;0;100;18129361;0;18129361;6042329;165,499097;3867206;5188211;0,745383
tas;mutex;4;0;100;15428567;0;15428567;5142146;194,471302;2095829;4866754;0,430642
tas;mutex;4;0;100;18635107;0;18635107;6210914;161,006891;3866001;5673741;0,681385
tas;mutex;6;0;100;10256211;0;10256211;3418160;292,555034;1102958;2451813;0,449854
tas;mutex;6;0;100;10639482;0;10639482;3545917;282,014492;1270969;2309842;0,550241
tas;mutex;6;0;100;9975379;0;9975379;3324530;300,794371;1036582;2314768;0,447812
tas;mutex;6;0;100;10558079;0;10558079;3518745;284,192226;1270147;2188337;0,580417
tas;mutex;6;0;100;9922039;0;9922039;3306810;302,406192;1201313;2402058;0,500118
tas;mutex;8;0;100;7772548;0;7772548;2590230;386,065961;676354;1330632;0,508295
tas;mutex;8;0;100;8000622;0;8000622;2666313;375,049610;760042;1147570;0,662306
tas;mutex;8;0;100;8103136;0;8103136;2700434;370,310727;809040;1234990;0,655098
tas;mutex;8;0;100;7809993;0;7809993;2602894;384,187628;688255;1350324;0,509696
