arch;hostname;lock;dist;zipf_theta;threads;buckets;key_range;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
xeon;diascld45;avl-std;uniform;0,990000;1;65536;1000000;80;10;10;3800310;3040922;379492;379896;1266671;789,470824;0;0;1,000000
xeon;diascld45;avl-std;uniform;0,990000;2;65536;1000000;80;10;10;7306597;5846378;728826;731393;2435344;410,619595;3634464;3672133;0,989742
xeon;diascld45;avl-std;uniform;0,990000;4;65536;1000000;80;10;10;11534068;9228343;1151769;1153956;3844309;260,124771;2818946;2947091;0,956518
xeon;diascld45;avl-std;uniform;0,990000;8;65536;1000000;80;10;10;21315153;17054628;2129161;2131364;7104067;140,764429;2629878;2701397;0,973525
xeon;diascld45;avl-std;uniform;0,990000;16;65536;1000000;80;10;10;36963303;29573683;3691574;3698046;12319420;81,172651;2292912;2329982;0,984090
xeon;diascld45;avl-std;uniform;0,990000;32;65536;1000000;80;10;10;57458096;45970763;5739332;5748001;19148219;52,224176;1691189;1897091;0,891464
xeon;diascld45;avl-std;uniform;0,990000;48;65536;1000000;80;10;10;55435860;44355379;5537815;5542666;18472682;54,133991;1016613;1325450;0,766995
xeon;diascld45;avl-tas;uniform;0,990000;1;65536;1000000;80;10;10;4394866;3516436;439562;438868;1464850;682,663437;0;0;1,000000
xeon;diascld45;avl-tas;uniform;0,990000;2;65536;1000000;80;10;10;8312552;6651133;829951;831468;2770652;360,925816;4148915;4163637;0,996464
xeon;diascld45;avl-tas;uniform;0,990000;4;65536;1000000;80;10;10;12891790;10314547;1287713;1289530;4296912;232,725261;3177302;3284900;0,967245
xeon;diascld45;avl-tas;uniform;0,990000;8;65536;1000000;80;10;10;23570980;18859186;2355631;2356163;7855850;127,293660;2907960;2995217;0,970868
xeon;diascld45;avl-tas;uniform;0,990000;16;65536;1000000;80;10;10;39790729;31835508;3974856;3980365;13261687;75,405185;2460764;2523767;0,975036
xeon;diascld45;avl-tas;uniform;0,990000;32;65536;1000000;80;10;10;56554279;45248666;5648575;5657038;18846332;53,060721;1628391;1927782;0,844697
xeon;diascld45;avl-tas;uniform;0,990000;48;65536;1000000;80;10;10;53821735;43063659;5378183;5379893;17934436;55,758651;847763;1389995;0,609904
xeon;diascld45;avl-ttas;uniform;0,990000;1;65536;1000000;80;10;10;4188713;3351370;418903;418440;1396137;716,261781;0;0;1,000000
xeon;diascld45;avl-ttas;uniform;0,990000;2;65536;1000000;80;10;10;8000895;6401431;798921;800543;2666769;374,985488;3980055;4020840;0,989857
xeon;diascld45;avl-ttas;uniform;0,990000;4;65536;1000000;80;10;10;12499696;10001200;1248189;1250307;4166202;240,026767;3069249;3192315;0,961449
xeon;diascld45;avl-ttas;uniform;0,990000;8;65536;1000000;80;10;10;22663822;18133438;2264629;2265755;7553596;132,387273;2789598;2879171;0,968889
xeon;diascld45;avl-ttas;uniform;0,990000;16;65536;1000000;80;10;10;38960584;31171134;3892202;3897248;12984972;77,012102;2410395;2460129;0,979784
xeon;diascld45;avl-ttas;uniform;0,990000;32;65536;1000000;80;10;10;57632776;46110394;5757512;5764870;19206289;52,066279;1688893;1909116;0,884647
xeon;diascld45;avl-ttas;uniform;0,990000;48;65536;1000000;80;10;10;56575895;45265828;5652301;5657766;18852375;53,043713;946772;1424937;0,664431
xeon;diascld45;avl-cas;uniform;0,990000;1;65536;1000000;80;10;10;4165087;3332405;416482;416200;1388262;720,324971;0;0;1,000000
xeon;diascld45;avl-cas;uniform;0,990000;2;65536;1000000;80;10;10;7332872;5867610;731624;733638;2444108;409,147201;3617133;3715739;0,973463
xeon;diascld45;avl-cas;uniform;0,990000;4;65536;1000000;80;10;10;12434041;9948642;1241658;1243741;4144336;241,293127;3044983;3174450;0,959216
xeon;diascld45;avl-cas;uniform;0,990000;8;65536;1000000;80;10;10;22893461;18316904;2287608;2288949;7630093;131,059986;2803289;2911154;0,962948
xeon;diascld45;avl-cas;uniform;0,990000;16;65536;1000000;80;10;10;38846063;31079241;3880595;3886227;12946853;77,238847;2374587;2476757;0,958748
xeon;diascld45;avl-cas;uniform;0,990000;32;65536;1000000;80;10;10;57705611;46169908;5763846;5771857;19230696;52,000197;1699060;1912499;0,888398
xeon;diascld45;avl-cas;uniform;0,990000;48;65536;1000000;80;10;10;56202876;44968237;5614891;5619748;18727790;53,396582;943667;1420802;0,664179
xeon;diascld45;avl-ticket;uniform;0,990000;1;65536;1000000;80;10;10;3084241;2468127;307529;308585;1028003;972,759658;0;0;1,000000
xeon;diascld45;avl-ticket;uniform;0,990000;2;65536;1000000;80;10;10;6082851;4866745;606925;609181;2027448;493,230803;3034306;3048545;0,995329
xeon;diascld45;avl-ticket;uniform;0,990000;4;65536;1000000;80;10;10;9694327;7756651;967312;970364;3231167;309,485677;2386277;2460922;0,969668
xeon;diascld45;avl-ticket;uniform;0,990000;8;65536;1000000;80;10;10;18679566;14946818;1864930;1867818;6225550;160,628361;2290289;2379662;0,962443
xeon;diascld45;avl-ticket;uniform;0,990000;16;65536;1000000;80;10;10;31791078;25436701;3174826;3179551;10595420;94,380399;1953875;2010288;0,971938
xeon;diascld45;avl-ticket;uniform;0,990000;32;65536;1000000;80;10;10;48367577;38697092;4831731;4838754;16118014;62,042380;1482150;1574463;0,941369
xeon;diascld45;avl-ticket;uniform;0,990000;48;65536;1000000;80;10;10;51259807;41013698;5121234;5124875;16449577;60,791835;995159;1139610;0,873245
xeon;diascld45;avl-std;zipfian;0,990000;1;65536;1000000;80;10;10;4781023;3825298;478311;477414;1593569;627,522054;0;0;1,000000
xeon;diascld45;avl-std;zipfian;0,990000;2;65536;1000000;80;10;10;9116476;7294285;910666;911525;3038597;329,099243;4555833;4560643;0,998945
xeon;diascld45;avl-std;zipfian;0,990000;4;65536;1000000;80;10;10;14388613;11511859;1437142;1439612;4795787;208,516319;3510460;3684260;0,952826
xeon;diascld45;avl-std;zipfian;0,990000;8;65536;1000000;80;10;10;25875445;20703162;2586083;2586200;8624102;115,954099;3179619;3288905;0,966771
xeon;diascld45;avl-std;zipfian;0,990000;16;65536;1000000;80;10;10;42688886;34154297;4264625;4269964;14226476;70,291473;2635072;2699144;0,976262
xeon;diascld45;avl-std;zipfian;0,990000;32;65536;1000000;80;10;10;59689984;47757319;5962416;5970249;19890515;50,275219;1723312;1990369;0,865825
xeon;diascld45;avl-std;zipfian;0,990000;48;65536;1000000;80;10;10;57715627;46177697;5766776;5771154;19232091;51,996424;1112914;1337068;0,832354
xeon;diascld45;avl-tas;zipfian;0,990000;1;65536;1000000;80;10;10;5554015;4444235;555768;554012;1851205;540,188467;0;0;1,000000
xeon;diascld45;avl-tas;zipfian;0,990000;2;65536;1000000;80;10;10;10413099;8332012;1040746;1040341;3470792;288,118663;5196250;5216849;0,996051
xeon;diascld45;avl-tas;zipfian;0,990000;4;65536;1000000;80;10;10;15974703;12780648;1596032;1598023;5324448;187,812880;3908412;4103118;0,952547
xeon;diascld45;avl-tas;zipfian;0,990000;8;65536;1000000;80;10;10;28483298;22786961;2847903;2848434;9493203;105,338522;3510856;3607780;0,973135
xeon;diascld45;avl-tas;zipfian;0,990000;16;65536;1000000;80;10;10;45642950;36516574;4560375;4566001;15211071;65,741587;2812098;2897720;0,970452
xeon;diascld45;avl-tas;zipfian;0,990000;32;65536;1000000;80;10;10;58170380;46541948;5810046;5818386;19385475;51,585012;1599208;2027521;0,788750
xeon;diascld45;avl-tas;zipfian;0,990000;48;65536;1000000;80;10;10;55160977;44133245;5511537;5516195;18379538;54,408330;952934;1346400;0,707764
xeon;diascld45;avl-ttas;zipfian;0,990000;1;65536;1000000;80;10;10;5190227;4152772;519544;517911;1729954;578,050005;0;0;1,000000
xeon;diascld45;avl-ttas;zipfian;0,990000;2;65536;1000000;80;10;10;8819946;7057290;881101;881555;2939724;340,167912;4395130;4424816;0,993291
xeon;diascld45;avl-ttas;zipfian;0,990000;4;65536;1000000;80;10;10;15351939;12282622;1533399;1535918;5116995;195,427173;3793039;3895358;0,973733
xeon;diascld45;avl-ttas;zipfian;0,990000;8;65536;1000000;80;10;10;27638139;22111035;2763328;2763776;9211364;108,561550;3405288;3489763;0,975793
xeon;diascld45;avl-ttas;zipfian;0,990000;16;65536;1000000;80;10;10;44901763;35924335;4486033;4491395;14963885;66,827564;2720507;2886514;0,942489
xeon;diascld45;avl-ttas;zipfian;0,990000;32;65536;1000000;80;10;10;60035498;48033809;5997013;6004676;20006937;49,982661;1659439;2099664;0,790336
xeon;diascld45;avl-ttas;zipfian;0,990000;48;65536;1000000;80;10;10;55839894;44676476;5580206;5583212;18607146;53,742793;848202;1492739;0,568219
xeon;diascld45;avl-cas;zipfian;0,990000;1;65536;1000000;80;10;10;5157824;4126803;516250;514771;1719154;581,681328;0;0;1,000000
xeon;diascld45;avl-cas;zipfian;0,990000;2;65536;1000000;80;10;10;9861070;7890156;985219;985695;3286726;304,254088;4920483;4940587;0,995931
xeon;diascld45;avl-cas;zipfian;0,990000;4;65536;1000000;80;10;10;15435175;12349274;1541686;1544215;5144633;194,377293;3826441;3891828;0,983199
xeon;diascld45;avl-cas;zipfian;0,990000;8;65536;1000000;80;10;10;27584039;22067901;2757858;2758280;9193426;108,773372;3382594;3489767;0,969289
xeon;diascld45;avl-cas;zipfian;0,990000;16;65536;1000000;80;10;10;44551383;35644077;4450649;4456657;14847495;67,351428;2705697;2849426;0,949559
xeon;diascld45;avl-cas;zipfian;0,990000;32;65536;1000000;80;10;10;58459110;46773577;5838847;5846686;19481704;51,330211;1629069;2030997;0,802103
xeon;diascld45;avl-cas;zipfian;0,990000;48;65536;1000000;80;10;10;57783418;46231926;5774442;5777050;19254672;51,935446;973294;1432042;0,679655
xeon;diascld45;avl-ticket;zipfian;0,990000;1;65536;1000000;80;10;10;4009272;3207806;400785;400681;1336320;748,323208;0;0;1,000000
xeon;diascld45;avl-ticket;zipfian;0,990000;2;65536;1000000;80;10;10;7886821;6310377;787353;789091;2628731;380,411585;3933608;3953213;0,995041
xeon;diascld45;avl-ticket;zipfian;0,990000;4;65536;1000000;80;10;10;12492159;9994847;1247713;1249599;4163786;240,166017;3041349;3183456;0,955361
xeon;diascld45;avl-ticket;zipfian;0,990000;8;65536;1000000;80;10;10;22740493;18195352;2271594;2273547;7579017;131,943217;2832145;2857576;0,991100
xeon;diascld45;avl-ticket;zipfian;0,990000;16;65536;1000000;80;10;10;38717401;30977305;3866863;3873233;12903695;77,497179;2356408;2499095;0,942905
xeon;diascld45;avl-ticket;zipfian;0,990000;32;65536;1000000;80;10;10;59137654;47314496;5907115;5916043;19707155;50,742989;1768422;1931860;0,915399
xeon;diascld45;avl-ticket;zipfian;0,990000;48;65536;1000000;80;10;10;57634602;46113016;5758589;5762997;19204365;52,071493;1024238;1378007;0,743275
xeon;diascld45;avl-std;uniform;0,990000;1;65536;1000000;90;5;5;4002877;3602792;199933;200152;1334199;749,513134;0;0;1,000000
xeon;diascld45;avl-std;uniform;0,990000;2;65536;1000000;90;5;5;7791586;7012098;389767;389721;2596999;385,059694;3885272;3906314;0,994613
xeon;diascld45;avl-std;uniform;0,990000;4;65536;1000000;90;5;5;12623277;11360751;631968;630558;4207418;237,675429;3074637;3234991;0,950431
xeon;diascld45;avl-std;uniform;0,990000;8;65536;1000000;90;5;5;24146025;21732284;1208307;1205434;8047529;124,261732;2951553;3067851;0,962091
xeon;diascld45;avl-std;uniform;0,990000;16;65536;1000000;90;5;5;45113337;40600917;2256450;2255970;15034399;66,514131;2779097;2845719;0,976589
xeon;diascld45;avl-std;uniform;0,990000;32;65536;1000000;90;5;5;76768111;69088568;3840631;3838912;25583215;39,088128;2324084;2492129;0,932570
xeon;diascld45;avl-std;uniform;0,990000;48;65536;1000000;90;5;5;101292784;91161325;5066001;5065458;33753100;29,626908;2075398;2135255;0,971967
xeon;diascld45;avl-tas;uniform;0,990000;1;65536;1000000;90;5;5;4585654;4127789;228832;229033;1528454;654,255555;0;0;1,000000
xeon;diascld45;avl-tas;uniform;0,990000;2;65536;1000000;90;5;5;7428416;6685178;371858;371380;2475943;403,886383;3666167;3762249;0,974462
xeon;diascld45;avl-tas;uniform;0,990000;4;65536;1000000;90;5;5;14215500;12793027;712089;710384;4738114;211,054402;3538928;3569916;0,991320
xeon;diascld45;avl-tas;uniform;0,990000;8;65536;1000000;90;5;5;26870939;24184226;1345295;1341418;8955719;111,660484;3288294;3415503;0,962755
xeon;diascld45;avl-tas;uniform;0,990000;16;65536;1000000;90;5;5;49704249;44734082;2485591;2484576;16564922;60,368528;3050206;3154935;0,966805
xeon;diascld45;avl-tas;uniform;0,990000;32;65536;1000000;90;5;5;84366949;75927450;4220461;4219038;28115780;35,567214;2554483;2764147;0,924149
xeon;diascld45;avl-tas;uniform;0,990000;48;65536;1000000;90;5;5;109533855;98577399;5479503;5476953;36499027;27,397990;2256427;2308483;0,977450
xeon;diascld45;avl-ttas;uniform;0,990000;1;65536;1000000;90;5;5;4401178;3961591;219739;219848;1466950;681,686462;0;0;1,000000
xeon;diascld45;avl-ttas;uniform;0,990000;2;65536;1000000;90;5;5;8403756;7563228;420366;420162;2801031;357,011282;4180632;4223124;0,989938
xeon;diascld45;avl-ttas;uniform;0,990000;4;65536;1000000;90;5;5;13580742;12222186;679892;678664;4526521;220,920198;3300186;3494270;0,944456
xeon;diascld45;avl-ttas;uniform;0,990000;8;65536;1000000;90;5;5;25919630;23328830;1297070;1293730;8638670;115,758552;3199819;3294747;0,971188
xeon;diascld45;avl-ttas;uniform;0,990000;16;65536;1000000;90;5;5;47866033;43078956;2393538;2393539;15951688;62,689289;2947411;3022491;0,975160
xeon;diascld45;avl-ttas;uniform;0,990000;32;65536;1000000;90;5;5;80844411;72757418;4044098;4042895;26941918;37,116882;2444574;2586193;0,945240
xeon;diascld45;avl-ttas;uniform;0,990000;48;65536;1000000;90;5;5;103990930;93588975;5201799;5200156;34652156;28,858233;2133322;2202084;0,968774
xeon;diascld45;avl-cas;uniform;0,990000;1;65536;1000000;90;5;5;4387996;3949773;219084;219139;1462570;683,727916;0;0;1,000000
xeon;diascld45;avl-cas;uniform;0,990000;2;65536;1000000;90;5;5;8388832;7549837;419561;419434;2796077;357,643881;4173688;4215144;0,990165
xeon;diascld45;avl-cas;uniform;0,990000;4;65536;1000000;90;5;5;13565329;12208150;679147;678032;4521395;221,170634;3315609;3468795;0,955839
xeon;diascld45;avl-cas;uniform;0,990000;8;65536;1000000;90;5;5;25883319;23296354;1295138;1291827;8626635;115,920044;3176163;3284849;0,966913
xeon;diascld45;avl-cas;uniform;0,990000;16;65536;1000000;90;5;5;47929608;43136236;2396690;2396682;15973002;62,605638;2935632;3035580;0,967074
xeon;diascld45;avl-cas;uniform;0,990000;32;65536;1000000;90;5;5;79800714;71817259;3992317;3991138;26593809;37,602737;2410805;2562490;0,940806
xeon;diascld45;avl-cas;uniform;0,990000;48;65536;1000000;90;5;5;102609844;92346455;5132010;5131379;34189486;29,248758;2116342;2154228;0,982413
