arch;hostname;lock;dist;zipf_theta;threads;buckets;key_range;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
xeon;diascld45;cds-std;uniform;0,990000;1;65536;1000000;80;10;10;11448985;9159404;1145450;1144131;3816088;262,048454;0;0;1,000000
xeon;diascld45;cds-std;uniform;0,990000;2;65536;1000000;80;10;10;21001286;16802834;2098897;2099555;6999839;142,860424;10474892;10526394;0,995107
xeon;diascld45;cds-std;uniform;0,990000;4;65536;1000000;80;10;10;24950573;19963822;2493352;2493399;8316167;120,247693;6179436;6259137;0,987266
xeon;diascld45;cds-std;uniform;0,990000;8;65536;1000000;80;10;10;31789730;25431662;3178877;3179191;10595048;94,383713;3947136;4005806;0,985354
xeon;diascld45;cds-std;uniform;0,990000;16;65536;1000000;80;10;10;42586846;34071967;4255245;4259634;14192330;70,460590;2503860;2847245;0,879397
xeon;diascld45;cds-std;uniform;0,990000;32;65536;1000000;80;10;10;63812435;51055831;6373892;6382712;21265257;47,025060;1820055;2213211;0,822359
xeon;diascld45;cds-std;uniform;0,990000;48;65536;1000000;80;10;10;76766676;61418330;7669864;7678482;25576711;39,098068;1567067;1642734;0,953938
xeon;diascld45;cds-tas;uniform;0,990000;1;65536;1000000;80;10;10;18017890;14417696;1797998;1802196;6005560;166,512339;0;0;1,000000
xeon;diascld45;cds-tas;uniform;0,990000;2;65536;1000000;80;10;10;32201747;25765116;3215166;3221465;10733187;93,168966;16079161;16122586;0,997307
xeon;diascld45;cds-tas;uniform;0,990000;4;65536;1000000;80;10;10;31454805;25168232;3143494;3143079;10484043;95,383043;7427754;8284847;0,896547
xeon;diascld45;cds-tas;uniform;0,990000;8;65536;1000000;80;10;10;40305165;32245325;4030385;4029455;13433240;74,442200;4687250;5416279;0,865400
xeon;diascld45;cds-tas;uniform;0,990000;16;65536;1000000;80;10;10;55276418;44222233;5525757;5528428;18421382;54,284741;3273040;3616899;0,904930
xeon;diascld45;cds-tas;uniform;0,990000;32;65536;1000000;80;10;10;51612668;41293607;5155934;5163127;17200254;58,138675;1379638;1863402;0,740387
xeon;diascld45;cds-tas;uniform;0,990000;48;65536;1000000;80;10;10;82528407;66027683;8246015;8254709;27478729;36,391784;1619899;1811830;0,894068
xeon;diascld45;cds-ttas;uniform;0,990000;1;65536;1000000;80;10;10;18044748;14439232;1800628;1804888;6014492;166,265081;0;0;1,000000
xeon;diascld45;cds-ttas;uniform;0,990000;2;65536;1000000;80;10;10;31699947;25364254;3164814;3170879;10565917;94,643934;15796807;15903140;0,993314
xeon;diascld45;cds-ttas;uniform;0,990000;4;65536;1000000;80;10;10;32043805;25639236;3202393;3202176;10680566;93,627993;7612173;8398781;0,906343
xeon;diascld45;cds-ttas;uniform;0,990000;8;65536;1000000;80;10;10;42261990;33810921;4227085;4223984;14085363;70,995682;4924290;5622747;0,875780
xeon;diascld45;cds-ttas;uniform;0,990000;16;65536;1000000;80;10;10;48209045;38569890;4817506;4821649;16066288;62,242130;2868777;3202417;0,895816
xeon;diascld45;cds-ttas;uniform;0,990000;32;65536;1000000;80;10;10;66079211;52870121;6600432;6608658;22021062;45,411069;1727801;2457445;0,703088
xeon;diascld45;cds-ttas;uniform;0,990000;48;65536;1000000;80;10;10;78744743;63001453;7867487;7875803;26216802;38,143476;1345495;2105542;0,639025
xeon;diascld45;cds-cas;uniform;0,990000;1;65536;1000000;80;10;10;17720848;14180315;1768431;1772102;5906576;169,302809;0;0;1,000000
xeon;diascld45;cds-cas;uniform;0,990000;2;65536;1000000;80;10;10;31861371;25493194;3181093;3187084;10619727;94,164376;15855642;16005729;0,990623
xeon;diascld45;cds-cas;uniform;0,990000;4;65536;1000000;80;10;10;32020025;25620001;3200181;3199843;10672648;93,697458;7694301;8301869;0,926816
xeon;diascld45;cds-cas;uniform;0,990000;8;65536;1000000;80;10;10;46041485;36835045;4603699;4602741;15344921;65,168142;5350117;6195491;0,863550
xeon;diascld45;cds-cas;uniform;0,990000;16;65536;1000000;80;10;10;42561454;34051318;4252457;4257679;14183888;70,502527;2527305;2793292;0,904777
xeon;diascld45;cds-cas;uniform;0,990000;32;65536;1000000;80;10;10;58527391;46826241;5846402;5854748;19504264;51,270839;1620800;2040075;0,794481
xeon;diascld45;cds-cas;uniform;0,990000;48;65536;1000000;80;10;10;82194757;65761394;8212457;8220906;27368241;36,538701;1674676;1745420;0,959469
xeon;diascld45;cds-ticket;uniform;0,990000;1;65536;1000000;80;10;10;14364100;11493460;1434658;1435982;4787688;208,869042;0;0;1,000000
xeon;diascld45;cds-ticket;uniform;0,990000;2;65536;1000000;80;10;10;26168563;20938432;2613541;2616590;8722262;114,649147;13054946;13113617;0,995526
xeon;diascld45;cds-ticket;uniform;0,990000;4;65536;1000000;80;10;10;29728364;23787297;2971363;2969704;9908693;100,921475;7319168;7546063;0,969932
xeon;diascld45;cds-ticket;uniform;0,990000;8;65536;1000000;80;10;10;39415704;31533439;3941621;3940644;13136698;76,122626;4656588;5206050;0,894457
xeon;diascld45;cds-ticket;uniform;0,990000;16;65536;1000000;80;10;10;39988441;31993621;3994878;3999942;13326490;75,038513;2427102;2586456;0,938389
xeon;diascld45;cds-ticket;uniform;0,990000;32;65536;1000000;80;10;10;62721306;50182791;6265317;6273198;20902120;47,842037;1565538;2424958;0,645594
xeon;diascld45;cds-ticket;uniform;0,990000;48;65536;1000000;80;10;10;79939237;63957493;7987270;7994474;26614204;37,573920;1585168;1753867;0,903813
xeon;diascld45;cds-std;zipfian;0,990000;1;65536;1000000;80;10;10;15735336;12590847;1571658;1572831;5244740;190,667220;0;0;1,000000
xeon;diascld45;cds-std;zipfian;0,990000;2;65536;1000000;80;10;10;25943587;20758557;2590996;2594034;8647219;115,644108;12959317;12984270;0,998078
xeon;diascld45;cds-std;zipfian;0,990000;4;65536;1000000;80;10;10;22502688;18005031;2249412;2248245;7500290;133,328175;5580824;5710934;0,977217
xeon;diascld45;cds-std;zipfian;0,990000;8;65536;1000000;80;10;10;29700237;23760592;2969354;2970291;9898672;101,023652;3544153;3907086;0,907109
xeon;diascld45;cds-std;zipfian;0,990000;16;65536;1000000;80;10;10;33499762;26803928;3345852;3349982;11164176;89,572210;2040899;2148491;0,949922
xeon;diascld45;cds-std;zipfian;0,990000;32;65536;1000000;80;10;10;42524111;34022638;4248349;4253124;14171392;70,564697;1233415;1427806;0,863853
xeon;diascld45;cds-std;zipfian;0,990000;48;65536;1000000;80;10;10;39628055;31707868;3959305;3960882;13204343;75,732654;812105;835947;0,971479
xeon;diascld45;cds-tas;zipfian;0,990000;1;65536;1000000;80;10;10;17421727;13940765;1739049;1741913;5806882;172,209447;0;0;1,000000
xeon;diascld45;cds-tas;zipfian;0,990000;2;65536;1000000;80;10;10;29743281;23798608;2970497;2974176;9913783;100,869663;14835609;14907672;0,995166
xeon;diascld45;cds-tas;zipfian;0,990000;4;65536;1000000;80;10;10;24723058;19781743;2470865;2470450;8240271;121,355223;5873897;6482381;0,906133
xeon;diascld45;cds-tas;zipfian;0,990000;8;65536;1000000;80;10;10;29546059;23636954;2954022;2955083;9847296;101,550717;3583475;3791718;0,945080
xeon;diascld45;cds-tas;zipfian;0,990000;16;65536;1000000;80;10;10;37326380;29864067;3728472;3733841;12439633;80,388218;2235162;2441679;0,915420
xeon;diascld45;cds-tas;zipfian;0,990000;32;65536;1000000;80;10;10;31404281;25126920;3136930;3140431;10465736;95,549889;744374;1223350;0,608472
xeon;diascld45;cds-tas;zipfian;0,990000;48;65536;1000000;80;10;10;29463984;23571794;2946287;2945903;9814094;101,894273;485319;760545;0,638120
xeon;diascld45;cds-ttas;zipfian;0,990000;1;65536;1000000;80;10;10;17538279;14034372;1750358;1753549;5845671;171,066740;0;0;1,000000
xeon;diascld45;cds-ttas;zipfian;0,990000;2;65536;1000000;80;10;10;28443520;22759025;2840474;2844021;9480523;105,479408;14218380;14225140;0,999525
xeon;diascld45;cds-ttas;zipfian;0,990000;4;65536;1000000;80;10;10;24882958;19909832;2486472;2486654;8293653;120,574116;6067637;6378787;0,951221
xeon;diascld45;cds-ttas;zipfian;0,990000;8;65536;1000000;80;10;10;31814867;25452119;3180914;3181834;10603550;94,308034;3826682;4128968;0,926789
xeon;diascld45;cds-ttas;zipfian;0,990000;16;65536;1000000;80;10;10;37162610;29733473;3711616;3717521;12384881;80,743606;2289601;2357495;0,971201
xeon;diascld45;cds-ttas;zipfian;0,990000;32;65536;1000000;80;10;10;34302178;27447335;3425691;3429152;11431289;87,479193;927576;1192081;0,778115
xeon;diascld45;cds-ttas;zipfian;0,990000;48;65536;1000000;80;10;10;33612086;26892793;3359606;3359687;11197305;89,307197;671263;757418;0,886252
xeon;diascld45;cds-cas;zipfian;0,990000;1;65536;1000000;80;10;10;17491251;13996566;1745781;1748904;5830043;171,525321;0;0;1,000000
xeon;diascld45;cds-cas;zipfian;0,990000;2;65536;1000000;80;10;10;28685214;22951894;2864673;2868647;9561081;104,590678;14332818;14352396;0,998636
xeon;diascld45;cds-cas;zipfian;0,990000;4;65536;1000000;80;10;10;24187907;19354477;2416706;2416724;8062021;124,038371;5932755;6175778;0,960649
xeon;diascld45;cds-cas;zipfian;0,990000;8;65536;1000000;80;10;10;28905258;23124745;2889715;2890798;9633742;103,801820;3562988;3668509;0,971236
xeon;diascld45;cds-cas;zipfian;0,990000;16;65536;1000000;80;10;10;40824469;32663076;4077793;4083600;13605262;73,500972;2427108;2664758;0,910817
xeon;diascld45;cds-cas;zipfian;0,990000;32;65536;1000000;80;10;10;35120502;28100275;3508600;3511627;11703976;85,441049;911439;1301019;0,700558
xeon;diascld45;cds-cas;zipfian;0,990000;48;65536;1000000;80;10;10;33585789;26871640;3356682;3357467;11188165;89,380154;632512;797542;0,793077
xeon;diascld45;cds-ticket;zipfian;0,990000;1;65536;1000000;80;10;10;15471526;12379400;1545428;1546698;5156837;193,917280;0;0;1,000000
xeon;diascld45;cds-ticket;zipfian;0,990000;2;65536;1000000;80;10;10;26490961;21196348;2645731;2648882;8829698;113,254155;13205422;13285539;0,993970
xeon;diascld45;cds-ticket;zipfian;0,990000;4;65536;1000000;80;10;10;24652400;19725316;2463597;2463487;8216803;121,701832;5966656;6404526;0,931631
xeon;diascld45;cds-ticket;zipfian;0,990000;8;65536;1000000;80;10;10;31492176;25193614;3149138;3149424;10495942;95,274908;3730007;4163746;0,895830
xeon;diascld45;cds-ticket;zipfian;0,990000;16;65536;1000000;80;10;10;37940380;30355481;3789976;3794923;12644250;79,087330;2275290;2480506;0,917268
xeon;diascld45;cds-ticket;zipfian;0,990000;32;65536;1000000;80;10;10;38212567;30574422;3817297;3820848;12734548;78,526538;1155035;1221262;0,945772
xeon;diascld45;cds-ticket;zipfian;0,990000;48;65536;1000000;80;10;10;40310088;32252619;4028289;4029180;13420906;74,510613;833963;847887;0,983578
xeon;diascld45;cds-std;uniform;0,990000;1;65536;1000000;90;5;5;12299377;11070134;614967;614276;4099492;243,932605;0;0;1,000000
xeon;diascld45;cds-std;uniform;0,990000;2;65536;1000000;90;5;5;22737365;20463516;1137156;1136693;7578648;131,949641;11260542;11476823;0,981155
xeon;diascld45;cds-std;uniform;0,990000;4;65536;1000000;90;5;5;30505197;27457811;1524179;1523207;10167618;98,351447;7496041;7765608;0,965287
xeon;diascld45;cds-std;uniform;0,990000;8;65536;1000000;90;5;5;45294307;40766217;2265815;2262275;15095965;66,242864;5481093;5866583;0,934291
xeon;diascld45;cds-std;uniform;0,990000;16;65536;1000000;90;5;5;62990876;56690855;3150421;3149600;20992458;47,636154;3874800;3997513;0,969303
xeon;diascld45;cds-std;uniform;0,990000;32;65536;1000000;90;5;5;86722956;78048057;4338154;4336745;28900851;34,601056;2492189;2908324;0,856916
xeon;diascld45;cds-std;uniform;0,990000;48;65536;1000000;90;5;5;105048360;94541394;5253980;5252986;34994250;28,576123;2090433;2302625;0,907848
xeon;diascld45;cds-tas;uniform;0,990000;1;65536;1000000;90;5;5;19840461;17856495;992131;991835;6613045;151,216249;0;0;1,000000
xeon;diascld45;cds-tas;uniform;0,990000;2;65536;1000000;90;5;5;35988748;32388438;1801639;1798671;11995425;83,365110;17977407;18011341;0,998116
xeon;diascld45;cds-tas;uniform;0,990000;4;65536;1000000;90;5;5;41080346;36972576;2054596;2053174;13692347;73,033493;9967292;10601042;0,940218
xeon;diascld45;cds-tas;uniform;0,990000;8;65536;1000000;90;5;5;56419906;50777908;2822575;2819423;18804021;53,180113;6725318;7445847;0,903231
xeon;diascld45;cds-tas;uniform;0,990000;16;65536;1000000;90;5;5;68214617;61392589;3411601;3410427;22733008;43,988898;4062510;4479732;0,906865
