arch;hostname;lock;dist;zipf_theta;threads;buckets;key_range;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
xeon;diascld45;cds-std;uniform;0,990000;1;65536;1000000;80;10;10;10913382;8733009;1088692;1091681;3637549;274,910320;0;0;1,000000
xeon;diascld45;cds-std;uniform;0,990000;2;65536;1000000;80;10;10;14316163;11453825;1429620;1432718;4771700;209,568893;6983477;7332686;0,952376
xeon;diascld45;cds-std;uniform;0,990000;4;65536;1000000;80;10;10;23430254;18746688;2340029;2343537;7809453;128,049932;5724546;6000565;0,954001
xeon;diascld45;cds-std;uniform;0,990000;8;65536;1000000;80;10;10;34122981;27298611;3411458;3412912;11372826;87,928893;4031996;4499592;0,896080
xeon;diascld45;cds-std;uniform;0,990000;16;65536;1000000;80;10;10;40356008;32284539;4036443;4035026;13449392;74,352801;2442112;2600069;0,939249
xeon;diascld45;cds-std;uniform;0,990000;32;65536;1000000;80;10;10;55645323;44519905;5559454;5565964;18543971;53,925882;1420260;2084647;0,681295
xeon;diascld45;cds-std;uniform;0,990000;48;65536;1000000;80;10;10;74835863;59868319;7481538;7486006;24936741;40,101470;1534818;1574689;0,974680
xeon;diascld45;cds-tas;uniform;0,990000;1;65536;1000000;80;10;10;17452863;13964573;1743450;1744840;5817223;171,903311;0;0;1,000000
xeon;diascld45;cds-tas;uniform;0,990000;2;65536;1000000;80;10;10;20371194;16298795;2033813;2038586;6789861;147,278412;10056738;10314456;0,975014
xeon;diascld45;cds-tas;uniform;0,990000;4;65536;1000000;80;10;10;30573874;24459570;3054986;3059318;10190627;98,129388;7224833;8068474;0,895440
xeon;diascld45;cds-tas;uniform;0,990000;8;65536;1000000;80;10;10;43098964;34482358;4306106;4310500;14364307;69,617002;5011527;5764128;0,869434
xeon;diascld45;cds-tas;uniform;0,990000;16;65536;1000000;80;10;10;48002630;38402397;4801494;4798739;15997352;62,510343;2826205;3172914;0,890729
xeon;diascld45;cds-tas;uniform;0,990000;32;65536;1000000;80;10;10;73526542;58828137;7348668;7349737;24503005;40,811320;1923896;2734211;0,703638
xeon;diascld45;cds-tas;uniform;0,990000;48;65536;1000000;80;10;10;80779320;64624321;8075496;8079503;26917431;37,150647;1667935;1712776;0,973820
xeon;diascld45;cds-ttas;uniform;0,990000;1;65536;1000000;80;10;10;17275992;13823046;1725692;1727254;5758251;173,663843;0;0;1,000000
xeon;diascld45;cds-ttas;uniform;0,990000;2;65536;1000000;80;10;10;20063595;16053618;2002453;2007524;6687388;149,535210;9763506;10300089;0,947905
xeon;diascld45;cds-ttas;uniform;0,990000;4;65536;1000000;80;10;10;30598847;24479850;3057898;3061099;10198819;98,050568;7321366;7988064;0,916538
xeon;diascld45;cds-ttas;uniform;0,990000;8;65536;1000000;80;10;10;36987571;29591419;3697055;3699097;12327413;81,120018;4541423;4692039;0,967900
xeon;diascld45;cds-ttas;uniform;0,990000;16;65536;1000000;80;10;10;48817754;39054122;4883098;4880534;16270234;61,461930;2910677;3179606;0,915421
xeon;diascld45;cds-ttas;uniform;0,990000;32;65536;1000000;80;10;10;73863927;59098946;7382562;7382419;24615445;40,624899;1896355;2789172;0,679899
xeon;diascld45;cds-ttas;uniform;0,990000;48;65536;1000000;80;10;10;74137699;59310531;7411253;7415915;24704300;40,478782;1492816;1581049;0,944193
xeon;diascld45;cds-cas;uniform;0,990000;1;65536;1000000;80;10;10;17276257;13823140;1725842;1727275;5758331;173,661404;0;0;1,000000
xeon;diascld45;cds-cas;uniform;0,990000;2;65536;1000000;80;10;10;19841792;15876250;1979858;1985684;6613435;151,207351;9357230;10484562;0,892477
xeon;diascld45;cds-cas;uniform;0,990000;4;65536;1000000;80;10;10;30370783;24296622;3034918;3039243;10122774;98,787145;7532846;7657121;0,983770
xeon;diascld45;cds-cas;uniform;0,990000;8;65536;1000000;80;10;10;38402577;30724533;3837356;3840688;12798923;78,131569;4504651;5125099;0,878939
xeon;diascld45;cds-cas;uniform;0,990000;16;65536;1000000;80;10;10;56776686;45420731;5679035;5676920;18922985;52,845784;3296547;3784310;0,871109
xeon;diascld45;cds-cas;uniform;0,990000;32;65536;1000000;80;10;10;50531678;40426192;5051147;5054339;16839879;59,382849;1280107;1930909;0,662956
xeon;diascld45;cds-cas;uniform;0,990000;48;65536;1000000;80;10;10;99793587;79838098;9976002;9979487;33252415;30,073003;1868381;2302216;0,811558
xeon;diascld45;cds-ticket;uniform;0,990000;1;65536;1000000;80;10;10;14081619;11269007;1405132;1407480;4693576;213,057151;0;0;1,000000
xeon;diascld45;cds-ticket;uniform;0,990000;2;65536;1000000;80;10;10;17946925;14360293;1791182;1795450;5981808;167,173533;8746402;9200523;0,950642
xeon;diascld45;cds-ticket;uniform;0,990000;4;65536;1000000;80;10;10;28650109;22920384;2862875;2866850;9549228;104,720497;7116037;7199776;0,988369
xeon;diascld45;cds-ticket;uniform;0,990000;8;65536;1000000;80;10;10;40711156;32571772;4068435;4070949;13569036;73,697200;4783638;5396549;0,886425
xeon;diascld45;cds-ticket;uniform;0,990000;16;65536;1000000;80;10;10;43482801;34785944;4348429;4348428;14491101;69,007866;2611255;2822565;0,925135
xeon;diascld45;cds-ticket;uniform;0,990000;32;65536;1000000;80;10;10;64315061;51457410;6427747;6429904;21433110;46,656785;1727949;2331139;0,741247
xeon;diascld45;cds-ticket;uniform;0,990000;48;65536;1000000;80;10;10;93730437;74989883;9369044;9371510;31232693;32,017732;1794684;2104847;0,852643
xeon;diascld45;cds-std;zipfian;0,990000;1;65536;1000000;80;10;10;15403787;12327174;1536880;1539733;5134206;194,772054;0;0;1,000000
xeon;diascld45;cds-std;zipfian;0,990000;2;65536;1000000;80;10;10;15215470;12173015;1519759;1522696;5071462;197,181767;7560688;7654782;0,987708
xeon;diascld45;cds-std;zipfian;0,990000;4;65536;1000000;80;10;10;23363741;18694053;2333657;2336031;7787351;128,413359;5749511;5937179;0,968391
xeon;diascld45;cds-std;zipfian;0,990000;8;65536;1000000;80;10;10;31069003;24854861;3107838;3106304;10354874;96,572873;3763100;3996741;0,941542
xeon;diascld45;cds-std;zipfian;0,990000;16;65536;1000000;80;10;10;33108656;26488534;3309788;3310334;11033805;90,630565;2060416;2078017;0,991530
xeon;diascld45;cds-std;zipfian;0,990000;32;65536;1000000;80;10;10;41297542;33038928;4126697;4131917;13762748;72,659904;1175315;1402096;0,838256
xeon;diascld45;cds-std;zipfian;0,990000;48;65536;1000000;80;10;10;43832386;35067134;4379462;4385790;14605929;68,465343;884720;927636;0,953736
xeon;diascld45;cds-tas;zipfian;0,990000;1;65536;1000000;80;10;10;17033430;13629581;1700738;1703111;5677499;176,133889;0;0;1,000000
xeon;diascld45;cds-tas;zipfian;0,990000;2;65536;1000000;80;10;10;16382749;13107849;1635601;1639299;5460620;183,129388;7674589;8708160;0,881310
xeon;diascld45;cds-tas;zipfian;0,990000;4;65536;1000000;80;10;10;25701493;20562582;2566824;2572087;8566669;116,731484;6109307;6733284;0,907329
xeon;diascld45;cds-tas;zipfian;0,990000;8;65536;1000000;80;10;10;32648426;26118716;3264418;3265292;10881341;91,900436;3979354;4182665;0,951392
xeon;diascld45;cds-tas;zipfian;0,990000;16;65536;1000000;80;10;10;36096079;28877557;3609222;3609300;12029276;83,130521;2153376;2361546;0,911850
xeon;diascld45;cds-tas;zipfian;0,990000;32;65536;1000000;80;10;10;31872765;25498992;3184602;3189171;10621900;94,145114;892353;1102990;0,809031
xeon;diascld45;cds-tas;zipfian;0,990000;48;65536;1000000;80;10;10;29769770;23821896;2972532;2975342;9919941;100,807045;553146;692552;0,798707
xeon;diascld45;cds-ttas;zipfian;0,990000;1;65536;1000000;80;10;10;17047401;13640898;1702120;1704383;5682095;175,991401;0;0;1,000000
xeon;diascld45;cds-ttas;zipfian;0,990000;2;65536;1000000;80;10;10;16036374;12830949;1601013;1604412;5345175;187,084606;7176273;8860101;0,809954
xeon;diascld45;cds-ttas;zipfian;0,990000;4;65536;1000000;80;10;10;24401545;19523532;2437170;2440843;8133231;122,952364;6032524;6159446;0,979394
xeon;diascld45;cds-ttas;zipfian;0,990000;8;65536;1000000;80;10;10;32620368;26096543;3261279;3262546;10872467;91,975444;4014709;4132983;0,971383
xeon;diascld45;cds-ttas;zipfian;0,990000;16;65536;1000000;80;10;10;37107237;29686622;3709990;3710625;12366446;80,863973;2183468;2436009;0,896330
xeon;diascld45;cds-ttas;zipfian;0,990000;32;65536;1000000;80;10;10;36994668;29596654;3695394;3702620;12328698;81,111566;1007814;1278621;0,788204
xeon;diascld45;cds-ttas;zipfian;0,990000;48;65536;1000000;80;10;10;31944736;25561231;3189672;3193833;10644737;93,943134;637788;710657;0,897462
xeon;diascld45;cds-cas;zipfian;0,990000;1;65536;1000000;80;10;10;17201071;13763114;1717740;1720217;5733320;174,418994;0;0;1,000000
xeon;diascld45;cds-cas;zipfian;0,990000;2;65536;1000000;80;10;10;16616222;13295300;1658731;1662191;5538333;180,559716;7795591;8820631;0,883791
xeon;diascld45;cds-cas;zipfian;0,990000;4;65536;1000000;80;10;10;25702708;20564166;2567257;2571285;8566897;116,728376;6315857;6524808;0,967976
xeon;diascld45;cds-cas;zipfian;0,990000;8;65536;1000000;80;10;10;31987196;25590148;3198831;3198217;10660914;93,800582;3972850;4028815;0,986109
xeon;diascld45;cds-cas;zipfian;0,990000;16;65536;1000000;80;10;10;36420796;29136880;3642318;3641598;12137666;82,388157;2153193;2394411;0,899258
xeon;diascld45;cds-cas;zipfian;0,990000;32;65536;1000000;80;10;10;34785915;27828233;3475846;3481836;11592630;86,261699;949388;1236283;0,767937
xeon;diascld45;cds-cas;zipfian;0,990000;48;65536;1000000;80;10;10;30776784;24625856;3073557;3077371;10255623;97,507483;615676;665814;0,924697
xeon;diascld45;cds-ticket;zipfian;0,990000;1;65536;1000000;80;10;10;15214453;12175775;1517884;1520794;5071238;197,190476;0;0;1,000000
xeon;diascld45;cds-ticket;zipfian;0,990000;2;65536;1000000;80;10;10;15783797;12628117;1576306;1579374;5260880;190,082234;7440000;8343797;0,891680
xeon;diascld45;cds-ticket;zipfian;0,990000;4;65536;1000000;80;10;10;24390931;19515464;2435743;2439724;8129624;123,006905;5875265;6320728;0,929523
xeon;diascld45;cds-ticket;zipfian;0,990000;8;65536;1000000;80;10;10;30616356;24493876;3062180;3060300;10204515;97,995830;3741699;3920410;0,954415
xeon;diascld45;cds-ticket;zipfian;0,990000;16;65536;1000000;80;10;10;36517091;29214129;3651548;3651414;12169689;82,171368;2159797;2392669;0,902673
xeon;diascld45;cds-ticket;zipfian;0,990000;32;65536;1000000;80;10;10;41005685;32804773;4097998;4102914;13665369;73,177676;1226237;1339295;0,915584
xeon;diascld45;cds-ticket;zipfian;0,990000;48;65536;1000000;80;10;10;44049910;35241359;4401075;4407476;14678512;68,126794;898039;935322;0,960139
xeon;diascld45;cds-std;uniform;0,990000;1;65536;1000000;90;5;5;11432469;10289630;571335;571504;3810557;262,428815;0;0;1,000000
xeon;diascld45;cds-std;uniform;0,990000;2;65536;1000000;90;5;5;16778496;15100134;839927;838435;5592376;178,814844;8379934;8398562;0,997782
xeon;diascld45;cds-std;uniform;0,990000;4;65536;1000000;90;5;5;29824942;26840208;1492085;1492649;9940819;100,595325;7383926;7501104;0,984379
xeon;diascld45;cds-std;uniform;0,990000;8;65536;1000000;90;5;5;47169038;42449138;2359985;2359915;15721547;63,606968;5717534;6074550;0,941228
xeon;diascld45;cds-std;uniform;0,990000;16;65536;1000000;90;5;5;63698989;57326876;3187096;3185017;21229846;47,103497;3844382;4069994;0,944567
xeon;diascld45;cds-std;uniform;0,990000;32;65536;1000000;90;5;5;75490426;67942994;3774584;3772848;25157597;39,749424;2155578;2576372;0,836672
xeon;diascld45;cds-std;uniform;0,990000;48;65536;1000000;90;5;5;107111739;96400765;5356064;5354910;35691650;28,017758;2143729;2317822;0,924889
xeon;diascld45;cds-tas;uniform;0,990000;1;65536;1000000;90;5;5;18872672;16986213;943156;943303;6290442;158,971319;0;0;1,000000
xeon;diascld45;cds-tas;uniform;0,990000;2;65536;1000000;90;5;5;24670536;22203159;1234943;1232434;8222922;121,611269;11816406;12854130;0,919269
xeon;diascld45;cds-tas;uniform;0,990000;4;65536;1000000;90;5;5;39921683;35926836;1997323;1997524;13306294;75,152400;9588486;10388109;0,923025
xeon;diascld45;cds-tas;uniform;0,990000;8;65536;1000000;90;5;5;56611425;50944155;2833917;2833353;18867501;53,001190;6972788;7173093;0,972076
xeon;diascld45;cds-tas;uniform;0,990000;16;65536;1000000;90;5;5;68214410;61390061;3412363;3411986;22733561;43,987828;4204635;4309424;0,975684
xeon;diascld45;cds-tas;uniform;0,990000;32;65536;1000000;90;5;5;102679890;92412467;5132497;5134926;34218737;29,223755;2667572;3812762;0,699643
xeon;diascld45;cds-tas;uniform;0,990000;48;65536;1000000;90;5;5;118822781;106942757;5941229;5938795;39593975;25,256367;2368805;2584805;0,916435
xeon;diascld45;cds-ttas;uniform;0,990000;1;65536;1000000;90;5;5;17274075;15547025;863123;863927;5757551;173,684934;0;0;1,000000
xeon;diascld45;cds-ttas;uniform;0,990000;2;65536;1000000;90;5;5;24670818;22204089;1234934;1231795;8223037;121,609567;12248213;12422605;0,985962
xeon;diascld45;cds-ttas;uniform;0,990000;4;65536;1000000;90;5;5;40656889;36587553;2034647;2034689;13551169;73,794367;10070987;10230522;0,984406
