arch;hostname;lock;dist;zipf_theta;threads;buckets;key_range;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
xeon;diascld45;wh-default;uniform;0,990000;1;65536;1000000;80;10;10;14258046;11408726;1424067;1425253;4752316;210,423713;0;0;1,000000
xeon;diascld45;wh-default;uniform;0,990000;2;65536;1000000;80;10;10;24271329;19419990;2424270;2427069;8089800;123,612440;12100862;12170467;0,994281
xeon;diascld45;wh-default;uniform;0,990000;4;65536;1000000;80;10;10;29315378;23456987;2929471;2928920;9770754;102,346241;6847017;7516199;0,910968
xeon;diascld45;wh-default;uniform;0,990000;8;65536;1000000;80;10;10;56688536;45352823;5667229;5668484;18893673;52,927771;7024655;7192686;0,976639
xeon;diascld45;wh-default;uniform;0,990000;16;65536;1000000;80;10;10;108545111;86836001;10851907;10857203;36172747;27,645121;6642259;6896589;0,963122
xeon;diascld45;wh-default;uniform;0,990000;32;65536;1000000;80;10;10;195583015;156468623;19555207;19559185;65178613;15,342456;4451373;6937206;0,641667
xeon;diascld45;wh-default;uniform;0,990000;48;65536;1000000;80;10;10;257735167;206186888;25772058;25776221;85775333;11,658363;4383815;5908051;0,742007
xeon;diascld45;wh-rw;uniform;0,990000;1;65536;1000000;80;10;10;13707864;10968319;1369534;1370011;4568926;218,869790;0;0;1,000000
xeon;diascld45;wh-rw;uniform;0,990000;2;65536;1000000;80;10;10;23868915;19097589;2385078;2386248;7955664;125,696597;11906207;11962708;0,995277
xeon;diascld45;wh-rw;uniform;0,990000;4;65536;1000000;80;10;10;29149218;23323187;2913459;2912572;9715557;102,927700;7166326;7450411;0,961870
xeon;diascld45;wh-rw;uniform;0,990000;8;65536;1000000;80;10;10;54278750;43424072;5426464;5428214;18090209;55,278520;6681843;6889957;0,969795
xeon;diascld45;wh-rw;uniform;0,990000;16;65536;1000000;80;10;10;103637595;82909474;10362003;10366118;34536892;28,954545;6384646;6543480;0,975726
xeon;diascld45;wh-rw;uniform;0,990000;32;65536;1000000;80;10;10;189709131;151770789;18967704;18970638;63219751;15,817841;4711541;6666771;0,706720
xeon;diascld45;wh-rw;uniform;0,990000;48;65536;1000000;80;10;10;248930837;199146188;24890274;24894375;82950386;12,055399;4309935;5644324;0,763587
xeon;diascld45;wh-tas;uniform;0,990000;1;65536;1000000;80;10;10;14739852;11794000;1472082;1473770;4912911;203,545290;0;0;1,000000
xeon;diascld45;wh-tas;uniform;0,990000;2;65536;1000000;80;10;10;24770659;19819673;2474287;2476699;8256242;121,120467;12317458;12453201;0,989100
xeon;diascld45;wh-tas;uniform;0,990000;4;65536;1000000;80;10;10;29803654;23847204;2978781;2977669;9933629;100,668136;7271869;7623882;0,953828
xeon;diascld45;wh-tas;uniform;0,990000;8;65536;1000000;80;10;10;57616557;46095550;5759696;5761311;19202634;52,076187;7068104;7333723;0,963781
xeon;diascld45;wh-tas;uniform;0,990000;16;65536;1000000;80;10;10;108456127;86765737;10842658;10847732;36143211;27,667713;6117985;6901413;0,886483
xeon;diascld45;wh-tas;uniform;0,990000;32;65536;1000000;80;10;10;197632087;158106279;19760864;19764944;65860216;15,183673;4544852;6870241;0,661527
xeon;diascld45;wh-tas;uniform;0,990000;48;65536;1000000;80;10;10;257178346;205743996;25714192;25720158;85618495;11,679719;4533110;5840547;0,776145
xeon;diascld45;wh-ttas;uniform;0,990000;1;65536;1000000;80;10;10;14352295;11484032;1433462;1434801;4783743;209,041297;0;0;1,000000
xeon;diascld45;wh-ttas;uniform;0,990000;2;65536;1000000;80;10;10;24737428;19792776;2471009;2473643;8245177;121,283015;12290921;12446507;0,987500
xeon;diascld45;wh-ttas;uniform;0,990000;4;65536;1000000;80;10;10;31260005;25012808;3124137;3123060;10419026;95,978254;7483179;8140731;0,919227
xeon;diascld45;wh-ttas;uniform;0,990000;8;65536;1000000;80;10;10;60370091;48298646;6034466;6036979;20120362;49,700894;7380690;7689468;0,959844
xeon;diascld45;wh-ttas;uniform;0,990000;16;65536;1000000;80;10;10;117081054;93663699;11705665;11711690;39018602;25,628801;7137165;7428500;0,960781
xeon;diascld45;wh-ttas;uniform;0,990000;32;65536;1000000;80;10;10;202104829;161688422;20205002;20211405;67351007;14,847588;4578093;7057132;0,648719
xeon;diascld45;wh-ttas;uniform;0,990000;48;65536;1000000;80;10;10;249636801;199709927;24960145;24966729;83184925;12,021409;4417033;5883849;0,750705
xeon;diascld45;wh-cas;uniform;0,990000;1;65536;1000000;80;10;10;13333401;10668708;1332605;1332088;4444131;225,015835;0;0;1,000000
xeon;diascld45;wh-cas;uniform;0,990000;2;65536;1000000;80;10;10;24484083;19589934;2445736;2448413;8160720;122,538200;12207840;12276243;0,994428
xeon;diascld45;wh-cas;uniform;0,990000;4;65536;1000000;80;10;10;31613847;25296127;3158633;3159087;10536857;94,904952;6193062;8489569;0,729491
xeon;diascld45;wh-cas;uniform;0,990000;8;65536;1000000;80;10;10;57130666;45705693;5712051;5712922;19040769;52,518885;6913497;7339776;0,941922
xeon;diascld45;wh-cas;uniform;0,990000;16;65536;1000000;80;10;10;110164327;88130751;11014116;11019460;36712046;27,239015;6757998;7029974;0,961312
xeon;diascld45;wh-cas;uniform;0,990000;32;65536;1000000;80;10;10;198636352;158913454;19860662;19862236;66195077;15,106864;4982085;6896422;0,722416
